,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,ActiveData-ETL,0ffc1930644fa3f21c7637f2516c594986c75eec,fix busy loop,Kyle Lahnakoski,2015-01-05T04:52:25Z,Kyle Lahnakoski,Kyle Lahnakoski,47,27,20
1,ActiveData-ETL,52d1127394075f3452da3f721f1d191df097d249,Merge branch 'dev' into pulse-logger,Kyle Lahnakoski,2015-01-05T04:11:31Z,Kyle Lahnakoski,Kyle Lahnakoski,103,85,18
2,ActiveData-ETL,bc902feba288f424563c908518b029299cc2cd16,problem with cpu usage,Kyle Lahnakoski,2015-01-05T04:10:34Z,Kyle Lahnakoski,Kyle Lahnakoski,103,85,18
3,ActiveData-ETL,3850b6887ce52e857851086ae4319aea8981fed7,Merge branch 'dev' into etl,Kyle Lahnakoski,2015-01-04T17:35:14Z,Kyle Lahnakoski,Kyle Lahnakoski,4,3,1
4,ActiveData-ETL,0521020e7cf1fde25f6e9d2615249d235f00c23c,keep code up to date,Kyle Lahnakoski,2015-01-04T17:34:25Z,Kyle Lahnakoski,Kyle Lahnakoski,2,2,0
5,ActiveData-ETL,522f4353af5c0902f8e812d3befb8b226d00d92b,another logging attempt,Kyle Lahnakoski,2015-01-04T17:14:28Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
6,ActiveData-ETL,7e22c0b3d110b4247e5270b8d95ef5c4210470cb,Merge branch 'dev' into pulse-logger,Kyle Lahnakoski,2015-01-04T17:11:30Z,Kyle Lahnakoski,Kyle Lahnakoski,1370,693,677
7,ActiveData-ETL,d4b839bbf082b8ba0c41452b0d6b9c1b769e38cd,Merge branch 'etl' into dev,Kyle Lahnakoski,2015-01-04T17:11:12Z,Kyle Lahnakoski,Kyle Lahnakoski,1370,693,677
8,ActiveData-ETL,8b97a398256dd6055c75b967d20e8851cb21a97f,Struct -> Dict,Kyle Lahnakoski,2015-01-04T17:10:30Z,Kyle Lahnakoski,Kyle Lahnakoski,1365,1365,0
9,ActiveData-ETL,be238b5a42b713fc3a976be278d9c5c8165bcd30,Struct -> Dict,Kyle Lahnakoski,2015-01-04T17:02:30Z,Kyle Lahnakoski,Kyle Lahnakoski,1817,177,1640
10,ActiveData-ETL,a510d6f23f011fdd2aa63717260c1b96014e4b86,Struct -> Dict,Kyle Lahnakoski,2015-01-04T16:34:32Z,Kyle Lahnakoski,Kyle Lahnakoski,636,358,278
11,ActiveData-ETL,abbda3276aebb1cfd43f633ba3e3a212703c6f3b,"start integration of actual transform to ES format
make dummy destination for testing transforms",Kyle Lahnakoski,2015-01-04T16:18:58Z,Kyle Lahnakoski,Kyle Lahnakoski,506,270,236
