,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,Base32,d2136486487a77336ae18b1bd2f9a3f689ec44e5,Update to swift on XCode 7 Beta 6,Emily Toop,2015-08-25T09:19:36Z,fluffyemily,fluffyemily,4,2,2
1,Base32,63c1d546daed0b99a81d54c4ad821d418e2e7005,Update to Swift 2.0,Yannick heinrich,2015-06-19T18:37:03Z,yageek,yageek,83,57,26
2,Base32,40fe7ec58a40e97a7db25eb0758409911d918801,"Merge branch 'bump-infoplist-version'

* bump-infoplist-version:
  Bump version to 0.3.0",Norio Nomura,2015-04-09T02:24:47Z,norio-nomura,norio-nomura,2,1,1
3,Base32,32eb60e1963d5b5922370e53cdecfe70114be05e,Bump version to 0.3.0,Norio Nomura,2015-04-09T02:24:30Z,norio-nomura,norio-nomura,2,1,1
4,Base32,462a286e8a37074b3b91070979be567e20603904,"Merge branch 'swift-1.2'

* swift-1.2:
  Rewrite to using `count()` and `reduce(_:combine:)`

close #10",Norio Nomura,2015-04-09T02:20:41Z,norio-nomura,norio-nomura,12,6,6
5,Base32,b8e23b86818b3473ae07b8cf4be560431f2fa882,"Merge branch 'building-pr-on-travisci'

* building-pr-on-travisci:
  Skip certificates:install if KEY_PASSWORD does not exists.",Norio Nomura,2015-04-09T02:18:25Z,norio-nomura,norio-nomura,6,6,0
6,Base32,c99c6a1c2631857deb293ac19df49c3dc9a8bfb7,"Skip certificates:install if KEY_PASSWORD does not exists.

[ci skip]",Norio Nomura,2015-04-09T02:13:40Z,norio-nomura,norio-nomura,6,6,0
7,Base32,148c41ce98fc7e16664f9020418fb12c3ce18726,Rewrite to using `count()` and `reduce(_:combine:)`,Norio Nomura,2015-02-13T02:42:19Z,norio-nomura,norio-nomura,12,6,6
8,Base32,80d4937f7b4bdd381a7ea69c28ae014b0b332320,"Merge branch 'xcpretty-0.1.8'

* xcpretty-0.1.8:
  bundle update

[ci skip]",Norio Nomura,2015-03-06T01:43:55Z,norio-nomura,norio-nomura,12,3,9
9,Base32,7b0a1f2663a67e3626f9d248483aa5fe28528726,"bundle update

xcpretty (0.1.8)",Norio Nomura,2015-03-06T01:14:13Z,norio-nomura,norio-nomura,12,3,9
10,Base32,8b47f8372a02bc9b4eabe63711e363fc0efdcbb8,"Merge branch 'change-some-build-settings'

* change-some-build-settings:
  ""GCC_NO_COMMON_BLOCKS = YES"" for silencing newer Xcode warning
  Change referencing Cartfile.private
  Add Base32-Mac to dependencies of SecEncodeTransformTests",Norio Nomura,2015-02-24T08:16:47Z,norio-nomura,norio-nomura,19,17,2
11,Base32,b48c763150f8b8b109a5fd0e973f5621a70bf04a,"""GCC_NO_COMMON_BLOCKS = YES"" for silencing newer Xcode warning",Norio Nomura,2015-02-24T08:08:12Z,norio-nomura,norio-nomura,2,2,0
12,Base32,e76c20e566c1688b88f99437ff3b525a5d09c0bd,Change referencing Cartfile.private,Norio Nomura,2015-02-24T08:07:15Z,norio-nomura,norio-nomura,4,2,2
13,Base32,5e0f2ccf31e7fd0889d916fa88220d4b9370de17,Add Base32-Mac to dependencies of SecEncodeTransformTests,Norio Nomura,2015-02-24T08:06:04Z,norio-nomura,norio-nomura,13,13,0
14,Base32,8cb9cdaade5536efe13d24d6cf4fbf25abf42ca4,"Merge branch 'add-webhook-of-zapier'

* add-webhook-of-zapier:
  Add webhook of Zapier",Norio Nomura,2015-02-21T02:04:02Z,norio-nomura,norio-nomura,3,3,0
15,Base32,c0f89a545b3a84d5cf3b09c580402cfea6f36308,"Merge branch 'not-yet-bumped-infoplist-version'

* not-yet-bumped-infoplist-version:
  Bump version to 0.2.2",Norio Nomura,2015-02-21T02:03:49Z,norio-nomura,norio-nomura,2,1,1
16,Base32,b1ed0dea2d1e885a7ebaddca50e5a1c09be7ed8d,"Merge branch 'change-some-build-settings'

* change-some-build-settings:
  minor change on .travis.yml
  ""ONLY_ACTIVE_ARCH = YES;"" on Debug for silencing newer Xcode warning",Norio Nomura,2015-02-21T02:03:37Z,norio-nomura,norio-nomura,3,2,1
17,Base32,1f988b6e42212e5442b67a63e7b15d2373f55267,"Merge branch 'update-Carthage-badge'

* update-Carthage-badge:
  Update Carthage badge",Norio Nomura,2015-02-21T02:03:08Z,norio-nomura,norio-nomura,2,1,1
18,Base32,9896c8eb8e2328b66fa8c47489b985c91312f048,Add webhook of Zapier,Norio Nomura,2015-02-21T01:50:06Z,norio-nomura,norio-nomura,3,3,0
19,Base32,fbfc437aeb2444f566d544bc14e230f0ed60a68d,minor change on .travis.yml,Norio Nomura,2015-02-19T12:20:50Z,norio-nomura,norio-nomura,2,1,1
20,Base32,877cb49dca3844da7663c0ce054052155d9b2289,Bump version to 0.2.2,Norio Nomura,2015-02-18T10:01:34Z,norio-nomura,norio-nomura,2,1,1
21,Base32,18cd93a6597083868e70cd92d25aa1d0bc63b2ab,"Update Carthage badge

Carthage/Carthage#179
[ci skip]",Norio Nomura,2015-02-17T08:46:48Z,norio-nomura,norio-nomura,2,1,1
22,Base32,e5b1ce2004554dfc3e8bf3b6a7faba9ec68cd19f,"""ONLY_ACTIVE_ARCH = YES;"" on Debug for silencing newer Xcode warning",Norio Nomura,2015-02-16T01:27:08Z,norio-nomura,norio-nomura,1,1,0
23,Base32,8a9ad77911c313b70a5989533782ff388b4771ed,"Specify xcconfigs version is ""0.7.1""",Norio Nomura,2015-02-15T07:08:58Z,norio-nomura,norio-nomura,4,2,2
24,Base32,2dfdfd62212057944d17cb253b7a7c6ce62c792e,"Move xcconfigs into Cartfile.private

It will be hidden from runtime dependency",Norio Nomura,2015-02-15T06:58:49Z,norio-nomura,norio-nomura,0,0,0
25,Base32,5d013907895db95d4a03431967b5e2881bb9ec8c,Deploy prebuilt framework from Travis-CI to GitHub Release,Norio Nomura,2015-02-13T15:13:22Z,norio-nomura,norio-nomura,39,33,6
26,Base32,cbb9c059069fd749d58445b4fa5a5e93ff77ca4b,Refactor around `String.nulTerminatedUTF8.withUnsafeBufferPointer()`,Norio Nomura,2015-02-13T02:09:33Z,norio-nomura,norio-nomura,20,6,14
27,Base32,d9526249c2eb21a510f6834dd7b645428f7a8c8c,Expose `uppercase` option of `base16Encode()`,Norio Nomura,2015-02-13T02:07:54Z,norio-nomura,norio-nomura,22,17,5
