,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,DemoStumbler,ca0a79756300024853ce8bb9e7449fc4e4a79906,whitespace change - just to trigger travis,Victor Ng,2015-03-25T17:52:10Z,crankycoder,crankycoder,2,0,2
1,DemoStumbler,d9ededd53a67fe677a24a70fd9ec9487b3054f00,repointed travis badge to use the mozilla/DemoStumbler repo,Victor Ng,2015-03-25T17:44:04Z,crankycoder,crankycoder,2,1,1
2,DemoStumbler,37163a1877d1850c53d616232b3154c27b331efe,patches to sync against the v1.7.10 library,Victor Ng,2015-03-25T17:37:53Z,crankycoder,crankycoder,33,16,17
3,DemoStumbler,39ca22941746540570d79065bd23c391951c1270,Library is in jcenter now,Victor Ng,2015-03-25T14:37:51Z,crankycoder,crankycoder,4,3,1
4,DemoStumbler,b66a9359f74f971311fa59e49a5d9f80c25618cb,added travis badge,Victor Ng,2015-03-24T03:01:09Z,crankycoder,crankycoder,3,3,0
5,DemoStumbler,6387d479b8f98b6df726da2a266670c28430b3e2,added travis yaml,Victor Ng,2015-03-24T02:56:55Z,crankycoder,crankycoder,12,12,0
6,DemoStumbler,6decc0954aef321afd40997b04a3c7e049bfe5a6,Reworked DemoStumbler to pull in the library from JCenter,Victor Ng,2015-03-24T02:43:27Z,crankycoder,crankycoder,34,11,23
7,DemoStumbler,7991c81052736fcb209e22b74de9c3a9783b1c8c,changed upload schedule to 10 hours to prevent wakeups,Victor Ng,2015-03-21T19:11:03Z,crankycoder,crankycoder,10,5,5
8,DemoStumbler,0f0d3e71846fbfbff55022a2df7c9376b8d9cc3b,added a real API key to the demo stumbler for fallback,Victor Ng,2015-03-20T20:24:12Z,crankycoder,crankycoder,4,3,1
9,DemoStumbler,6845f48af1d3826bc9038cdd4a9a2b8867d35df0,"added commented blocks to indicate how to configure a production
stumbler library",Victor Ng,2015-03-20T20:11:35Z,crankycoder,crankycoder,10,10,0
10,DemoStumbler,86e1ce7e59a7bef3acabb4a2a72b2f64c5336692,updated sample code in the README,Victor Ng,2015-03-20T20:09:08Z,crankycoder,crankycoder,5,4,1
11,DemoStumbler,e56b9c7cf9ee8630a6b2fc3a092c859e46f5c2b6,"* Added a DebugHttpUtil so that network calls to geosubmit just go to
  adb logs
* Updated the MainActivity so that it clearly demonstrates how to get
  Passive mode stumbling enabled with repeating upload schedule.",Victor Ng,2015-03-20T19:17:32Z,crankycoder,crankycoder,201,189,12
12,DemoStumbler,27adbf6441cf6b720daad9481083d6b1b5ea67c3,Merge branch 'master' of github.com:crankycoder/DemoStumbler,Victor Ng,2015-02-12T20:49:30Z,crankycoder,crankycoder,67,67,0
13,DemoStumbler,92312a3ad78bd69534e58567e3b457ad0bdbe367,"Simplified the MainActivity a little, added PNG showing how to install
from Android Studio",Victor Ng,2015-02-12T20:49:03Z,crankycoder,crankycoder,35,11,24
14,DemoStumbler,18e65fc90c3ac71e9bb24601f7f464422f0d894e,Update README.md,Victor Ng,2015-02-12T20:46:53Z,crankycoder,crankycoder,21,21,0
15,DemoStumbler,5ffaca3e79af9c34199bf99c7e681e2bad5aeee8,Update README.md,Victor Ng,2015-02-12T20:40:08Z,crankycoder,crankycoder,4,3,1
16,DemoStumbler,157c952ff95ddf590f9b64ca2a41e3392b287dca,Create README.md,Victor Ng,2015-02-12T20:39:07Z,crankycoder,crankycoder,44,44,0
17,DemoStumbler,e3616919f99ab538453ca70dd401e96867e4771e,"updates to MainActivity code to configure the ServiceLocator and pass
in dummy mozilla api key and a dummy user-agent string.",Victor Ng,2015-02-12T20:18:37Z,crankycoder,crankycoder,48,38,10
18,DemoStumbler,8f49ccee84763ff837fce792b6451ab78bd92530,basic demo code added,Victor Ng,2015-02-12T01:06:07Z,crankycoder,crankycoder,54,46,8
19,DemoStumbler,1322b14f1e47acd525a74b0cb544df762e2f593a,added stumbler-debug aar library,Victor Ng,2015-02-04T20:52:26Z,crankycoder,crankycoder,56,50,6
20,DemoStumbler,6c935ddd3f72330194714b761fbc6a88c0c20aff,init checkin,Victor Ng,2015-02-04T20:10:19Z,crankycoder,crankycoder,666,666,0
