,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,FirefoxColor,c94acdbd21cd0722d24666a1be79e92a71adcbe8,Add some notes to README,Les Orchard,2017-12-15T17:30:05Z,lmorchard,lmorchard,22,22,0
1,FirefoxColor,060799fed85bcdadb2df6c1deb620fb0ef3e4ad1,"Merge pull request #5 from pdehaan/yo-rimraf

Use 'rimraf' module instead of 'rm -rf'",Les Orchard,2017-11-20T19:47:26Z,lmorchard,lmorchard,5,3,2
2,FirefoxColor,615e20c4bf67415a6b124f20d6fcde1f8d5c6144,"Merge pull request #6 from pdehaan/eslint-all-the-things

Run ESLint against .js files in root dir",Les Orchard,2017-11-20T19:46:21Z,lmorchard,lmorchard,2,1,1
3,FirefoxColor,e3f6e3ca5261f23bf29516f3c9db687bce5ef254,Try some auto-deployment magic,Les Orchard,2017-11-20T19:08:03Z,lmorchard,lmorchard,28,22,6
4,FirefoxColor,73ab87a05897c8cc9d9e3917c3f49ce9ad116b27,Run ESLint against .js files in root dir,Peter deHaan,2017-11-20T18:33:51Z,pdehaan,pdehaan,2,1,1
5,FirefoxColor,70e55ab050da3f657b3f8d618c76b06eb6589f38,Add CircleCI,Les Orchard,2017-11-20T18:30:55Z,lmorchard,lmorchard,5,5,0
6,FirefoxColor,a0505a5405d94e2a22eb19abe0475c312f762c95,Use 'rimraf' module instead of 'rm -rf',Peter deHaan,2017-11-20T18:28:04Z,pdehaan,pdehaan,5,3,2
7,FirefoxColor,745e4efd246c361beaa196733eee051eb13f584b,Fix author email typo; simplify some build scripts,Les Orchard,2017-11-20T18:22:17Z,lmorchard,lmorchard,10,5,5
8,FirefoxColor,634fe8a7485870b39d422d83b7091718f61d4456,"Merge pull request #2 from pdehaan/nice-package

Fix spdx license and add repository field",Les Orchard,2017-11-20T18:15:15Z,lmorchard,lmorchard,6,4,2
9,FirefoxColor,3a25f9f42403cc920ca4e21c147ce71869d1a2b0,"Merge pull request #1 from pdehaan/fix-eslint

Tweak a bit of ESLint configuration",Les Orchard,2017-11-20T18:13:59Z,lmorchard,lmorchard,41,22,19
10,FirefoxColor,d50b4d02074789273b4757107e62b66882417957,Fix spdx license and add repository field,Peter deHaan,2017-11-20T18:03:47Z,pdehaan,pdehaan,6,4,2
11,FirefoxColor,c6b41369d6ea5622f82ba5af1cc41a0ad3845d52,Tweak a bit of ESLint configuration,Peter deHaan,2017-11-20T17:49:36Z,pdehaan,pdehaan,41,22,19
12,FirefoxColor,c8eddc9d5fabcc0b772835b658f9e896963622a6,Fix linting error,Les Orchard,2017-11-17T19:02:29Z,lmorchard,lmorchard,2,1,1
13,FirefoxColor,03f3fd822cd596485dbee5ba07eac150133b48ca,Bugfix for SITE_URL with port for local dev breaking extension content script,Les Orchard,2017-11-17T18:23:10Z,lmorchard,lmorchard,10,6,4
14,FirefoxColor,3f43916aeb5479e4dd2207f73f742e2b4d321a94,Simplify reducers with computed property names,Les Orchard,2017-11-17T18:19:29Z,lmorchard,lmorchard,21,8,13
15,FirefoxColor,a00037c6cc18300ab020df9b66aa0b9d960e1676,"Document what I do for release, if only as notes to myself",Les Orchard,2017-11-16T22:06:23Z,lmorchard,lmorchard,23,23,0
16,FirefoxColor,0ab0b5f5d9624332b31be4b04fd869fd6695dea5,Update README,Les Orchard,2017-11-16T21:55:38Z,lmorchard,lmorchard,7,3,4
17,FirefoxColor,7ed963cba37ecac579005899a95ff6fa4d83fb67,Bugfix for initial empty storage state,Les Orchard,2017-11-16T21:50:05Z,lmorchard,lmorchard,7,5,2
18,FirefoxColor,ac170a229e888cd03a9807837259dbbabd9dc339,Restrict content script to just SITE_URL,Les Orchard,2017-11-16T21:33:19Z,lmorchard,lmorchard,6,3,3
19,FirefoxColor,bf57c4ab69f1fb4645d267e2be55e949b66729a2,Try fixing SVG images for release,Les Orchard,2017-11-16T21:24:17Z,lmorchard,lmorchard,25,3,22
20,FirefoxColor,bd5608f61b803df57892bf134f026cbdc036c576,Update matches for content script based on SITE_URL,Les Orchard,2017-11-16T21:17:35Z,lmorchard,lmorchard,9,7,2
21,FirefoxColor,43ee514d3b3d029ba26afb0f5cd885b0c6d302a3,Tweaks to make this thing more easily deployable,Les Orchard,2017-11-16T21:12:29Z,lmorchard,lmorchard,42,28,14
22,FirefoxColor,748a74add2feaa544fb643fda7b3f9d3554f3df6,Rewrite extension to be way simpler; cleanup & linting,Les Orchard,2017-11-16T20:51:43Z,lmorchard,lmorchard,332,161,171
23,FirefoxColor,b2df25dbafaffa5790ff6523aed49f2d7b7604a3,Hacky polling based attempt to detect whether extension is installed,Les Orchard,2017-11-15T22:22:03Z,lmorchard,lmorchard,83,62,21
24,FirefoxColor,b27ca833a8c0a94a137f8c78a409fe7b7f000478,Get AMO signing working,Les Orchard,2017-11-15T21:42:56Z,lmorchard,lmorchard,16,10,6
25,FirefoxColor,00fa7ac5f51a01ba7494a13847b7da3cffdd8e8e,Get background selection working; fix color alpha selection,Les Orchard,2017-11-15T21:14:41Z,lmorchard,lmorchard,452,208,244
26,FirefoxColor,103b4793ce4cdc7aaa9b9c6417464a67e1be42f4,Use caps in the extension name,Les Orchard,2017-11-15T19:48:18Z,lmorchard,lmorchard,6,5,1
27,FirefoxColor,4bf865c91aba8b7c0d085c882577b9355b4ca49b,Tweaks to editor UI for clickable colors in preview; move browser theme update in extension to redux middleware,Les Orchard,2017-11-15T19:41:20Z,lmorchard,lmorchard,85,66,19
28,FirefoxColor,55238dabd04a1289d7d107114ad132bf9478a05b,Progress toward synching content with extension,Les Orchard,2017-11-15T05:21:18Z,lmorchard,lmorchard,282,162,120
29,FirefoxColor,c1b8a8dcd0f7a889605806d2bcc88c543838cb9a,Progress toward rebuilding theme editor with react/redux,Les Orchard,2017-11-14T23:35:56Z,lmorchard,lmorchard,633,372,261
