,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,Garmr,dd625808907f40ae41da1fe9dcf6e97ace4af8b1,"Merge pull request #15 from mozfreddyb/patch-1

LICENSE",Dave Hunt,2016-02-18T08:59:16Z,davehunt,davehunt,373,373,0
1,Garmr,ff703c31c2988965874766cd109a6306b35475d6,"LICENSE

MPL",Frederik,2016-02-18T08:51:28Z,mozfreddyb,mozfreddyb,373,373,0
2,Garmr,c8ea361d4fdd652bc751a1776e89d2b5148e9f8c,amend CSP checks to work with CSP 1.0 header,Frederik B,2014-05-14T08:46:32Z,mozfreddyb,mozfreddyb,43,3,40
3,Garmr,55e4bb798cadab986a75d903699e1439660e3a89,"Merge pull request #4 from st3fan/master

Updated setup.py to include BeautifulSoup",Yvan Boily,2012-10-27T03:10:59Z,ygjb,ygjb,2,1,1
4,Garmr,9be6982bc943a3d59de57f917e1222d267e9d603,Update setup.py to include BeautifulSoup dependency,Stefan Arentz,2012-10-27T02:27:36Z,st3fan,st3fan,2,1,1
5,Garmr,accd7cf6c25455891acc7ea8b683e68b5ff6ff24,"Fixed reporting issue

Corrected a bug around how json is generated for the report.  Used
string coercion during json encoding rather than string coercion on
insert into the results object.",Yvan Boily,2012-09-06T21:31:13Z,Yvan Boily,Yvan Boily,31,16,15
6,Garmr,1b7eb5953532c9a4af93828f74dfe99d7788e6f3,"Added support for Json results

Added support for JSON result files using --report json, and added
support to have results written to stdout via the --output option.",Yvan Boily,2012-09-06T18:53:34Z,Yvan Boily,Yvan Boily,70,40,30
7,Garmr,86668d98b31c5e72d4fbf5562f2ece266cc76b64,Importing Freds changes.,Yvan Boily,2012-02-09T19:47:13Z,Yvan Boily,Yvan Boily,826,579,247
8,Garmr,03cb29b1a5caee951836c8942b6cfef3bb35a664,Update README.md,Yvan Boily,2011-10-25T22:35:34Z,Yvan Boily,Yvan Boily,62,49,13
9,Garmr,8b27e5665b07caacee84df07cbc1a3ef5de8cd37,"Cleaned up some optional fields, added the classifiers from the original version of garmr.",Yvan Boily,2011-10-14T15:46:16Z,Yvan Boily,Yvan Boily,17,10,7
10,Garmr,14d47414132712057eff654f346646a96bab128b,"Added setup, restructured built-in checks

Added setup.py
Restructured package for sanity
Moved RobotsTest out of corechecks because it is lame.
Moved djangochecks out of the package (will be put into a separate repo)
Added WebTouch and Http200 to corechecks (WebTouch simply visits an URL
with a get, and follows a redirect if present, Http200 visits a URL and
passes if it returns 200, but doesn't follow redirects.",Yvan Boily,2011-10-14T06:00:51Z,Yvan Boily,Yvan Boily,168,115,53
11,Garmr,68371f6c73d9a382bf3ee66ab39f0c2796d50575,"Grammar and text cleanup.

Has anyone really been far even as decided to use even go want to do
look more like?",Yvan Boily,2011-09-23T14:51:45Z,Yvan Boily,Yvan Boily,87,40,47
12,Garmr,b514b2a1851d3ad0b821a09e9ae373447aee2554,"Added support for check parameters, ability to exclude checks, and the ability to dump the configuration of the scanner and each check loaded into a config file.

Added support for -c module.check:key=value parameter setting.
Added support for -e module.check to disable a check
Added support for --save path to write the configuration state of the
scanner to a file.
TODO: add support for --load!",Yvan Boily,2011-09-22T23:24:39Z,Yvan Boily,Yvan Boily,284,205,79
