,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,JSBugMon,b1894cd79cd1fe89a2477c760c673a7d9916a9e4,"Pass --fuzzing-safe by default, if it is not detected in opts",Christian Holler (:decoder),2019-08-26T19:07:00Z,choller,choller,3,3,0
1,JSBugMon,db2b668d1ebda7f464d1dd1770d05a643c0bc7de,Support --enable-simulator=arm64,Christian Holler (:decoder),2019-08-26T17:59:52Z,choller,choller,5,4,1
2,JSBugMon,8be8950bfda308435da622a4e5bc8958545190d3,Use --enable-experimental-fields when searching the testcase that needs it,Christian Holler (:decoder),2019-08-26T17:59:29Z,choller,choller,4,4,0
3,JSBugMon,52a6366e2373fa7523b84b7de2f797c91e79220a,Add a bunch of newer runtime flags,Christian Holler (:decoder),2019-08-26T17:58:29Z,choller,choller,8,8,0
4,JSBugMon,8c7334d2cb595293d4aa77ba5cd715c33b4c848d,Use --fuzzing-safe when scanning for SyntaxError,Christian Holler (:decoder),2019-08-26T17:58:13Z,choller,choller,9,6,3
5,JSBugMon,3f6abccbf68770f676dcb24db78329651e4086d6,"Add Mozilla Code of Conduct file

Fixes #2.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-28T03:54:07Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
6,JSBugMon,bbf24fb9ca317fb4b289fe9d86f5e7ca759bbff7,"Remove all dead code in old compileShell.py, newer funfuzz is used instead",Christian Holler (:decoder),2017-05-05T20:40:44Z,choller,choller,291,0,291
7,JSBugMon,f4a8d0a703d09f61f0bd1abf148e72e123c6b010,Add latest changes for branch verification and use newer funfuzz functions/bins,Christian Holler (:decoder),2017-05-05T20:32:59Z,choller,choller,504,352,152
8,JSBugMon,e77d2d7ad158e4a94cad940256a5f363f6f98f15,Switch JSBugMon to new bzapi endpoint,Christian Holler (:decoder),2017-05-05T20:19:01Z,choller,choller,2,1,1
9,JSBugMon,8401aaf2d931592608a29d90d80e9e1e0a043949,Switch secbugfixed to keywords-based queries and only request bug ID,Christian Holler (:decoder),2017-05-05T20:16:51Z,choller,choller,18,11,7
10,JSBugMon,e986509198f6daeae4f290066b4b60a51d43d993,"Include all FIXED bugs in secbugfixed (also VERIFIED), for branch verification",Christian Holler (:decoder),2017-05-05T20:15:58Z,choller,choller,8,3,5
11,JSBugMon,c70cb4f4b77e569253922dc94025e87255d1c403,Remove -G (guess options) entirely,Christian Holler (:decoder),2017-05-05T15:36:17Z,choller,choller,38,26,12
12,JSBugMon,7407b998273f9e2269380caf208272a927b29cf3,Be nicer to Bugzilla and only request the ID for marked bugs,Christian Holler (:decoder),2017-05-05T15:29:56Z,choller,choller,2,1,1
13,JSBugMon,1df18c6b95e6884d6fef4b53617f781be1cf8dea,[cache-rotate] Support newer JS binary placement,Christian Holler (:decoder),2017-05-05T15:27:25Z,choller,choller,3,3,0
14,JSBugMon,bc3a1abda0fbb440735d103c2892924948f7a5ba,Fix a bug in cache-rotate.py,Christian Holler (:decoder),2015-07-15T12:40:14Z,choller,choller,1,1,0
15,JSBugMon,012b4fdd7618a3d3bfe2be083a9f210a75945fb3,Add script to rotate the shell-cache,Christian Holler (:decoder),2015-03-24T15:08:09Z,choller,choller,43,43,0
16,JSBugMon,386af765aa04aecfeffc3d7801709a3b44674083,Reformat to 80 columns,Christian Holler (:decoder),2012-12-20T00:30:17Z,choller,choller,55,42,13
17,JSBugMon,852a00f5f20ca1e501b04292b95bbd7050961567,Add README,Christian Holler (:decoder),2012-12-20T00:27:33Z,choller,choller,40,40,0
18,JSBugMon,28f031752110dfee6bb29f95af7b1231a82f19e2,Minor adjustments in messages,Christian Holler (:decoder),2012-12-20T00:25:18Z,choller,choller,8,4,4
19,JSBugMon,92c4c69fed98531ca9b31258cc99eb5787c09652,"Various updates to bugmon:
	* Check if requested branch is valid
	* Remove update flag if bug cannot be processed
	* Workaround for new bzapi issue",Christian Holler (:decoder),2012-12-12T15:39:00Z,choller,choller,50,36,14
20,JSBugMon,079508da317b42f4f8deeb08f3d98ea1e701597d,"Add gczeal, disable deterministic flag in compileShell",Christian Holler,2012-11-26T11:59:31Z,choller2,choller2,3,2,1
21,JSBugMon,14a6454fd652a63b3bc3f1a8c20f3ad134265ec5,Some improvements ;),Christian Holler,2012-11-26T11:59:09Z,choller2,choller2,86,62,24
22,JSBugMon,5eda3a5a140c23b79256873e503c60216644091c,"Countless stuff, I lost track ^_^",Christian Holler,2012-08-21T15:59:31Z,choller2,choller2,367,331,36
23,JSBugMon,e495d15c5ccea0190b06ed6e799bcbdb52ebca14,Adjustments in helper scripts,Christian Holler,2012-08-21T15:57:21Z,choller2,choller2,45,42,3
24,JSBugMon,d6cfe46f1aac99410dd56b9e6f6e30c261a777cf,Little helper search scripts,decoder,2012-04-02T21:42:58Z,decoder,decoder,231,231,0
25,JSBugMon,75378e70152f4f813ef03d350f14ec18e08b5740,Add gitignore file for repos and cache,decoder,2012-04-02T21:42:00Z,decoder,decoder,2,2,0
26,JSBugMon,0d6924b9cba6e8b47bbd82fe6808f8b92c85bdbe,Add more awesomeness to bugmon.py,decoder,2012-04-02T21:40:11Z,decoder,decoder,120,104,16
27,JSBugMon,22c6ee7c2442a64ce00b63035fc791740a4e2633,Remove debug code,decoder,2012-04-02T21:39:06Z,decoder,decoder,7,0,7
28,JSBugMon,114649ceb876129ea7facd9085207df66cbd6001,Add verbose flag to makeShell/compileCopy,decoder,2012-04-02T21:38:03Z,decoder,decoder,12,7,5
29,JSBugMon,3e9147a9e0dd1caa8c8a3d83debbd855dcab4e8e,Fix os.environ bug in cfgJsBin,decoder,2012-04-02T21:37:25Z,decoder,decoder,3,2,1
30,JSBugMon,6e6b915500182a5a655902c68d498e878e64d65d,Unix Timeout support in compileShell,decoder,2012-04-02T21:34:40Z,decoder,decoder,34,31,3
31,JSBugMon,f1cf707cee4952c3c6f0ce2f09f0b005f361a4fb,More awesomeness...,Christian Holler (:decoder),2012-03-28T22:32:09Z,choller,choller,104,78,26
32,JSBugMon,4a74ca97ba769b5f035f8002a2825f5d43fcd32f,Now ultimately better than the last version,Christian Holler (:decoder),2012-03-28T17:01:53Z,choller,choller,204,132,72
33,JSBugMon,f6bd5eb17ec23bb72b1eb2c2c67b319c87e34b88,Add functionality to mark verify fixed.,Christian Holler (:decoder),2012-03-28T00:45:43Z,choller,choller,48,43,5
34,JSBugMon,5bfa25be21dd7440ce7a2a440aad825dc4a733cd,Initial code commit,Christian Holler (:decoder),2012-03-27T22:33:09Z,choller,choller,802,802,0
35,JSBugMon,1c161a78f1053457cea1d341330429f269ad4ce3,first commit,Christian Holler (:decoder),2012-03-27T20:13:01Z,choller,choller,0,0,0
