,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,Marketplace.PHP,55de4d7153efd2441fb0ccb32cdea7c7a064e900,"Merge pull request #26 from Waqar144/master

Improve Readme.md formatting",Piotr Zalewa,2015-07-17T17:54:43Z,zalun,zalun,31,14,17
1,Marketplace.PHP,231b46a26682909047d9b988195c87ea76fd4ed2,Improve Readme.md formatting,Waqar Ahmed,2015-07-16T18:36:37Z,Waqar144,Waqar144,31,14,17
2,Marketplace.PHP,b863e44122ba00edfc110d545a2639a1cc60a7af,"Merge pull request #25 from InFog/master

Updated Marketplace links.",Piotr Zalewa,2014-05-05T07:10:04Z,zalun,zalun,6,2,4
3,Marketplace.PHP,c2c190bc2e5eb0a1bac51610bb5f60725fcd1aaf,"Updated Marketplace links.

New URLs point to firefox.com, not mozilla.org.
Fixes #24",Evaldo Junior,2014-05-01T02:36:23Z,InFog,InFog,6,2,4
4,Marketplace.PHP,9ac8bdef4f008d07b73858a94140316ef32df43a,"Merge pull request #22 from KryDos/master

add php syntax highlighting in readme file",Piotr Zalewa,2014-01-06T15:06:36Z,zalun,zalun,48,28,20
5,Marketplace.PHP,30af8431755dab503074547f541a4aec5be2e60f,add php syntax highlighting in readme file,Ruslan Bekenev,2014-01-04T22:27:27Z,KryDos,KryDos,48,28,20
6,Marketplace.PHP,fe9cf9a30f7214d61f3cb2bdc346167351a88812,"Merge pull request #21 from kinncj/hhvm

Added HHVM Support and backward compatibility with 5.3",Piotr Zalewa,2013-12-27T15:23:18Z,zalun,zalun,212,203,9
7,Marketplace.PHP,b44c37462356df780bcf150633f936e395060381,Fixed typo on authors name,Kinn Coelho Julião,2013-12-23T16:42:24Z,kinncj,kinncj,20,10,10
8,Marketplace.PHP,3308a3bd353a68485aaab147914b0d0936c0bc8b,Added extension repository,Kinn Coelho Julião,2013-12-21T11:35:58Z,kinncj,kinncj,70,56,14
9,Marketplace.PHP,6e9e128c8bfda7129b60c099e91ec14bafdea111,Improved extension loading,Kinn Coelho Julião,2013-12-21T11:28:14Z,kinncj,kinncj,65,19,46
10,Marketplace.PHP,b9f468238508dfdcb06d0db69a724a2b0636cb5a,"Merge pull request #18 from kinncj/master

Refactored to touch base with Object Calisthenics",Piotr Zalewa,2013-12-20T20:51:37Z,zalun,zalun,2239,1366,873
11,Marketplace.PHP,ee83c8a56ff5e8953f405934eaceac3d5b246c5f,Removed the skip flag from the Image test,Kinn Coelho Julião,2013-12-20T20:01:32Z,kinncj,kinncj,5,0,5
12,Marketplace.PHP,68ca362b2e049be12ac22eb0047ad1733a44c151,Added Zend Standard Extension directory structure,Kinn Coelho Julião,2013-12-20T19:58:00Z,kinncj,kinncj,12,7,5
13,Marketplace.PHP,8f29fbce60baa4b4afd8fc0a8b9ec37e3e5222c4,Fixed namespace for getimagesizefromstring,Kinn Coelho Julião,2013-12-20T19:48:41Z,kinncj,kinncj,8,4,4
14,Marketplace.PHP,8e32c63fc6d6eaadd92860bcaa5b16c434535a83,Fixed namespace error for registering methodlist,Kinn Coelho Julião,2013-12-20T19:40:24Z,kinncj,kinncj,10,5,5
15,Marketplace.PHP,c99a7ca75acbdb1ce4285391ddaae77d4c07eec8,Fixed .travis with php 5.3,Kinn Coelho Julião,2013-12-20T19:35:25Z,kinncj,kinncj,3,2,1
16,Marketplace.PHP,ff7c0c20fcd4fe69c4fe0ac23e0d6488aa44a75f,Added support to PHP 5.3 and HHVM,Kinn Coelho Julião,2013-12-20T19:32:36Z,kinncj,kinncj,180,180,0
17,Marketplace.PHP,47add96a0f007bd830df173200174907172a8bec,Added HHVM support,Kinn Coelho Julião,2013-12-20T14:44:44Z,kinncj,kinncj,1,1,0
18,Marketplace.PHP,6d2c7c7dfb721f0b836756749d901fef32e44ff6,Coverage Removed,Kinn Coelho Julião,2013-12-20T14:34:01Z,kinncj,kinncj,7238,0,7238
19,Marketplace.PHP,0607ba678ec0bd63bf4926b77a19163de4d4560c,"Merge pull request #20 from zalun/revert_pull_request_19

Revert ""Merge pull request #19 from InFog/PHPUnitXML""",Piotr Zalewa,2013-11-25T11:16:45Z,zalun,zalun,27,9,18
20,Marketplace.PHP,75ea378a103380b35cb6d37a5fad3de8b273d8f7,"Revert ""Merge pull request #19 from InFog/PHPUnitXML""

This reverts commit b0f7a6e935cfe6325d360200997c46377ff833b2, reversing
changes made to 303a138adf1fc7167e24e893ab31543a83c99d0a.",Piotr Zalewa,2013-11-25T11:14:59Z,zalun,zalun,27,9,18
