,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,MoDataSubmission,37b62d876ce3f95fc7d45101ee3e0e9672fab76f,update from machine,Kyle Lahnakoski,2020-08-11T11:13:02Z,klahnakoski,klahnakoski,6,4,2
1,MoDataSubmission,8c7fc2de4666c3fad21ed3334c4d857b2192a07e,remove junk from script,Kyle Lahnakoski,2016-06-07T22:33:29Z,Kyle Lahnakoski,Kyle Lahnakoski,7,0,7
2,MoDataSubmission,13d66742f6c839db848ef8fd272e44169f8d5a4b,better logging,Kyle Lahnakoski,2016-06-07T22:32:17Z,Kyle Lahnakoski,Kyle Lahnakoski,4,3,1
3,MoDataSubmission,9cd8a24232c95be23a036fd3360f858f6a97ebd6,changes for lib,Kyle Lahnakoski,2016-06-07T22:15:12Z,Kyle Lahnakoski,Kyle Lahnakoski,11,9,2
4,MoDataSubmission,a2d4ef520f8566206f8173af1920206e94328d9c,lib update,Kyle Lahnakoski,2016-06-07T22:11:40Z,Kyle Lahnakoski,Kyle Lahnakoski,21366,18724,2642
5,MoDataSubmission,41fbaebc74178fa7a5d06fac37025d57887997f7,Merge branch 'dev',Kyle Lahnakoski,2016-02-23T18:48:34Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
6,MoDataSubmission,ad4192c5472c075a99b35466502ef1852e2bf1ef,remove public,Kyle Lahnakoski,2016-02-23T18:47:48Z,Kyle Lahnakoski,Kyle Lahnakoski,2,1,1
7,MoDataSubmission,c8c75f1a84254d0786a34646776cea1dc32bf200,Merge branch 'dev',Kyle Lahnakoski,2016-02-12T13:29:24Z,Kyle Lahnakoski,Kyle Lahnakoski,16,13,3
8,MoDataSubmission,d52b173fd03a8ca976c6f659a49f02dc01373382,more logs,Kyle Lahnakoski,2016-02-12T13:28:59Z,Kyle Lahnakoski,Kyle Lahnakoski,6,5,1
9,MoDataSubmission,e491af73f749e2a74a8ba885101d8c12feea78d5,working test,Kyle Lahnakoski,2016-02-09T19:22:13Z,Kyle Lahnakoski,Kyle Lahnakoski,10,8,2
10,MoDataSubmission,926e1f7ba5260734c46ad7dea6b2b929bf267f94,Merge branch 'dev',Kyle Lahnakoski,2016-02-09T19:10:19Z,Kyle Lahnakoski,Kyle Lahnakoski,24,13,11
11,MoDataSubmission,ecb68d4802856bea1e04c39a9219df172089052e,more logs,Kyle Lahnakoski,2016-02-09T19:10:05Z,Kyle Lahnakoski,Kyle Lahnakoski,24,13,11
12,MoDataSubmission,caf155e9be7b00258de4d6321933a86d35483e66,Merge branch 'dev',Kyle Lahnakoski,2016-02-09T18:33:35Z,Kyle Lahnakoski,Kyle Lahnakoski,26,18,8
13,MoDataSubmission,093919585de59b7c9127c94c94ab698e3d71f8f8,fixes,Kyle Lahnakoski,2016-02-09T18:33:25Z,Kyle Lahnakoski,Kyle Lahnakoski,26,18,8
14,MoDataSubmission,474f4486b7eb760cb66553b4b7e61accaa21bb39,Merge branch 'dev',Kyle Lahnakoski,2016-01-25T17:20:44Z,Kyle Lahnakoski,Kyle Lahnakoski,20,19,1
15,MoDataSubmission,3c06d9b235a1c0b8014ebbdee36cebfb52ed4c4c,handle missing auth with grace,Kyle Lahnakoski,2016-01-25T17:15:01Z,Kyle Lahnakoski,Kyle Lahnakoski,20,19,1
16,MoDataSubmission,b2c67167d87a77bbcd0d514b7faa2b821f8dd025,Merge branch 'dev',Kyle Lahnakoski,2016-01-14T16:32:53Z,Kyle Lahnakoski,Kyle Lahnakoski,44,36,8
17,MoDataSubmission,f392be4c269c47fc0bc84f682223c4d735c2e041,"simpler 400
add max_size paramter
test it is working",Kyle Lahnakoski,2016-01-14T16:32:43Z,Kyle Lahnakoski,Kyle Lahnakoski,44,36,8
18,MoDataSubmission,185f9d665f501162d3a9ac229b72764a1495f86b,Merge branch 'dev',Kyle Lahnakoski,2016-01-14T15:49:04Z,Kyle Lahnakoski,Kyle Lahnakoski,246,231,15
19,MoDataSubmission,bda399f528fa97f71c93c0ab93cfb4873e6066d5,formatting,Kyle Lahnakoski,2016-01-14T15:48:31Z,Kyle Lahnakoski,Kyle Lahnakoski,12,6,6
20,MoDataSubmission,9c5f72cc165ea260be70d6515ce4fc6e9b8be1dd,"accept not-signed data, with secret pattern",Kyle Lahnakoski,2016-01-14T15:44:45Z,Kyle Lahnakoski,Kyle Lahnakoski,107,102,5
21,MoDataSubmission,7ad0b46f9071240080ffccde87fa2c596c9653f1,docs,Kyle Lahnakoski,2016-01-10T14:35:25Z,Kyle Lahnakoski,Kyle Lahnakoski,94,92,2
22,MoDataSubmission,2efce9ae98375305db84ec83f738116f0c0570b7,renaming,Kyle Lahnakoski,2016-01-10T13:40:56Z,Kyle Lahnakoski,Kyle Lahnakoski,7,3,4
23,MoDataSubmission,9e991fbced32b46103930aac5c8c4e4c49d1ebad,add simple program that will submit to production,Kyle Lahnakoski,2016-01-10T04:37:06Z,Kyle Lahnakoski,Kyle Lahnakoski,30,30,0
24,MoDataSubmission,6610cc7f23d154cd8f137d1212108aa720463072,Merge branch 'dev',Kyle Lahnakoski,2016-01-10T04:26:57Z,Kyle Lahnakoski,Kyle Lahnakoski,305,206,99
25,MoDataSubmission,fdbfc58eb8db895ab322a4c5314edb2e6eb68e14,"better test
fix various data losses
more situations to write file",Kyle Lahnakoski,2016-01-10T04:25:52Z,Kyle Lahnakoski,Kyle Lahnakoski,195,127,68
26,MoDataSubmission,ba9ca30c21828ec7fb659338774e376f1663b1a6,Abstract a Client,Kyle Lahnakoski,2016-01-09T23:23:17Z,Kyle Lahnakoski,Kyle Lahnakoski,129,89,40
