,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,OpenWPM,2ee50787ac96f85c7ff58eefe084651c3c117bd2,Remove escape command in selenium,cgeubank,2014-04-24T21:34:02Z,cgeubank,cgeubank,4,2,2
1,OpenWPM,ca358dc02e068665dd566511245daf9546da4e84,updated profile generator,ptzimmerman,2014-04-24T14:52:16Z,ptzimmerman,ptzimmerman,21,11,10
2,OpenWPM,8b724231acb657b2c6a060436075b618f8acbc81,fixed bug - browser manager should wait for thread to complete command execution when only using a single browser,ptzimmerman,2014-04-24T01:41:13Z,ptzimmerman,ptzimmerman,34,20,14
3,OpenWPM,5ae2111fdd3f558c241cbfd980b29bed7aac6afb,task manager writes to crawl table which browser finishes,ptzimmerman,2014-04-23T13:54:17Z,ptzimmerman,ptzimmerman,8,6,2
4,OpenWPM,66d60b8ae1105f0d66c31d39b42aecccc4adf183,forgot to remove my breakpoint...,ptzimmerman,2014-04-23T13:38:52Z,ptzimmerman,ptzimmerman,1,0,1
5,OpenWPM,bb2eb6aa209901da5789a73573132e70ef7bec07,updated crawl DB to write chosen random browser parameters,ptzimmerman,2014-04-23T13:37:42Z,ptzimmerman,ptzimmerman,23,21,2
6,OpenWPM,e14c0c69964ce49119aaa46d0eca8dca9f544fd6,Merge branch 'multiprocessing',englehardt,2014-04-22T23:35:58Z,englehardt,englehardt,712,591,121
7,OpenWPM,c6f6741eb57b5e69834be60ab4b015a1616b3e4a,bugfix related to api change in socket interface,englehardt,2014-04-22T23:16:10Z,englehardt,englehardt,6,3,3
8,OpenWPM,f59e742b39c71abff31b56c6df0e85b2e7493760,adding a simple script to backup and clear flash LSO,englehardt,2014-04-22T22:57:22Z,englehardt,englehardt,49,42,7
9,OpenWPM,ec0d446aa2aeabeeac886cf63d379942dd8eb585,added three-crawl cookie extraction,englehardt,2014-04-22T04:55:31Z,englehardt,englehardt,61,61,0
10,OpenWPM,fe18abc0c90c213465f89901095a32e64ca6bb9b,added three-crawl extraction,englehardt,2014-04-22T04:50:45Z,englehardt,englehardt,63,62,1
11,OpenWPM,d91e29f79095a3c0c3d0ad84ae4db3d556bec6e5,Add support for disabling flash,englehardt,2014-04-21T23:05:48Z,englehardt,englehardt,25,15,10
12,OpenWPM,fd3c41fbcad2e2fc92e6147f98acdcfb72558735,bad copypaste bug fix,englehardt,2014-04-21T22:49:11Z,englehardt,englehardt,9,5,4
