,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,Social-Email-Template,10b24b1aa579550aedeeffe5fac18476935e1ffe,++,Rachel McGuigan,2018-11-08T01:26:21Z,turtlelovesshoes,turtlelovesshoes,5,2,3
1,Social-Email-Template,e4d4a334a838d92174ef644d6c869982535006f0,Fix Reply image,Rachel McGuigan,2018-11-08T01:25:01Z,turtlelovesshoes,turtlelovesshoes,0,0,0
2,Social-Email-Template,acb7507df67ce2d4af27e8991d486183b8137c02,--growth,Rachel McGuigan,2018-11-08T01:19:27Z,turtlelovesshoes,turtlelovesshoes,1,0,1
3,Social-Email-Template,44c0ec058adbd9e1082d8a35d0b48509c61aaa1e,imagesoct,Rachel McGuigan,2018-11-08T01:09:54Z,turtlelovesshoes,turtlelovesshoes,0,0,0
4,Social-Email-Template,e0225bd9ace97cb68e58549c8b4cd03997a6ba4d,Create October_monthly email,Rachel McGuigan,2018-11-08T01:02:18Z,turtlelovesshoes,turtlelovesshoes,162,162,0
5,Social-Email-Template,6a3b4ad2969dbdfa415157fab6e65a254247e9ec,Add files via upload,Rachel McGuigan,2018-10-05T22:10:26Z,turtlelovesshoes,turtlelovesshoes,0,0,0
6,Social-Email-Template,458e91d2e8b7a24980ea3820c28f3a234b8cd7ac,"new changes in the photos
Merge branch 'master' of
https://github.com/turtlelovesshoes/Social-Email-Template",Yuliana,2018-10-05T22:04:55Z,Yuliana,Yuliana,0,0,0
7,Social-Email-Template,72c2537c158e74744b21ddd17e195e7ce2a33d41,++reality screenshot,Rachel McGuigan,2018-10-05T21:59:28Z,turtlelovesshoes,turtlelovesshoes,0,0,0
8,Social-Email-Template,9a773883810935a37b71fdab15f568f6c6340d02,Merge branch 'master' of https://github.com/turtlelovesshoes/Social-Email-Template,Yuliana,2018-10-05T21:58:42Z,Yuliana,Yuliana,0,0,0
9,Social-Email-Template,d6174c59d0e01d365ed15dbcae6633f8b6879c08,reality,Rachel McGuigan,2018-10-05T21:58:18Z,turtlelovesshoes,turtlelovesshoes,0,0,0
10,Social-Email-Template,ec8663d17241467550ddb13270e36953094bd313,version to revision,Yuliana,2018-10-05T21:58:03Z,Yuliana,Yuliana,18,10,8
11,Social-Email-Template,04a81a0ba9f3d52e02404ae6fd271b8b248aa5e5,++,Rachel McGuigan,2018-10-05T21:54:08Z,turtlelovesshoes,turtlelovesshoes,0,0,0
