,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,SocialShare,77d164061b3bcdf1b51d87b8b41d025100aacfcd,"Merge pull request #31 from alexgibson/hardcoded-l10n-bug-887147

Add l10n fixes for social share widget bug 887147",Steven Garrity,2013-07-19T15:26:53Z,sgarrity,sgarrity,40,29,11
1,SocialShare,c06233bba526c60322ce9f2f48e7a1127bb5e148,Add l10n fixes for social share widget bug 887147,Alex Gibson,2013-07-11T13:20:07Z,alexgibson,alexgibson,40,29,11
2,SocialShare,83aecb5576eee63e96d332d03bff0f727f42f021,"Merge pull request #30 from pmclanahan/master

Add keyboard support to buttons.
Move images to a single sprites image.
Fix bug 747532 747963.",Paul McLanahan,2012-06-05T19:43:49Z,pmac,pmac,174,78,96
3,SocialShare,c522d8be4bccc5891c047fb8825d6db7a0b362b8,"Fix scrolling issue with FB button.

Thanks to icaaq for the fix.",Paul McLanahan,2012-06-05T16:07:51Z,pmac,pmac,6,3,3
4,SocialShare,4aa8530261b6c6547b02b9d167b19a960e813f13,Prevent space bar from scrolling when on share button.,Paul McLanahan,2012-06-05T14:01:39Z,pmac,pmac,3,2,1
5,SocialShare,3414669cd4c90ddbf11b3f39c098cab668f81a5f,Update resources after compress.sh run.,Paul McLanahan,2012-06-04T22:06:07Z,pmac,pmac,4,2,2
6,SocialShare,11e8c30355b10040ed8232e78f3b9584851f80d2,Merge branch 'icaaq-keyboard-support2',Paul McLanahan,2012-06-04T22:04:16Z,pmac,pmac,177,76,101
7,SocialShare,da2791522ecb9e5ef06386902102d43be4b5af59,"Revert ""Merge branch 'make-all-the-sprites'""

This reverts commit 4edb75e444c74728fe49798bd7b8bfadc9a44342, reversing
changes made to 47a43b377e504c2cd36f2d82fab07cff0e830f6a.

Conflicts:
	media/socialshare.min.css",Paul McLanahan,2012-06-04T22:03:42Z,pmac,pmac,29,17,12
8,SocialShare,3a065c639d3ef20770afb6bbb4db1ca29e5bf604,"Revert ""Fix issue with caret position in active state.""

This reverts commit ee7f091dd0928c24005cd2740fda46d94edbdf15.

Conflicts:
	media/socialshare.min.css",Paul McLanahan,2012-06-04T21:52:58Z,pmac,pmac,5,3,2
9,SocialShare,3963b328bb5be43c6e8c9347dc7ecf7ca8b74864,Fix regression from merge.,Paul McLanahan,2012-06-04T21:48:09Z,pmac,pmac,2,1,1
10,SocialShare,31b7ec4ff029e74f2ff304467dc182bafc56d532,"Merge pull request #25 from icaaq/add-keyboard-support

Keyboard, sprite and aria support added

Conflicts:
	src/socialshare.js
	src/style.less",Paul McLanahan,2012-06-04T21:15:09Z,pmac,pmac,179,77,102
11,SocialShare,8695b64ff564175244ed4fceec595db671d142a6,close widget with escape-key,Isac Lagerblad,2012-06-01T19:51:51Z,icaaq,icaaq,5,5,0
12,SocialShare,77b7f65e807666b36203c45cdc0bc7aee1f6e4b9,"Hide troublesome FB iframe. Fix horiz scroll issue.

Thanks to craigcook for the help with the diagnosis.",Paul McLanahan,2012-05-09T00:03:37Z,pmac,pmac,6,5,1
13,SocialShare,ee7f091dd0928c24005cd2740fda46d94edbdf15,Fix issue with caret position in active state.,Paul McLanahan,2012-05-08T20:31:21Z,pmac,pmac,5,2,3
14,SocialShare,4edb75e444c74728fe49798bd7b8bfadc9a44342,Merge branch 'make-all-the-sprites',Paul McLanahan,2012-05-07T19:46:06Z,pmac,pmac,29,12,17
15,SocialShare,42230c4f4fa8dfabab606eb6633227eb7c320aab,Fix from review.,Paul McLanahan,2012-05-07T19:44:34Z,pmac,pmac,8,4,4
16,SocialShare,70ceae03966ad652106661788458c965f2246cc5,"added aria-hidden and outline

and fixed indentation",Isac Lagerblad,2012-05-04T15:37:34Z,icaaq,icaaq,7,5,2
17,SocialShare,47a43b377e504c2cd36f2d82fab07cff0e830f6a,"Merge pull request #29 from stenington/css-text-fix

add line-height and font-size to css",Fred Wenzel,2012-05-03T22:22:49Z,fwenzel,fwenzel,2,2,0
18,SocialShare,7520ad3ea7d872a51948818278e8f0b94b07da86,add line-height and font-size to keep text lined up with heart and caret,Mike Larsson,2012-05-03T17:37:15Z,stenington,stenington,2,2,0
19,SocialShare,720060bbf37581cc4bde1dedb02f7f2b5415ec30,"Merge pull request #28 from stenington/bootstrap-collision

collision with Bootstrap Dropdowns",Fred Wenzel,2012-05-03T16:06:22Z,fwenzel,fwenzel,4,2,2
20,SocialShare,34f09eacfd2fc399ba036f383b64682eb895457d,changed data-toggle value not to collide with bootstrap dropdowns,Mike Larsson,2012-05-03T15:08:47Z,stenington,stenington,4,2,2
21,SocialShare,f0d02685105a15d698ee6b845d1e758755b2a058,"spacebar now toggles states

Added ability to toggle open/close states with the spacebar key. Also
added role=""button"" to the .share-button",Isac Lagerblad,2012-05-02T19:41:38Z,icaaq,icaaq,7,6,1
22,SocialShare,3ddb7f7b95d68fc6ef7e5b309ac75a929c1b5700,Convert images to sprites. Fix bug 747532.,Paul McLanahan,2012-04-30T22:56:04Z,pmac,pmac,29,12,17
23,SocialShare,b0d0ef3212886290c3e905304e091747e968bfb3,"optimized sprite.png

ran it through ImageOptim",Isac Lagerblad,2012-04-28T18:17:37Z,icaaq,icaaq,0,0,0
24,SocialShare,26c3d24a44851d8088a303d7865654f0ef74e07a,"fixed indenting and removed outline

focus and hover state is visible via change of color",Isac Lagerblad,2012-04-28T16:37:08Z,icaaq,icaaq,9,5,4
25,SocialShare,802cd5a43ac6cd5440389a80372fcbdfd493afb7,"keyboard, sprite and aria support added

Enhanced the code with keyboard support and added aria-states when
open/closed.
Added sprite-image",Isac Lagerblad,2012-04-28T15:54:22Z,icaaq,icaaq,161,65,96
26,SocialShare,4be678b051e41974f540031d67b3b9ab3ea47f99,Update readme for uglify dependency.,Owen Coutts,2012-04-24T23:34:55Z,tallowen,tallowen,2,1,1
27,SocialShare,230f07b169b0746cefd06e23fa465969e81b6d7e,Close plugin on escape key press,Owen Coutts,2012-04-23T23:01:43Z,tallowen,tallowen,8,7,1
28,SocialShare,15db9f824c4fc974a33fc87394486c8e0222076e,Added license,Owen Coutts,2012-04-04T17:18:50Z,tallowen,tallowen,28,28,0
29,SocialShare,983169e016f432dfec6df4490d3d2256038d0bbb,"Use uglifyjs

Added package.json so that people can just run `npm install` to grab all
the dependencies.",Owen Coutts,2012-04-04T17:55:08Z,tallowen,tallowen,13,11,2
30,SocialShare,d4fd49a26ae19c34942bf631010cb4dd09edfb59,Added open graph tags,Owen Coutts,2012-03-30T21:54:57Z,tallowen,tallowen,16,11,5
31,SocialShare,18640b5f03adca28fbdbb26788550b52a59770e8,"Added data related field on the twitters

After people tweet something with the plugin, twitter asks if you would
like to follow firefox",Owen Coutts,2012-04-04T17:04:26Z,tallowen,tallowen,9,6,3
32,SocialShare,bc0a37a593c56d1fa2166d8e03ef68db9e5b3bc4,Fix bad math in pixel counting,Owen Coutts,2012-03-14T20:53:41Z,tallowen,tallowen,6,3,3
33,SocialShare,1a8f201b3156128c8d00e5aa73f32f11969634e9,"Merge pull request #15 from tallowen/collusion

Make fixes for collusion page.",Matthew Riley MacPherson,2012-03-14T20:31:45Z,tofumatt,tofumatt,20,10,10
34,SocialShare,883bfae0fc622be697404dcea86e2f2fa8cf21d9,"Make fixes for collusion page.

These fixes should also make it easier to insert the share buttons into
other sites.",Owen Coutts,2012-03-14T20:28:02Z,tallowen,tallowen,20,10,10
35,SocialShare,ae276a75afbf00c864f320f701a6f5a127852d53,Shell script should start with interpreter line.,Fred Wenzel,2012-03-14T17:40:34Z,Fred Wenzel,Fred Wenzel,2,2,0
36,SocialShare,903d92af4bbffd080fe36fc54ebb73efa7638dc3,Caret was off one pixel.,Fred Wenzel,2012-03-14T17:04:51Z,Fred Wenzel,Fred Wenzel,0,0,0
37,SocialShare,f80654e35d054dd9d07bfba4ab6bae50989a0b5d,Make css more resilient,Owen Coutts,2012-03-13T23:27:50Z,tallowen,tallowen,10,9,1
38,SocialShare,32b63beb98e5b2ecc5f902b671cc6d78b7b12d3b,"Updates to README to reflect reality.

Its `data-type` not `data-size`",Owen Coutts,2012-03-13T23:37:24Z,tallowen,tallowen,4,2,2
39,SocialShare,c368ff1e67e85bf10819743da487a0927b12976d,"Had I realized there's a preview button, I wouldn't have to commit twice. fml!",Fred Wenzel,2012-03-13T23:34:29Z,fwenzel,fwenzel,2,1,1
40,SocialShare,2915b38a7e13539439b168b06e6e8fa69ca3f54a,Quotes. I love this in-place editor.,Fred Wenzel,2012-03-13T23:33:54Z,fwenzel,fwenzel,2,1,1
41,SocialShare,d43e63bbb04bd8c210246eb856588c3d99cf8fcc,Include fb-root div in unpack script,Owen Coutts,2012-03-13T03:31:00Z,tallowen,tallowen,13,5,8
42,SocialShare,132cdb6c49bbafc58964edcee08980060a71d6df,remove camel cased file name,Owen Coutts,2012-03-13T03:14:55Z,tallowen,tallowen,0,0,0
43,SocialShare,87fa00e000d258fb1bdd2c3bcaeef34557acdbe4,"Twitter pluggin uses opengraph data

Twiter values are configurable with the open graph metadata options as
described in the readme.",Owen Coutts,2012-03-13T00:36:55Z,tallowen,tallowen,29,25,4
44,SocialShare,b2783e51ec1e10d222fa4711288bb8d698b4e9c0,Added configurable tweet by,Owen Coutts,2012-03-12T23:53:11Z,tallowen,tallowen,20,16,4
45,SocialShare,8c839c59ceacf40b8c6f2f08ebf8dd60626f240a,"Updated Readme

Included section about how to compile files; improved section about
includeing things",Owen Coutts,2012-03-12T23:02:33Z,tallowen,tallowen,23,18,5
46,SocialShare,0078ff31c81af0e64f1995669f48181e463675b7,"Create makefile for compression

Reorganized directory structure to better make clear what is mine, what
is for the demo and what gets compiled",Owen Coutts,2012-03-12T22:22:43Z,tallowen,tallowen,30,21,9
47,SocialShare,a90b57f0be0b59079d99a2b4923a7dcbaa8479c8,"Initial version of plugin

Created plugin according to original spec in bug723761. Will update
according to gh issue log.",Owen Coutts,2012-02-27T06:14:53Z,tallowen,tallowen,595,595,0
48,SocialShare,f9b0ca9318e560d948cc879bda92d193b786bc4c,Initial Commit,Owen Coutts,2012-02-26T04:52:28Z,tallowen,tallowen,0,0,0
