,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,about-home-jumping-fox-game,88849608ff23b53f40f7c121767fd9b7a5400eca,"Merge pull request #1 from mortonfox/patch-1

Update the moved link",Michael Kelly,2016-07-31T06:29:40Z,Osmose,Osmose,2,1,1
1,about-home-jumping-fox-game,82aac2861c9ee7035bcc8e6fd2149202197215c7,"Update the moved link

The snippets repo has been reorganized",Morton Fox,2016-07-31T05:07:19Z,mortonfox,mortonfox,2,1,1
2,about-home-jumping-fox-game,45d64f455b9bbad79160774aeed5b6e9323bfe27,Moved messages.,Giorgos Logiotatidis,2015-06-05T09:57:51Z,glogiotatidis,glogiotatidis,2,2,0
3,about-home-jumping-fox-game,fd2717e54fcb4ed255b7e552606b00e4d405bd43,Simplified instructions.,Adrian Gaudebert,2011-08-05T00:24:27Z,adngdb,adngdb,2,1,1
4,about-home-jumping-fox-game,e2bb2f3a1db9470fc5b8c9c0c3cc3dd83062769f,"Added a README, stolen from about-home-persona-switcher",Adrian Gaudebert,2011-08-05T00:23:17Z,adngdb,adngdb,19,19,0
5,about-home-jumping-fox-game,243bb99119ab1844aeccc0a83b6fb001f342aa5e,Added a gitignore for build and temporary files.,Adrian Gaudebert,2011-08-05T00:14:59Z,adngdb,adngdb,2,2,0
6,about-home-jumping-fox-game,d8c047c5f080831d63f92917b706d7025feeb32b,"Removed old, useless images.",Adrian Gaudebert,2011-08-05T00:12:40Z,adngdb,adngdb,0,0,0
7,about-home-jumping-fox-game,d698be51862a966a45102d29ecf5b8926d6771ad,Game compilation into one single file now works!,Adrian Gaudebert,2011-08-04T04:02:22Z,adngdb,adngdb,9667,4832,4835
8,about-home-jumping-fox-game,69435018230eb46004c982de2f3d2f750c957822,Trying to build the prog correclty.,Adrian Gaudebert,2011-07-22T08:47:13Z,adngdb,adngdb,16,9,7
9,about-home-jumping-fox-game,cf80c1a1cd1da2c6b76ad85a28cc0bba2ba5a582,Verifying the result is ok before printing it.,Adrian Gaudebert,2011-07-22T04:12:17Z,adngdb,adngdb,8,6,2
10,about-home-jumping-fox-game,ae6537685c22a1918e895adba40ae559a1b21c5d,"Compiling encoded image in a good way, adding base64 data in JS.",Adrian Gaudebert,2011-07-22T04:11:50Z,adngdb,adngdb,21,13,8
11,about-home-jumping-fox-game,6bc4da4fd5a01b4331a124b79ee8eb4f9693b239,"Switching to last crafty version, trying something to solve the problem with sprites not appearing.",Adrian Gaudebert,2011-07-22T03:07:42Z,adngdb,adngdb,33,21,12
12,about-home-jumping-fox-game,c1c361213a26037e228ac63775986d03f47c16bf,Changing order of js files when concatening.,Adrian Gaudebert,2011-07-22T03:06:56Z,adngdb,adngdb,16,10,6
