,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,about-home-persona-switcher,3c65700788d20571c9cdc47f3f968a91ba64dba9,"Merge pull request #2 from mortonfox/patch-1

Update moved link",Michael Kelly,2016-07-31T06:30:26Z,Osmose,Osmose,2,1,1
1,about-home-persona-switcher,972b1f109253ada3e21c10ea32e3f60b7b4316bd,"Update moved link

The snippets repo has been reorganized",Morton Fox,2016-07-31T05:11:21Z,mortonfox,mortonfox,2,1,1
2,about-home-persona-switcher,5f8048a28969d2f83dbfeac09198a81fea1d337f,Moved messages.,Giorgos Logiotatidis,2015-06-05T09:58:27Z,glogiotatidis,glogiotatidis,2,2,0
3,about-home-persona-switcher,006130a71ab7268a8a49969d4dd94758becb0d9e,Change sampling rate from 50% to 5%.,Michael Kelly,2011-08-24T17:27:12Z,Michael Kelly,Michael Kelly,2,1,1
4,about-home-persona-switcher,e33c3650820527641e8b19a59ca8db5b56e11b4d,Switch dcsMultiTrack domain to getpersonas.,Michael Kelly,2011-08-04T21:57:23Z,Michael Kelly,Michael Kelly,6,3,3
5,about-home-persona-switcher,1dd12ca2e876e33ba1b37c868064efb56056c078,Fix link bug and webtrends again,Michael Kelly,2011-08-01T18:52:26Z,Michael Kelly,Michael Kelly,9,7,2
6,about-home-persona-switcher,1f315ba24cb6d6645426cc28f999f88cfff06452,Change tracking domain to getpersonas,Michael Kelly,2011-07-22T17:42:56Z,Michael Kelly,Michael Kelly,2,1,1
7,about-home-persona-switcher,5ec391dee13e4f02a5356051381b141ad5d9fa54,Add proper Webtrends tracking to Persona installs at a 50% sample rate,Michael Kelly,2011-07-20T16:31:46Z,Michael Kelly,Michael Kelly,793,134,659
8,about-home-persona-switcher,a6a961d77d621e0549a888df7fb9f0af481c1548,Add webtrends tracking code,Michael Kelly,2011-07-18T16:28:47Z,Michael Kelly,Michael Kelly,708,700,8
9,about-home-persona-switcher,931489f570af79b118bd6809f3816596450e8965,Change gallery link text,Michael Kelly,2011-07-14T22:03:08Z,Michael Kelly,Michael Kelly,2,1,1
10,about-home-persona-switcher,cb600c402b1526378f3e5b35680adcff263a5f52,Add webtrends gallery link,Michael Kelly,2011-06-30T18:49:58Z,Michael Kelly,Michael Kelly,2,1,1
11,about-home-persona-switcher,7dfd542bb70b8b6a19a6e56ddc8757d7fa770217,Fix link to personas gallery,Michael Kelly,2011-06-30T00:21:07Z,Michael Kelly,Michael Kelly,4,2,2
12,about-home-persona-switcher,dfa2c92c9046626c3fea4e468d4b57d4524f440d,Add alt text for images,Michael Kelly,2011-06-29T23:07:50Z,Michael Kelly,Michael Kelly,9,6,3
13,about-home-persona-switcher,6a67a2e763cac35fb2d79af31db4f66cdc01d170,Add development setup to README,Michael Kelly,2011-06-29T23:01:11Z,Michael Kelly,Michael Kelly,14,14,0
14,about-home-persona-switcher,c07740aebb8bfdf24ed4b858e0f9f7b3826c7bb6,Initial commit; add snippet and iframe code.,Michael Kelly,2011-06-29T22:29:22Z,Michael Kelly,Michael Kelly,123,123,0
