,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,ace,99ad78d13c3654a89fadcf0189f7facd04234793,"* Changed css class setting
* Added max 0 for height",unknown,2010-04-21T12:37:45Z,unknown,unknown,8,4,4
1,ace,dd68dba6a9374de537b9cf76da8f62911a5fb2d3,fix toggle line comments,Fabian Jakobs,2010-04-20T15:35:55Z,fjakobs,fjakobs,13,11,2
2,ace,150ab6845204cb280c42dff57057bee69a104424,Store the top scroll top in the document,Fabian Jakobs,2010-04-20T15:25:48Z,fjakobs,fjakobs,20,19,1
3,ace,231d5e78dea7119dc1369b81344ac64152955034,rename TextDocument to document,Fabian Jakobs,2010-04-20T15:16:46Z,fjakobs,fjakobs,174,87,87
4,ace,592e94cff00fbd6cd6081871635009dc662c7fa6,make the demo nicer,Fabian Jakobs,2010-04-20T15:08:00Z,fjakobs,fjakobs,22,15,7
5,ace,9b562231a4e11f122dade579f28aa3de6efe315a,Add vertical scroll bar,Fabian Jakobs,2010-04-20T14:48:08Z,fjakobs,fjakobs,113,95,18
6,ace,150db75d039a13361437bd5d678f86a0b0fc0581,move layers into a separate folder,Fabian Jakobs,2010-04-20T13:30:30Z,fjakobs,fjakobs,86,48,38
7,ace,aecaea3ef17c70c2d1c88673f3baa8cb50f7a7b0,changing the document is now possible,Fabian Jakobs,2010-04-20T12:38:01Z,fjakobs,fjakobs,339,276,63
8,ace,328dfacf4792babccde9a85cc9f5bf6a29a78bc9,goto line is 1 based,Fabian Jakobs,2010-04-20T10:06:56Z,fjakobs,fjakobs,16,8,8
9,ace,ba025f3e8726942b3b682f482071e1ac392b3287,improve CSS and HTML auto indent,Fabian Jakobs,2010-04-20T10:06:47Z,fjakobs,fjakobs,151,132,19
10,ace,9f2ecbdb049adbc3ac6fa06c0d5d38b2c1f36d02,fix text layer,Fabian Jakobs,2010-04-19T16:28:24Z,fjakobs,fjakobs,2,1,1
11,ace,40299a28e3df28d10db8b08f35e0a131bfea006c,minor,Fabian Jakobs,2010-04-19T15:51:37Z,fjakobs,fjakobs,1,1,0
12,ace,07f2f8081b6c877a6e76a314e03a21b9a3bdd715,remove unused markup from generated HTML,Fabian Jakobs,2010-04-19T15:49:28Z,fjakobs,fjakobs,3,1,2
13,ace,935859b60e00f704b68d102a2218295d90bad10d,line numbers are 1-based,Fabian Jakobs,2010-04-19T15:47:23Z,fjakobs,fjakobs,6,3,3
14,ace,cb8d415f87086daf13732b5e9853b6e18741d1ac,fix performance issues,Fabian Jakobs,2010-04-19T15:01:25Z,fjakobs,fjakobs,16,13,3
15,ace,a9e2986121b827784ac398a1f3219b174556ce2a,clean up CSS and make it more IE6 friendly,Fabian Jakobs,2010-04-19T13:42:10Z,fjakobs,fjakobs,220,130,90
16,ace,7869795a1d814cc1ec6ff2cc7679a98116c1f98f,IE mouse event and mouse capture fixes,Fabian Jakobs,2010-04-19T11:08:07Z,fjakobs,fjakobs,114,71,43
17,ace,96e1618ec14c40e67ac7de25d2ddcec11372d73d,syntax highlighting for CSS embedding in HTML,Fabian Jakobs,2010-04-16T15:30:08Z,fjakobs,fjakobs,30,30,0
18,ace,8b110a3e70db1603d2194b653e90f0de7c048c64,first CSS tokenizer,Fabian Jakobs,2010-04-16T15:22:22Z,fjakobs,fjakobs,239,233,6
19,ace,b1a902b196f230e4ae45bcbda2b24273f6b3b570,fix background tokenizer,Fabian Jakobs,2010-04-16T13:46:19Z,fjakobs,fjakobs,14,7,7
20,ace,9fc3f77b4ce980362e7780a97fc68cd20f4df334,Use events for the backgroundtokenizer,Fabian Jakobs,2010-04-16T13:36:21Z,fjakobs,fjakobs,38,23,15
21,ace,980fee2e99006d5b81b84664835b5b8a4a57b54a,add html mode with mixed XML and JS highlighting,Fabian Jakobs,2010-04-16T13:35:58Z,fjakobs,fjakobs,201,187,14
22,ace,257d80f3791cef35b7e929c0324484252050ccfd,"Add support for doc doc comments:

- special highlighting
- highlight jsdoc tags
- special auto indent mode",Fabian Jakobs,2010-04-16T10:08:03Z,fjakobs,fjakobs,146,103,43
23,ace,80f6cd772633338ebd309329d92253ed48091a22,add option to highlight the active line,Fabian Jakobs,2010-04-16T09:14:12Z,fjakobs,fjakobs,74,66,8
24,ace,299894795ec640031ef84bdf1ceb2f16b39e2f39,"add copy lines down/up functionality and fix ""delete line""",Fabian Jakobs,2010-04-16T08:46:47Z,fjakobs,fjakobs,208,166,42
25,ace,e37af546d5ecb428f9d5444f8a818aa6a827edb6,support dynamic change of selection style,Fabian Jakobs,2010-04-15T15:09:11Z,fjakobs,fjakobs,62,47,15
26,ace,3e8639596a8a3c74b9a364878819eb54d3754f41,move tab support from editor to the document,Fabian Jakobs,2010-04-15T14:42:07Z,fjakobs,fjakobs,128,58,70
27,ace,6a11af1a44d579b1fa70b67b157cef5df7633a85,some cleanups,Fabian Jakobs,2010-04-15T14:19:42Z,fjakobs,fjakobs,26,14,12
28,ace,a2f125ee4b763b2f59629d9431b2674651d7bfac,The selection lead is now the same as the cursor,Fabian Jakobs,2010-04-15T14:07:44Z,fjakobs,fjakobs,89,31,58
29,ace,844a440ca82be976f9144f020afe7ecaa1343a45,use events to publish document changes,Fabian Jakobs,2010-04-15T13:58:31Z,fjakobs,fjakobs,14,8,6
30,ace,1f82e32175a44b9595689d669636462ee31795b7,move word selection from the editor to the selection class,Fabian Jakobs,2010-04-15T13:58:13Z,fjakobs,fjakobs,118,82,36
31,ace,7529f90080fe6930d0ae7f51db19be1fcbe3ef3d,"refactor selection support into a separate class

Merge branch 'master' into HEAD

Conflicts:
	src/Editor.js
	src/KeyBinding.js
	src/Selection.js",Fabian Jakobs,2010-04-15T11:58:49Z,fjakobs,fjakobs,1551,879,672
32,ace,b7e69d5da56f83aacbd54afb20f0501530d72ae2,minor fixes,Fabian Jakobs,2010-04-15T08:34:23Z,fjakobs,fjakobs,45,32,13
33,ace,58d2b6917f0d670634b8052f6e7bf82aee5427ff,experimental file drag and drop support for FF,Fabian Jakobs,2010-04-15T08:34:04Z,fjakobs,fjakobs,34,34,0
34,ace,e9fe18f65767c1ffc64a252a4b94f3daf1e579be,first support for auto indent,Fabian Jakobs,2010-04-14T17:15:52Z,fjakobs,fjakobs,154,129,25
35,ace,34d851b24e66cddf234aa535e00cad73984e3a8e,support moving lines up/down (alt-up/down),Fabian Jakobs,2010-04-14T15:51:28Z,fjakobs,fjakobs,227,191,36
36,ace,960d6abc349e1de0672ed5b246bb837d05768f9a,minor fix to xml tokenizer,Fabian Jakobs,2010-04-14T14:04:22Z,fjakobs,fjakobs,27,24,3
37,ace,7399cc94e32ae3e3e79097d489868c348c725768,toggle comment functionality (Meta-7),Fabian Jakobs,2010-04-14T13:50:34Z,fjakobs,fjakobs,306,266,40
38,ace,29435328f30d65417d4fcb617d81657a86ef6596,reorganize language mode support,Fabian Jakobs,2010-04-14T09:39:42Z,fjakobs,fjakobs,520,287,233
39,ace,b9391734b6e77a053b9b3d4e80bc3b7ffb5201fa,introduce ace.provide function to create namespaces,Fabian Jakobs,2010-04-14T07:53:17Z,fjakobs,fjakobs,707,349,358
40,ace,ee1c4a0169dc78910e91a77b075c987f6554ccf8,add Ruben's text selection mode,Fabian Jakobs,2010-04-13T16:23:34Z,fjakobs,fjakobs,180,118,62
41,ace,2e906f4a353e3cc9194d1bb35a622fdd1c043f24,highlight matching brackets,Fabian Jakobs,2010-04-13T10:09:48Z,fjakobs,fjakobs,166,166,0
42,ace,09c873c7808e6fcef85648da4fffa4ad8a2d6208,goto line functionality,Fabian Jakobs,2010-04-13T08:10:56Z,fjakobs,fjakobs,95,89,6
43,ace,9b8f6c6c95931352237eb00a47484371f1570ab4,extract key binding into a separate files,Fabian Jakobs,2010-04-12T15:47:10Z,fjakobs,fjakobs,349,176,173
44,ace,879539f32aca8ffe07a7ee5aac5a6e9dc2a0f209,add indent/outdent support,Fabian Jakobs,2010-04-12T15:11:09Z,fjakobs,fjakobs,118,117,1
45,ace,f5a61599cf6adf19713393d3583eb823820b9574,add delete line command,Fabian Jakobs,2010-04-12T14:04:49Z,fjakobs,fjakobs,238,133,105
46,ace,c8ffa9d3ddcadd71004364e6074efc098c074a3c,eclipse project updates,Fabian Jakobs,2010-04-12T13:06:20Z,fjakobs,fjakobs,0,0,0
47,ace,2b5cfe2b42c6928653de8c62fe038c5dc6c8ec54,remove source version of lab.js,Fabian Jakobs,2010-04-12T13:06:08Z,fjakobs,fjakobs,358,0,358
48,ace,895e5b77c137da0739ca799da3454a223bd58e6e,navigate/select word left/right,Fabian Jakobs,2010-04-12T13:05:56Z,fjakobs,fjakobs,1492,851,641
49,ace,4ad2a8cf6648ddcfc82f45e60727d928a12e6229,update eclipse project settings,Fabian Jakobs,2010-04-12T11:11:14Z,fjakobs,fjakobs,6,6,0
50,ace,443b712b8f6cbe54758d5459ff790088bf6a9d77,make jslint happy,Fabian Jakobs,2010-04-12T11:10:47Z,fjakobs,fjakobs,1881,950,931
51,ace,8fe20516d44c1d112e6290bb5ef1adfb9a6650a9,adapt better to ajax.org coding styles,Fabian Jakobs,2010-04-12T10:49:00Z,fjakobs,fjakobs,3275,1593,1682
52,ace,2b88ca2c71f02521980ea3ba106644c82299547f,support start of file and end of file scrolling,Fabian Jakobs,2010-04-12T10:43:45Z,fjakobs,fjakobs,54,45,9
53,ace,4572d9f335dc7467d92b941829bf8e933ca06cbe,"add ""js Test Driver"" unit tests",Fabian Jakobs,2010-04-12T10:43:28Z,fjakobs,fjakobs,126,126,0
54,ace,05cb949f6587d434a833a512811d9ad3fe9e41de,doc updates,Fabian Jakobs,2010-04-12T08:45:34Z,fjakobs,fjakobs,8,7,1
55,ace,84ec636d7d0f5d7eb95165cb3fd3b6c634fef146,"introduce ""ace"" namespace and unify OO style",Fabian Jakobs,2010-04-12T08:39:57Z,fjakobs,fjakobs,1600,811,789
56,ace,72b556efaac1364776121393a1fee5e9eee49694,reorganize file structure and use labjs for loading,Fabian Jakobs,2010-04-12T07:23:46Z,fjakobs,fjakobs,688,632,56
57,ace,40fa64995d29f07a8fd34d03eadba447b7ac2eb9,add page up/down selection support,Fabian Jakobs,2010-04-12T06:46:06Z,fjakobs,fjakobs,44,42,2
58,ace,28887f1e6be1f906edac9cf5ae9cdc951adb1b69,tweak background tokenizer settings,Fabian Jakobs,2010-04-12T06:32:57Z,fjakobs,fjakobs,8,6,2
59,ace,119758358203fe04e33bbf540853a5d9c1d68c71,fix viewport calculation,Fabian Jakobs,2010-04-09T16:17:03Z,fjakobs,fjakobs,6,3,3
60,ace,03d5b5698993c1b61fc295f093d1988314b3b692,support page down/up navigation,Fabian Jakobs,2010-04-09T16:16:46Z,fjakobs,fjakobs,42,42,0
61,ace,a1dd52ebc87b350bca258deb3f457145df13d61a,support XML comments,Fabian Jakobs,2010-04-09T12:33:25Z,fjakobs,fjakobs,20,19,1
62,ace,07dc92addbea5691bb91dd2c5d39180c794835f0,externalize tokenizer and add XML support,Fabian Jakobs,2010-04-09T12:10:31Z,fjakobs,fjakobs,521,310,211
63,ace,24dd04d1babe99e9141ff7e8b075b8d496979379,support multi line strings,Fabian Jakobs,2010-04-09T10:32:34Z,fjakobs,fjakobs,54,49,5
64,ace,fac85b2b2766d1dc0f1844fdb5d84f708047e9a5,Multi line tokenizer,Fabian Jakobs,2010-04-09T09:51:44Z,fjakobs,fjakobs,141,126,15
65,ace,2e70bf46fa837105654fcd12a293671142826411,html5 worker test,Fabian Jakobs,2010-04-08T16:47:00Z,fjakobs,fjakobs,36,36,0
66,ace,1683f3e90f977f6bd31fdfaf673f892c2f83ed85,Add support for background tokenizing,Fabian Jakobs,2010-04-08T16:46:43Z,fjakobs,fjakobs,205,196,9
67,ace,971b96c132ed54d10601d4c531a2478b80a66621,namespace methods from lib,Fabian Jakobs,2010-04-08T14:06:45Z,fjakobs,fjakobs,128,67,61
68,ace,77f941515eeb9812f8ee69925f0630dd7314e3fa,fix FF mouse wheel support,Fabian Jakobs,2010-04-08T13:43:05Z,fjakobs,fjakobs,16,13,3
69,ace,60822b385fbd5d9ec0007ae1d039e00ab5f39c61,Separate navigation from cursor movement,Fabian Jakobs,2010-04-08T13:01:33Z,fjakobs,fjakobs,173,108,65
70,ace,dd3bf54396b5a02e1c633828216af3b477b57c58,fix text copy bug,Fabian Jakobs,2010-04-08T12:47:52Z,fjakobs,fjakobs,2,1,1
71,ace,de732e19063c2dbcedd866da9e4603c8d31a31da,update triple click support,Fabian Jakobs,2010-04-08T11:28:04Z,fjakobs,fjakobs,36,21,15
72,ace,8135c9a612d239716c87c10a64a1034263d8a78d,only update text layer if the document changes,Fabian Jakobs,2010-04-08T11:16:03Z,fjakobs,fjakobs,101,65,36
73,ace,f74b72b0fbbeada2a5b0571438dd1e6e138447c8,double click selects word at cursor,Fabian Jakobs,2010-04-08T11:15:21Z,fjakobs,fjakobs,40,40,0
74,ace,9ee77b62054766caf38450080d825ad583ecfb08,triple click selects the whole line,Fabian Jakobs,2010-04-08T11:14:32Z,fjakobs,fjakobs,84,80,4
75,ace,f0bf1dd88c7ba9014b87b4416cf5ffbb7f7ba108,add change event support to the text document,Fabian Jakobs,2010-04-07T16:32:40Z,fjakobs,fjakobs,62,56,6
76,ace,7cce9d8858fe45e46d96b7a61d919c6d353f25a0,editor fills whole page,Fabian Jakobs,2010-04-07T15:49:16Z,fjakobs,fjakobs,12,6,6
77,ace,cc5cd114e604ca4f99850b13a89e94977043cc36,"Fix FF 3.6 issue, where mono spaced characters can
have fixed sub pixel widths.",Fabian Jakobs,2010-04-07T15:40:42Z,fjakobs,fjakobs,32,17,15
78,ace,99b81b0b04cf8ebf7c3e3b286263914a5d019c27,gutter support,Fabian Jakobs,2010-04-07T14:27:17Z,fjakobs,fjakobs,77,65,12
