,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,acidity,fc485bdfd403d49bf1323310d0c0a15113103d45,Add some usage instructions to README (fix #22),Matthew Riley MacPherson,2014-05-19T17:16:50Z,tofumatt,tofumatt,37,35,2
1,acidity,01ae058f270bcde6a34ed163a266378877046f22,"Merge pull request #21 from willkg/patch-1

Fix copyright owner",sole,2014-05-19T13:54:18Z,sole,sole,2,1,1
2,acidity,5b2b4f3c754db4a92cdec2d1e7861172df7dc701,"Fix copyright owner

All work we do is for the Mozilla Foundation. This fixes that.",Will Kahn-Greene,2014-05-19T13:32:49Z,willkg,willkg,2,1,1
3,acidity,680d01b5b4f59acf459603cd36403867bdd4cc8a,Add build and bin to dist folder options,Matthew Riley MacPherson,2014-04-26T16:13:22Z,tofumatt,tofumatt,2,1,1
4,acidity,ddabd47dd2e2f911d9a6506fc4f9e0d23d3184c7,Add dir argument,Matthew Riley MacPherson,2014-04-24T20:00:49Z,tofumatt,tofumatt,23,17,6
5,acidity,a0c7d0897221d159c312113dbedf09fffb7af950,Update version for npm,Matthew Riley MacPherson,2014-04-24T19:43:25Z,tofumatt,tofumatt,2,1,1
6,acidity,eeae773fc86d3a644582a8a1e539ae12ff4b912d,Refactor binary and src/acidity sanely!,Matthew Riley MacPherson,2014-04-24T19:20:27Z,tofumatt,tofumatt,71,51,20
7,acidity,5a466a419d415002bc9006e1785ffe64fa8c2b5d,"Merge pull request #18 from mozilla/only-count-files

Only count files, not folders",Matthew Riley MacPherson,2014-04-24T18:58:38Z,tofumatt,tofumatt,30,18,12
8,acidity,3593f5f9f385abd16ef530b95463a76abaa874c6,Don't fail with too many files,Matthew Riley MacPherson,2014-04-24T18:42:38Z,tofumatt,tofumatt,10,6,4
9,acidity,8b58bfed73d52a8526a89c6bc479fd931ffa2026,Fix whitespace,Matthew Riley MacPherson,2014-04-23T19:17:13Z,tofumatt,tofumatt,11,5,6
10,acidity,3df13c726a7911506434077789f5208503daad6b,"Only count files, not folders",Matthew Riley MacPherson,2014-04-23T19:15:42Z,tofumatt,tofumatt,13,9,4
11,acidity,1f806f08329719e36c9467f94b91653e3f1d55c9,Add folders test (fix #4),Matthew Riley MacPherson,2014-04-23T18:08:57Z,tofumatt,tofumatt,32,32,0
12,acidity,36fe254a457f0fc98d266ead0447c47e72e8989f,Add a gitignore for node files,Matthew Riley MacPherson,2014-04-23T16:00:48Z,tofumatt,tofumatt,1,1,0
13,acidity,9a1d7eecfa58be777c1a72486df6c30e319c3a0b,Add a .gitgnore file,sole,2014-04-23T17:48:31Z,sole,sole,2,2,0
14,acidity,ad8f6552e4899a7ffcc0038ba6c10e297ce7fea7,implement test for number of files in root directory - closes #10,sole,2014-04-23T17:47:05Z,sole,sole,28,27,1
15,acidity,f03d09668a175a351aa821092ad3bf29a7b2b449,Update to 0.0.2,Matthew Riley MacPherson,2014-04-22T21:19:51Z,tofumatt,tofumatt,2,1,1
16,acidity,f2372bcba1bed4d30e741ec4cbf86c45a0d55965,"Add LICENSE and README tests (will need refactor)

Fixes #1 and fixes #2.",Matthew Riley MacPherson,2014-04-22T21:19:17Z,tofumatt,tofumatt,134,117,17
17,acidity,10783997728ce6b92f42f85b7226296bebe8c69c,structure,sole,2014-04-22T20:23:54Z,sole,sole,5,3,2
18,acidity,14991b3013a27160e2fa9b17e2e57041e80e8bae,Remove wrong metadata,Matthew Riley MacPherson,2014-04-22T17:10:43Z,tofumatt,tofumatt,5,1,4
19,acidity,de19e333e3f845956e5db0b1aa262b6571be0038,Change project name!,Matthew Riley MacPherson,2014-04-22T17:09:46Z,tofumatt,tofumatt,44,42,2
20,acidity,e2f287c92f8894daf361ff1e454e60f85f26c52b,Initial commit,Matthew Riley MacPherson,2014-04-22T15:42:56Z,tofumatt,tofumatt,4,4,0
