,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,activate.mozilla.community,9f0d5ea407efed9549e47719a505e111b36cf26b,Favicon,Nukeador,2016-07-19T20:35:41Z,Nukeador,Nukeador,1,1,0
1,activate.mozilla.community,67f6a62a476acb1274bd2bfdba0b69f865917a1f,Style for TOC,Nukeador,2016-07-19T20:22:12Z,Nukeador,Nukeador,21,21,0
2,activate.mozilla.community,a1fbc72950bee279ae5a405ec1e88d60d828d404,Nicer share buttons + FB,Nukeador,2016-07-19T19:45:49Z,Nukeador,Nukeador,61,44,17
3,activate.mozilla.community,2353623c977f98bd32d577090e3642fc74f59d30,New titles,Nukeador,2016-07-19T11:37:50Z,Nukeador,Nukeador,4,2,2
4,activate.mozilla.community,79792156daa52105e2b53815d458e9fe85ad7bee,Merge branch 'gh-pages' of github.com:mozilla/activate.mozilla.community into gh-pages,Nukeador,2016-07-19T11:35:34Z,Nukeador,Nukeador,0,0,0
5,activate.mozilla.community,011a0e8c92f53315f8ed7fbdbb01edd75552a86e,New titles,Nukeador,2016-07-19T11:34:38Z,Nukeador,Nukeador,41,25,16
6,activate.mozilla.community,3a8d922779e9c1396b6c9623509124dcf6f8897f,New urls,Nukeador,2016-07-19T11:22:55Z,Nukeador,Nukeador,2,1,1
7,activate.mozilla.community,8d8d4f2a6d00bed0336cf8565a7a9a586a60d94a,Delete CNAME,Nukeador,2016-07-19T11:20:06Z,Nukeador,Nukeador,1,0,1
8,activate.mozilla.community,1cdd8e2204afef9369d0e2ab3f3602023076a68d,Create CNAME,Nukeador,2016-07-19T11:13:18Z,Nukeador,Nukeador,1,1,0
9,activate.mozilla.community,d2770475723c81820a152c26e49861fb607066a4,New urls,Nukeador,2016-07-19T11:12:21Z,Nukeador,Nukeador,4,2,2
10,activate.mozilla.community,658ee809fcd32f51f773d10d0d6be932bbfc8e49,New urls,Nukeador,2016-07-19T11:09:51Z,Nukeador,Nukeador,57,37,20
11,activate.mozilla.community,00798b4253d18f00d84ef29c8d900eacb30ad3ef,Twitter link (es),Nukeador,2016-07-19T00:49:18Z,Nukeador,Nukeador,2,1,1
12,activate.mozilla.community,4e0840d4315a9f73f92227da9f22a2ac850aad7e,Share button #1,Nukeador,2016-07-19T00:47:37Z,Nukeador,Nukeador,40,39,1
13,activate.mozilla.community,ad04e73493a27de4db35e0678480d6ba46a99e41,Smaller stay updated icons,Nukeador,2016-07-18T23:05:17Z,Nukeador,Nukeador,13,9,4
14,activate.mozilla.community,adc71940bfe7899fdb1a3919b4b0b20fc4d8e666,Fix Spanish homepage,Nukeador,2016-07-18T23:00:39Z,Nukeador,Nukeador,2,1,1
15,activate.mozilla.community,4d4e82d502dbe8e8dd77d16c25f25fae67321a9b,Other languages for homepage,Nukeador,2016-07-18T22:59:11Z,Nukeador,Nukeador,20,20,0
16,activate.mozilla.community,a43e9f97c1744f87947484ea94bfffe4997a2be4,Old code removal,Nukeador,2016-07-18T22:50:49Z,Nukeador,Nukeador,6,2,4
17,activate.mozilla.community,19c3581d94bc5ae0ac660e847c8562f8d0995fca,Homepage in Spanish,Nukeador,2016-07-18T22:49:05Z,Nukeador,Nukeador,74,73,1
18,activate.mozilla.community,d93736f500c152079042e918863768528ad162b2,Nicer stay updated,Nukeador,2016-07-18T22:33:29Z,Nukeador,Nukeador,15,12,3
19,activate.mozilla.community,052679c3f9bf9a3bfe62bacb0332d6212fa41011,opacity fix,Nukeador,2016-07-18T22:22:16Z,Nukeador,Nukeador,2,1,1
20,activate.mozilla.community,0510c577adfb6a2ad16908f393840cb4e13240d3,opacity fix,Nukeador,2016-07-18T22:17:53Z,Nukeador,Nukeador,4,1,3
21,activate.mozilla.community,dbbee3e6cdd84e5f1db9885071aa0c8fe847b84e,More pages,Nukeador,2016-07-18T22:11:14Z,Nukeador,Nukeador,52,52,0
22,activate.mozilla.community,1a9b6c3c0ca0762afbd0ed48d444883e85d0cef3,More pages and some css for l10n,Nukeador,2016-07-18T22:09:26Z,Nukeador,Nukeador,13,10,3
23,activate.mozilla.community,08e5e53d55ffdcdfc0bf09f2ad2c5003134aeb98,"Home page with icons and classes, example",Nukeador,2016-07-18T21:58:18Z,Nukeador,Nukeador,35,31,4
24,activate.mozilla.community,ed5cce156524a586dea767c850e3dff9008b8caa,Update instructions on how to run the site,Nukeador,2016-07-18T20:59:24Z,Nukeador,Nukeador,6,5,1
25,activate.mozilla.community,a91a05d6c60a2208aeb50622402fd33124ba8e3c,Titlesize,Nukeador,2016-07-18T18:13:29Z,Nukeador,Nukeador,8,7,1
26,activate.mozilla.community,1b620cc970b79ede766781e9458ccf41a79cb097,Titles spacing,Nukeador,2016-07-18T17:45:56Z,Nukeador,Nukeador,14,8,6
27,activate.mozilla.community,a82c52ed8c7c0df39cb9b1439fe7c956732939a4,PLaceholder text for the front page,Nukeador,2016-07-18T15:56:25Z,Nukeador,Nukeador,8,8,0
28,activate.mozilla.community,734748d63a550d42f90ef19324429234f6e59353,Fixing the footer,Nukeador,2016-07-18T15:28:56Z,Nukeador,Nukeador,18,17,1
29,activate.mozilla.community,c84f71fc93debcc16f75351c7852ca19e6079471,Nicer font-size and weight,Nukeador,2016-07-18T14:59:56Z,Nukeador,Nukeador,3,2,1
30,activate.mozilla.community,64df1753d8bf770e0a209764bb5b905df8d24773,Open Sans and css improvements,Nukeador,2016-07-18T14:51:35Z,Nukeador,Nukeador,13,12,1
31,activate.mozilla.community,01abb152720dd081f13c928a7feb657d4cfa5046,Addding content from github,Nukeador,2016-07-18T13:47:17Z,Nukeador,Nukeador,4,4,0
32,activate.mozilla.community,b319e5a5da97a5631e5d8ac1478f9aa428411f90,Updated README,Nukeador,2016-07-18T13:18:30Z,Nukeador,Nukeador,38,38,0
33,activate.mozilla.community,1a630c20799bc54d8447ecfaf220992421e8aa3f,Initial l10n support,Nukeador,2016-07-18T13:06:26Z,Nukeador,Nukeador,58,58,0
34,activate.mozilla.community,6da5570386fad8b6c61b89e4b6b3ed509a4baa9d,Fixing all urls to work on github pages,Nukeador,2016-07-18T12:32:51Z,Nukeador,Nukeador,8,4,4
35,activate.mozilla.community,1571ad9e19a8ac89899ea70a3ed2b1646cf32eac,Testing github url,Nukeador,2016-07-18T12:21:30Z,Nukeador,Nukeador,6,3,3
