,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,activity-stream,4c8441605d77dc9d83a0756d24bb1c9b13890831,chore(lint): Tweak some Sass-Lint rules and vars,Peter deHaan,2016-02-17T00:48:02Z,pdehaan,pdehaan,22,13,9
1,activity-stream,d083dabacb069703e71d5aaf35a25ff21a3a12cd,"Merge pull request #122 from mozilla/gh121

fix(content): Only show sites in Spotlight if it has atleast one image",Kate Hudson,2016-02-16T22:11:55Z,k88hudson,k88hudson,39,27,12
2,activity-stream,b0843065bbc8f9316c88dddc31107352deb2dbde,chore(jscs): exclude firefox files,Ricky Rosario,2016-02-12T18:30:30Z,rlr,rlr,2,1,1
3,activity-stream,de8dac08391b3df2d442e1ded7f316a720d9b338,feat(addon-ui): #69 toolbar button for activity streams timeline,Ricky Rosario,2016-02-12T18:17:38Z,rlr,rlr,16,16,0
4,activity-stream,00ede21899e07171016faf5aa7e26d6bd579f839,feat(lint): Add Sass Linting to the test:lint pipeline,Peter deHaan,2016-02-09T23:26:54Z,pdehaan,pdehaan,2388,1590,798
5,activity-stream,f1b4f7c477ce251e3633edb3d0965bd79b3a2bc7,fix(content): Only show sites in Spotlight if it has atleast one image,k88hudson,2016-02-16T18:16:33Z,k88hudson,k88hudson,39,27,12
6,activity-stream,aed14739ccbecc3722bfdac9dde3d855b0d7e982,"Merge pull request #82 from mozilla/gh12/fake-data

Add embedly server",Kate Hudson,2016-02-15T21:49:52Z,k88hudson,k88hudson,3788,3500,288
7,activity-stream,29f1a0c06cfc4cae35829eb39c8ae7ef8d4a242f,chore(content): Add USE_SHIM config,k88hudson,2016-02-12T20:46:09Z,k88hudson,k88hudson,81,67,14
8,activity-stream,aa7c0c5e4a89e4431dc95ee3042ab42ebbedba19,style(content): Added star icon for bookmarks,k88hudson,2016-02-12T20:45:59Z,k88hudson,k88hudson,34,26,8
9,activity-stream,4babd6353be1f032a2367386bcfe0ab810faa6e5,"feat(content): #12 Add SiteIcon, embedly data server",k88hudson,2016-02-09T22:34:08Z,k88hudson,k88hudson,3699,3420,279
10,activity-stream,555783011b23ea2ba7ae34728094909dc06942c3,"Merge pull request #116 from mozilla/i65_RecentLinksAPI

Closes #65 recent links query and emitters",mzhilyaev,2016-02-12T23:30:51Z,mzhilyaev,mzhilyaev,114,99,15
11,activity-stream,bbe8cfc52e0ee232c2d5f3cd747403def730e0f8,chore(typo): spelling errors,Maxim Zhilyaev,2016-02-12T23:12:31Z,Maxim Zhilyaev,Maxim Zhilyaev,2,1,1
12,activity-stream,b52e7661a368641c84cd8a8e290bb1bd1bda1daa,chore(typo): pdehaan-ing test message,Maxim Zhilyaev,2016-02-12T23:09:14Z,Maxim Zhilyaev,Maxim Zhilyaev,6,3,3
13,activity-stream,45997f5a76031d655089564bb142d1feb90bd489,chore(refactor): refactor timeDaysAgo,Maxim Zhilyaev,2016-02-12T22:54:17Z,Maxim Zhilyaev,Maxim Zhilyaev,31,10,21
14,activity-stream,e629a2d6c1bf155e1b57407d3ba5339e71998655,feat(recentlinks): #65 recent links query and emitters,Maxim Zhilyaev,2016-02-12T22:21:54Z,Maxim Zhilyaev,Maxim Zhilyaev,95,95,0
