,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,addons-contribution-notifier,c73fba101583ce8fc8252b25494ced7ca9d9ead8,fix(package): update eslint-plugin-promise to version 4.0.0,greenkeeper[bot],2018-08-17T21:28:32Z,greenkeeper[bot],greenkeeper[bot],2,1,1
1,addons-contribution-notifier,67998dbcd32bdf21c3ba3271f280b10c3bd157e6,"chore(package): update lockfile

https://npm.im/greenkeeper-lockfile",greenkeeperio-bot,2018-07-17T13:04:05Z,greenkeeperio-bot,greenkeeperio-bot,45,36,9
2,addons-contribution-notifier,022ca31ea789f57a9e25da319735c95fd472cf0c,"fix(package): update eslint-plugin-node to version 7.0.1

Closes #25",greenkeeper[bot],2018-07-17T13:00:48Z,greenkeeper[bot],greenkeeper[bot],2,1,1
3,addons-contribution-notifier,8143868e51972a68877eaa3a62c6bd52923a67f0,"Merge pull request #24 from mozilla/greenkeeper/eslint-5.0.1

Greenkeeper/eslint 5.0.1",Andreas Wagner,2018-07-09T17:30:56Z,wagnerand,wagnerand,329,186,143
4,addons-contribution-notifier,6d4ecf3dad4b898c1f256fc76d0286c890cba8c6,"chore(package): update lockfile

https://npm.im/greenkeeper-lockfile",greenkeeperio-bot,2018-06-26T04:09:57Z,greenkeeperio-bot,greenkeeperio-bot,327,185,142
5,addons-contribution-notifier,ef0300b4546407a5883b8249a2dc39811111fc69,"fix(package): update eslint to version 5.0.1

Closes #23",greenkeeper[bot],2018-06-26T04:06:37Z,greenkeeper[bot],greenkeeper[bot],2,1,1
6,addons-contribution-notifier,0bcdcf80b13ed95300628c44e7a5e24e47e618af,Add montly report,Andreas Wagner,2018-05-28T17:09:17Z,wagnerand,wagnerand,92,92,0
7,addons-contribution-notifier,ab209f6bf91c8f54e2c716b65ce177dd1807e76c,"Fix for node8, cosmetics",Andreas Wagner,2018-05-28T16:56:18Z,wagnerand,wagnerand,9,7,2
8,addons-contribution-notifier,d64dddd56c6dfe6f49f6d5daa8050d5299b84ea0,Fix collection name,Andreas Wagner,2018-05-27T22:48:37Z,wagnerand,wagnerand,2,1,1
9,addons-contribution-notifier,e7081686417cafb6bb4e874255aeaba2f614c4f6,Store contributions in db,Andreas Wagner,2018-05-27T22:47:32Z,wagnerand,wagnerand,45,41,4
10,addons-contribution-notifier,39830562e7c82e88f7abf599cefc1883b18ab295,Remove some org members,Andreas Wagner,2018-05-27T22:45:39Z,wagnerand,wagnerand,2,0,2
11,addons-contribution-notifier,3f1a12f7bbf3d1cac88915dbe03e9aaaebf58b33,let -> const,Andreas Wagner,2018-05-27T22:44:34Z,wagnerand,wagnerand,30,18,12
12,addons-contribution-notifier,6640bcd7c665581539569ff07484f8c757138f97,Update dependencies,Andreas Wagner,2018-05-27T19:02:25Z,wagnerand,wagnerand,79,18,61
13,addons-contribution-notifier,f37a1d8bfd6a16b133945468bf234619047b1da0,Remove deprecated repos,Andreas Wagner,2018-05-27T17:46:06Z,wagnerand,wagnerand,7,0,7
14,addons-contribution-notifier,eeff8f507405a7d6c4cdab0f4b5a81af50b6a8e7,Replace bluebird by native promisify,Andreas Wagner,2018-05-27T17:45:38Z,wagnerand,wagnerand,18,6,12
15,addons-contribution-notifier,6721a04514ea41655c92e5d603c45ae770e6cffb,Update node engine version,Andreas Wagner,2018-05-14T14:09:36Z,wagnerand,wagnerand,4,2,2
16,addons-contribution-notifier,82c96a35367ebb26b2d5d8f6d0dd7173f791130f,Update sendgrid,Andreas Wagner,2018-05-14T13:44:49Z,wagnerand,wagnerand,484,328,156
17,addons-contribution-notifier,2f34303826e01407dc6b2365955e752386715668,Update dependencies,Andreas Wagner,2018-05-14T13:53:50Z,wagnerand,wagnerand,974,353,621
18,addons-contribution-notifier,61759ce4ee1dabd73feff5df32093f204289a6b3,Adds Will and Rebecca to whitelist,Caitlin Neiman,2018-04-30T20:05:54Z,caitmuenster,caitmuenster,4,3,1
19,addons-contribution-notifier,714850e67a46be724e2c29d51f68373a6027c063,Greenkeeper/eslint config standard 11.0.0 (#20),Andreas Wagner,2018-02-24T14:08:47Z,wagnerand,wagnerand,18,9,9
20,addons-contribution-notifier,79abe3e36ff699f165766d572cdbd9be618cd612,"Merge pull request #19 from mozilla/greenkeeper/eslint-plugin-node-6.0.0

Update eslint-plugin-node to the latest version 🚀",Andreas Wagner,2018-02-10T16:27:50Z,wagnerand,wagnerand,2,1,1
21,addons-contribution-notifier,4c4f6f45de2acf753aad1c082cd7b9e461e95485,fix(package): update eslint-plugin-node to version 6.0.0,greenkeeper[bot],2018-02-05T09:13:02Z,greenkeeper[bot],greenkeeper[bot],2,1,1
22,addons-contribution-notifier,dc6879db26ae53b8db454d189451736a5a58cefe,Update dependencies,Andreas Wagner,2018-01-03T16:56:57Z,wagnerand,wagnerand,500,329,171
23,addons-contribution-notifier,734f2c8a4f43b55b866065faf93d205cd78c4544,Remove Will from known contributors list,Andreas Wagner,2018-01-03T16:52:51Z,wagnerand,wagnerand,3,1,2
