,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,addons-frontend,e26e924fd0527a9208e31603c80468de6d513865,"chore(package): update babel-loader to version 6.2.4

http://greenkeeper.io/",greenkeeperio-bot,2016-02-27T10:19:17Z,greenkeeperio-bot,greenkeeperio-bot,2,1,1
1,addons-frontend,0fc588886bffde97d8adf65b5663c774a82df4f5,"Merge pull request #40 from muffinresearch/fix-deprecated-history-warning

Fix deprecated history warning",Stuart Colville,2016-02-26T09:07:58Z,muffinresearch,muffinresearch,31,10,21
2,addons-frontend,0e022b195b76e3553fc26b77dfc68786d832a644,Fix deprecated history warning,Stuart Colville,2016-02-25T18:17:16Z,muffinresearch,muffinresearch,31,10,21
3,addons-frontend,fe6c5b511179eaa9abf1da67d8cf6afc24848a47,"Merge pull request #38 from muffinresearch/fix-hmr

Fix HMR",Stuart Colville,2016-02-25T17:02:30Z,muffinresearch,muffinresearch,29,29,0
4,addons-frontend,c56c376192bad6faf3f0a5440310cf9c31783b8f,Fix HMR,Stuart Colville,2016-02-25T16:35:30Z,muffinresearch,muffinresearch,29,29,0
5,addons-frontend,d13f5a934fd57f2d84b5f6ba27c7e43596a6c2eb,"Merge pull request #37 from muffinresearch/remove-jscs

Remove jscs in favour of just using eslint",Stuart Colville,2016-02-25T16:53:35Z,muffinresearch,muffinresearch,13,1,12
6,addons-frontend,be47531fba85952d4fe9e13a2bc091817fb7b085,Remove jscs in favour of just using eslint,Stuart Colville,2016-02-25T16:38:57Z,muffinresearch,muffinresearch,13,1,12
7,addons-frontend,623ae02c51b3c037dc90e6e895399a8938799838,"Merge pull request #34 from muffinresearch/add-csp-headers

Set up security headers",Stuart Colville,2016-02-25T12:51:47Z,muffinresearch,muffinresearch,34,34,0
8,addons-frontend,a322753607aa75dae3aa947b8b19e7b6ce026d5c,Set up security headers,Stuart Colville,2016-02-25T11:58:05Z,muffinresearch,muffinresearch,34,34,0
9,addons-frontend,3be4cfbfb2b90bbc718e2feece906830f596d545,"Merge pull request #31 from muffinresearch/use-webpack-middleware

Refactor servers and use webpack middleware",Stuart Colville,2016-02-24T21:49:00Z,muffinresearch,muffinresearch,224,135,89
10,addons-frontend,a9b2fb78409c835cfe82ad1ca39f4ff723ac0d00,Refactor servers and use webpack middleware,Stuart Colville,2016-02-24T21:09:13Z,muffinresearch,muffinresearch,224,135,89
11,addons-frontend,974a1a370a06a96fe6db439f7e9501d0e4ba517c,"Merge pull request #30 from mozilla/greenkeeper-webpack-isomorphic-tools-2.2.30

Update webpack-isomorphic-tools to version 2.2.30 🚀",Stuart Colville,2016-02-24T18:43:05Z,muffinresearch,muffinresearch,2,1,1
12,addons-frontend,5453b54ef34f3e29b39f354f6b552515569c10e8,"chore(package): update webpack-isomorphic-tools to version 2.2.30

http://greenkeeper.io/",greenkeeperio-bot,2016-02-24T18:34:19Z,greenkeeperio-bot,greenkeeperio-bot,2,1,1
13,addons-frontend,0c59dcaa577b1de9d6bf7a63d0d70f67af04ae87,"Merge pull request #28 from muffinresearch/add-node-version-check

Add a version-check command",Stuart Colville,2016-02-24T15:59:17Z,muffinresearch,muffinresearch,53,48,5
14,addons-frontend,ef905e722e8565dd3b05fcd7a337a6a633d05b44,Add Travis Badge,Stuart Colville,2016-02-24T15:58:37Z,muffinresearch,muffinresearch,3,3,0
15,addons-frontend,c13b7543d03b190fe8cdd4c1681dffd22eba3ae5,Add a version-check command,Stuart Colville,2016-02-24T12:27:44Z,muffinresearch,muffinresearch,53,48,5
16,addons-frontend,5f927ff1f61ff1d051497cf5b21593d76d1c54d5,"Merge pull request #26 from muffinresearch/rename-lint-style

Rename lint + style scripts",Stuart Colville,2016-02-24T11:45:49Z,muffinresearch,muffinresearch,34,26,8
17,addons-frontend,e914b93d03d396dd697051af2a53cc95d363b03a,Rename lint + style scripts,Stuart Colville,2016-02-24T11:26:46Z,muffinresearch,muffinresearch,34,26,8
18,addons-frontend,5eb8bc1573b5c026566cabe5a5129ec8e32ba071,"Merge pull request #24 from mozilla/directory-restructure

Directory restructure",Stuart Colville,2016-02-24T09:26:59Z,muffinresearch,muffinresearch,192,138,54
19,addons-frontend,30bd3063e34b9c182a97a6c904681bd86d719533,Restructure directories,Mark Striemer,2016-02-23T22:59:47Z,mstriemer,mstriemer,192,138,54
20,addons-frontend,9eeeb0262dce7ea906a34008480519779ddd7e6d,"Merge pull request #25 from mozilla/greenkeeper-eslint-plugin-react-4.1.0

Update eslint-plugin-react to version 4.1.0 🚀",tofumatt ☕️,2016-02-24T02:13:29Z,tofumatt,tofumatt,2,1,1
21,addons-frontend,1ef9c723bc1449f37462c097c6b462bb43e65b5b,"chore(package): update eslint-plugin-react to version 4.1.0

http://greenkeeper.io/",greenkeeperio-bot,2016-02-23T23:11:15Z,greenkeeperio-bot,greenkeeperio-bot,2,1,1
22,addons-frontend,a46f022fc453445714447d75105677fb5c01a04a,"Merge pull request #20 from mstriemer/eslint-6

Basic eslint and travis",Mark Striemer,2016-02-23T22:05:02Z,mstriemer,mstriemer,88,56,32
23,addons-frontend,12c319e1f60a019828c27ac969015a3e97fff116,"Use jscs on travis

Fixes #7",Mark Striemer,2016-02-23T20:53:41Z,mstriemer,mstriemer,7,6,1
