,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,addons.mozilla.org-mod,ebf60348b2b63adc6d662cd00041fcb91b1d70b2,Update README.md,Markus Jaritz,2016-02-24T08:15:01Z,designakt,designakt,3,0,3
1,addons.mozilla.org-mod,4d64445f470976141b729ab150bc0916e141af97,search suggestions style and theme page,Markus Jaritz,2016-02-15T12:55:36Z,designakt,designakt,51,50,1
2,addons.mozilla.org-mod,06161205a6e0e52dbd32aad390733d9c63b8f387,Update README.md,Markus Jaritz,2015-12-18T11:47:10Z,designakt,designakt,3,3,0
3,addons.mozilla.org-mod,b01c71f00ab5a7e5404140272b4fab885dc24596,Fix background hack on Add-on Details for small window width,Markus Jaritz,2015-12-10T21:54:03Z,designakt,designakt,2,1,1
4,addons.mozilla.org-mod,8e04de4d79e7754365bb5b38515eab2ee4286216,"Change copy colours on Add-on Details pages blue background to #FFF

added some transparency to some, and removed some icons and sharing/collections features.",Markus Jaritz,2015-12-10T21:36:52Z,designakt,designakt,46,45,1
5,addons.mozilla.org-mod,7022c7aa13abd9c4904b4aab0cb7b66d1e316c72,Add-on Detail Page Contribution & Dependency update,Markus Jaritz [:maritz],2015-12-09T22:43:20Z,designakt,designakt,68,49,19
6,addons.mozilla.org-mod,3776e5f9e094b35f4ef4f24566f76813d3565ccf,Merge branch 'master' of github.com:designakt/addons.mozilla.org-mod,Mike Nolan,2015-12-09T21:36:15Z,Nolski,Nolski,28,25,3
7,addons.mozilla.org-mod,fb49ddc078f17d1ca9fd5f783bd8c059cacecabd,remove complete themes from Themes dropdown,Mike Nolan,2015-12-09T21:35:08Z,Nolski,Nolski,5,3,2
8,addons.mozilla.org-mod,d2489b2664c1aafc3bf93d0463ce5ec6f808159d,Detail Page update & remove outline,Markus Jaritz,2015-12-09T21:19:53Z,designakt,designakt,28,25,3
9,addons.mozilla.org-mod,535fb2c09e5a54c67a7354ec31292e5ee7968596,updated screenshot,Markus Jaritz [:maritz],2015-12-02T05:06:26Z,designakt,designakt,0,0,0
10,addons.mozilla.org-mod,d28bbdae17904f75b83726a7af6c744d18e340c7,"updated background - home, addon-details and others

background now has different heights on pages.
on addon-details the background is extended to cover the flexible height first part of the add-on, including possible asks for contributions.",Markus Jaritz,2015-12-02T04:44:46Z,designakt,designakt,117,102,15
11,addons.mozilla.org-mod,6adfc10255c9e20a3c2e0ff388fa8235d1db56e0,updated install buttons and promo alignment,Markus Jaritz,2015-12-01T16:48:32Z,designakt,designakt,39,35,4
12,addons.mozilla.org-mod,de4a44d2253fe0f59ed4a770527d62afcece1217,update featured/monthly add-on promo background,Markus Jaritz,2015-12-01T01:05:28Z,designakt,designakt,21,20,1
13,addons.mozilla.org-mod,966a1469be4bf950e2a2c5172f600b505140b36f,updated background & position of featured add-on icon,Markus Jaritz,2015-11-30T20:38:12Z,designakt,designakt,54,52,2
14,addons.mozilla.org-mod,7224ae90a86562b7c6403cdcdd2fcf0c695b6ef4,Update restyle.css,Markus Jaritz,2015-11-30T07:02:11Z,designakt,designakt,34,32,2
15,addons.mozilla.org-mod,1a459a6c9899c4bb93bf0f29574ab57fd82f27c4,added Screenshot,Markus Jaritz [:maritz],2015-11-28T03:04:15Z,designakt,designakt,2,1,1
16,addons.mozilla.org-mod,625e12a26eb78b431dd697a08b685598dc36378d,Update README.md,Markus Jaritz,2015-11-23T18:49:01Z,designakt,designakt,2,2,0
17,addons.mozilla.org-mod,2956184d1fc1a7f08fa99fdcbd82364e2d3a1cd9,Delete screenshot.png,Markus Jaritz,2015-11-23T18:41:47Z,designakt,designakt,4514,0,4514
18,addons.mozilla.org-mod,d41d58685ef9e377482f1d9376867fc41e18837b,Create screenshot.png,Markus Jaritz,2015-11-23T18:38:44Z,designakt,designakt,4514,4514,0
19,addons.mozilla.org-mod,0dc9245fdcf303125d38ebcc35fa4a4ca409044d,Delete screenshot.png,Markus Jaritz,2015-11-23T18:36:28Z,designakt,designakt,44553,0,44553
20,addons.mozilla.org-mod,0c808d0ad39c62075780a503a4a118cc3ca01854,Create screenshot.png,Markus Jaritz,2015-11-23T18:34:59Z,designakt,designakt,44553,44553,0
21,addons.mozilla.org-mod,300774f73ae4133c2db2458fbccff4e1149d4e9f,Update README.md,Markus Jaritz,2015-11-23T18:30:02Z,designakt,designakt,2,1,1
22,addons.mozilla.org-mod,138d15d3b064470129c79dfd57ae0174ed163b77,Update README.md,Markus Jaritz,2015-11-23T18:19:24Z,designakt,designakt,2,2,0
23,addons.mozilla.org-mod,51238afac25be030386d2398062a350372637c73,Update restyle.css,Markus Jaritz,2015-11-23T18:17:59Z,designakt,designakt,4,2,2
24,addons.mozilla.org-mod,06d4cb7ba563300448192ecab21dcdaa8c991157,Update restyle.css,Markus Jaritz,2015-11-23T18:15:18Z,designakt,designakt,440,191,249
25,addons.mozilla.org-mod,8c5cd7208dbb331e38ee9bc87370d2ffda606bff,Update README.md,Markus Jaritz,2015-11-23T17:47:56Z,designakt,designakt,2,1,1
26,addons.mozilla.org-mod,6947b7470477e11ef7136c59b69705d6d99e88b0,Create restyle.css,Markus Jaritz,2015-11-23T17:40:17Z,designakt,designakt,346,346,0
27,addons.mozilla.org-mod,99787d50dd664d608d2affa879255f692b17cbe0,Initial commit,Markus Jaritz,2015-11-23T17:38:25Z,designakt,designakt,365,365,0
