,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,addons_daily,366ed3f09946438f733dc6b2a8adb02b91d9b55f,Update METRICS.md,Brian Wright,2019-03-25T21:03:23Z,brianwright2,brianwright2,4,3,1
1,addons_daily,4ff85719f5063df2561491daf15a066231b981b5,comments,Sarah Melancon,2019-03-25T20:53:17Z,Sarah Melancon,Sarah Melancon,4,4,0
2,addons_daily,f7d83203f516128fd048d46870a0d2ba259e1f3b,adding get_disabled function,Sarah Melancon,2019-03-25T20:52:42Z,Sarah Melancon,Sarah Melancon,20,20,0
3,addons_daily,2581021eb852299d23df4e367b374e62fb5eab30,"Merge branch 'master' of https://github.com/brianwright2/Addons_Scratch

test",Brian Wright,2019-03-25T20:11:22Z,Brian Wright,Brian Wright,37,0,37
4,addons_daily,077228d3f88292c872cf278a126704aa8dc1cb36,adding some docstring,Brian Wright,2019-03-25T20:11:17Z,Brian Wright,Brian Wright,46,6,40
5,addons_daily,dc08d02ecb563458fc1fbf7acca86e9b16954fca,Delete addons_aggregated.py,Brian Wright,2019-03-25T19:52:20Z,brianwright2,brianwright2,37,0,37
6,addons_daily,0425682da787d4f41295b88fa173cb7369b2f820,"adding wau,dau",Brian Wright,2019-03-25T18:44:57Z,Brian Wright,Brian Wright,274,77,197
7,addons_daily,d1e5ea0a44d9c448515c8ddb0086710a074c68be,"adding dau,wau",Brian Wright,2019-03-25T18:44:32Z,Brian Wright,Brian Wright,61,41,20
8,addons_daily,a69643630cddab424e5844bde91f035fe38e2d13,Delete keyed_histograms.py,Brian Wright,2019-03-25T18:28:50Z,brianwright2,brianwright2,23,0,23
9,addons_daily,7eafac4c592990283d5511aabb4cad372936bc76,removing helper_functions.py,Brian Wright,2019-03-25T18:23:43Z,Brian Wright,Brian Wright,4,2,2
10,addons_daily,47e5770a02bf1dfd57c3b59bc206672b508311bb,Delete helper_functions.py,Brian Wright,2019-03-25T18:23:05Z,brianwright2,brianwright2,192,0,192
