,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,addons,d0c63a8e7554a385ddb1d6a048ca6da99277e739,Integrated the design of wireframes so it all belongs under the same system,Bram Pitoyo,2016-02-15T04:19:39Z,brampitoyo,brampitoyo,0,0,0
1,addons,e806fe9a3332083fb72565b01d37b609d26d3370,Initial addons submission and management UX,Bram Pitoyo,2016-02-14T22:36:37Z,brampitoyo,brampitoyo,24,24,0
2,addons,a54b74b985e5b5520d75f0f4cb8181f2daaf2b5b,"Merge pull request #29 from muffinresearch/improve-push-docs

Document pushing a single tag",Stuart Colville,2016-02-12T10:05:14Z,muffinresearch,muffinresearch,43,34,9
3,addons,ee643244f4ab39ad6c07e15c128fce8f3034823b,Document pushing a single tag,Stuart Colville,2016-02-11T16:30:18Z,muffinresearch,muffinresearch,43,34,9
4,addons,c32f2cfb9681c1493cd070902bd8117916ed1e73,rename from olympia,Andy McKay,2016-02-05T23:38:04Z,Andy McKay,Andy McKay,16,9,7
5,addons,ebb89c8241a21b563e69504585a5ebffe12af90e,Add link to system and app dashboard,Kumar McMillan,2016-01-19T17:25:36Z,kumar303,kumar303,5,4,1
6,addons,b5427765d9779f6b8444fb32ba6a1f670def0e46,"Merge pull request #20 from andymckay/add-repostories

add in repositories and browser page",Andy McKay,2016-01-18T22:38:24Z,Andy McKay,Andy McKay,52,52,0
7,addons,24c3699bd54d78d1d2bfadccdf03d4ec6810b084,feedback and explicit fixes,Andy McKay,2016-01-18T22:32:14Z,Andy McKay,Andy McKay,28,14,14
8,addons,8a3629f1c1f272f7fda149f0ee6463a46a714e09,add in repositories and browser page,Andy McKay,2016-01-18T22:13:33Z,Andy McKay,Andy McKay,52,52,0
9,addons,eba0cc9889aab36daf5db8e99e3f4c9041ad5b0e,"Merge pull request #19 from andymckay/move-fxa

move over fxa",Andy McKay,2016-01-18T21:17:23Z,Andy McKay,Andy McKay,31,24,7
10,addons,b577ef2edd3b57ad6ce0fa88b0b312dce95ccb90,add in a browser page,Andy McKay,2016-01-18T21:10:15Z,Andy McKay,Andy McKay,2,1,1
11,addons,e7e287314ac9cdd853a305d2f7a0eace317085e9,move over fxa,Andy McKay,2016-01-18T21:03:44Z,Andy McKay,Andy McKay,31,24,7
12,addons,cbd7e0e2cc163fd2857d5ff4ff6390593f4bf798,"Merge pull request #9 from mozilla/rfeeley/fxa-migration

FxA AMO Migration Specs",Ryan Feeley,2016-01-06T18:04:22Z,ryanfeeley,ryanfeeley,38,38,0
13,addons,bc81f3c7dfa647fffbae11f91514e8f5fcd321e8,"Removed reference to email funnel

And added red line explanation",Ryan Feeley,2015-11-23T16:31:30Z,ryanfeeley,ryanfeeley,3,2,1
14,addons,e2fa95d6d5528618fd11b781c4da5a4ad7a38dbd,"Change to IMG

No embeds allowed",Ryan Feeley,2015-11-23T16:17:46Z,ryanfeeley,ryanfeeley,2,1,1
15,addons,0bdf10824bcfd2bfb58abc63d6dee066abcde770,FxA AMO Migration Specs,Ryan Feeley,2015-11-23T16:12:59Z,ryanfeeley,ryanfeeley,37,37,0
16,addons,9161122a96eedccbaf427f56e165e37a75fbe4ad,Update push_email.tpl,Mark Striemer,2015-11-19T20:45:53Z,mstriemer,mstriemer,4,2,2
17,addons,72e76ef1fcf2c1392fa86e28abb05ffbd24d9f14,"Merge pull request #7 from mozilla/change-irc-topic

Instruct push hero to change IRC topic",tofumatt ☕️,2015-11-17T17:18:26Z,tofumatt,tofumatt,3,3,0
18,addons,08f55049f69f0a02d0bacf673aa82faac071c4cb,"Instruct push hero to change IRC topic

This helps me (and others):

* see at a glance who is responsible for the push right from their IRC clients
* let's me clear out my add-ons tagging/pushing meetings this week if it's not me",tofumatt ☕️,2015-11-17T17:05:49Z,tofumatt,tofumatt,3,3,0
19,addons,030bb3df86b58196b7829ffacb12fa80630aabd9,"Merge pull request #6 from kumar303/update

Fix outdated monitoring links",Kumar McMillan,2015-11-12T20:11:44Z,kumar303,kumar303,27,21,6
20,addons,57de04ed42c8a35f070825a5169c6d9dd16d35a4,Fix outdated monitoring links,Kumar McMillan,2015-11-12T20:10:34Z,kumar303,kumar303,27,21,6
21,addons,975630e7949ca9856aec0c3fbb415d4cbd81bbc9,"Merge pull request #5 from kumar303/mana-link

Add link to get Jenkins URL",Kumar McMillan,2015-11-10T18:49:28Z,kumar303,kumar303,25,15,10
22,addons,3be5981f85bf5ee68ac73a14b7cc4c5409a0cb98,whitelist the google calendar URL,Kumar McMillan,2015-11-10T18:45:06Z,kumar303,kumar303,5,4,1
23,addons,ed8b14987dbb92c2cef407261871c2eea46f36ec,Fix broken doc links,Kumar McMillan,2015-11-10T18:42:39Z,kumar303,kumar303,13,7,6
24,addons,5e571c97eb0b8fcc897a4b633de74eb6c841a971,"Remove old link to projects/index

This looks like it was removed in https://github.com/mozilla/addons/commit/adfeca4ea24275ff5634fea21f4328dfb8eb4b79",Kumar McMillan,2015-11-10T18:34:30Z,kumar303,kumar303,1,0,1
25,addons,ebec8d05f204cb5f99e630ca3c4fbf77a1a1c58d,Add link to get Jenkins URL,Kumar McMillan,2015-11-10T18:30:28Z,kumar303,kumar303,6,4,2
