,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,aestimia-client,d75c94917ed2cd8aa5a46b113fbe8aacc35e57b2,Updating package version,Andrew Hayward,2013-09-26T20:40:28Z,andrewhayward,andrewhayward,2,1,1
1,aestimia-client,b2e9c0f694e8253126c7c79f43c7598e47575b72,Minor submission fixes,Andrew Hayward,2013-09-26T20:38:53Z,andrewhayward,andrewhayward,15,7,8
2,aestimia-client,3c77b4c505c071f0b8a00b400025e6fa9f3a87af,Model fixes,Andrew Hayward,2013-09-26T20:38:34Z,andrewhayward,andrewhayward,15,9,6
3,aestimia-client,e72a61c8352d6a0002ce5a1488d737520174ebdd,Updating package version,Andrew Hayward,2013-09-26T14:41:30Z,andrewhayward,andrewhayward,2,1,1
4,aestimia-client,a1f50b5171ab29acc9477db81f68659344981f77,Adding `meta` property to `Application` model,Andrew Hayward,2013-09-26T14:39:38Z,andrewhayward,andrewhayward,5,5,0
5,aestimia-client,2bd4607f4c7b5606b1b2758170cbc884183365e4,Allowing for open types in model definitions,Andrew Hayward,2013-09-26T14:39:09Z,andrewhayward,andrewhayward,26,14,12
6,aestimia-client,138087671e8dc44c6babb83dce7d9c307c465ca7,Adding `default` values for models,Andrew Hayward,2013-09-26T14:28:20Z,andrewhayward,andrewhayward,33,22,11
7,aestimia-client,3aa63b01c091f580751ca8157c408fee2242512f,Upgrading version,Andrew Hayward,2013-09-26T12:34:20Z,andrewhayward,andrewhayward,2,1,1
8,aestimia-client,ab484bb73f20833a4772b9f3a56588bbdf920521,Adding some tests,Andrew Hayward,2013-09-26T12:34:13Z,andrewhayward,andrewhayward,41,41,0
9,aestimia-client,44d6a4484cbbaa4afabe7deb80349616d8005d8b,Exposing model constructor,Andrew Hayward,2013-09-26T12:33:54Z,andrewhayward,andrewhayward,2,2,0
10,aestimia-client,1ed488dfc973e4533556c97501defd24e45f0097,Fixing model definition parsing for typed arrays,Andrew Hayward,2013-09-26T12:33:35Z,andrewhayward,andrewhayward,15,13,2
11,aestimia-client,790da8c7e03adffdae26b2c874c516366f3e77ec,Updating version,Andrew Hayward,2013-09-25T16:24:14Z,andrewhayward,andrewhayward,2,1,1
12,aestimia-client,792d48f3c367143106aa66361570314fad1c851e,Exposing models through client instance,Andrew Hayward,2013-09-25T16:23:41Z,andrewhayward,andrewhayward,6,6,0
13,aestimia-client,3411a3541f7f3de0587d2b6d85bca1726f2d48a6,"Adding `endpoint` method

Makes integrating the module easier",Andrew Hayward,2013-09-25T16:23:24Z,andrewhayward,andrewhayward,44,44,0
14,aestimia-client,2340f80c5472e994e3543e631fd5bf4aad7f779c,Updating `submit` method,Andrew Hayward,2013-09-25T16:22:38Z,andrewhayward,andrewhayward,18,8,10
15,aestimia-client,f2360fe5433a3f6dc3e724b4bce333425baed37e,"Adding `process` method

To match new Aestimia functionality",Andrew Hayward,2013-09-25T16:21:39Z,andrewhayward,andrewhayward,23,23,0
16,aestimia-client,90fb2e14f03568d8213a54b205740f154bffe7a5,Example models for potential use by Aestimia API,Andrew Hayward,2013-09-25T16:19:32Z,andrewhayward,andrewhayward,136,136,0
17,aestimia-client,1d3a345a8a205654721b6a2e8931675ab5a414ea,Minor edit to README,Andrew Hayward,2013-09-25T15:54:33Z,andrewhayward,andrewhayward,2,1,1
18,aestimia-client,b6924c6d3edfdbdfd5b0c8f10f3a321f5211617f,Initial commit,Andrew Hayward,2013-09-19T17:14:20Z,andrewhayward,andrewhayward,720,719,1
19,aestimia-client,fc023d4e5504543bed2b7fe5690396836910818d,Initial commit,Andrew Hayward,2013-09-17T18:35:37Z,andrewhayward,andrewhayward,358,358,0
