,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,aestimia,52709dfd3f8949230e87c0540f6e427c39de6258,"Strange error from Travis when running tests on node 0.10, so only use 0.8.

Travis output:

```
> ./node_modules/.bin/mocha --reporter dot --check-leaks test/*.test.js

․․․․․․․․․․node: ../deps/uv/src/unix/stream.c:483: uv__server_io: Assertion `events == 1' failed.

Aborted

npm ERR! Test failed. See above for more details.

npm ERR! not ok code 0

The command ""npm test"" exited with 1.

Done. Your build exited with 1.
```",Atul Varma,2013-05-08T18:53:57Z,toolness,toolness,2,1,1
1,aestimia,b86550cb05ff13e4b11179d7571fcb9d9d6a6311,"added async, underscore, and mongoose as dependencies.",Atul Varma,2013-05-08T18:45:41Z,toolness,toolness,3,3,0
2,aestimia,160a7ee39f4ffbdd737e91e55feecf105d459428,added Mentor model.,Atul Varma,2013-05-08T18:43:20Z,toolness,toolness,109,107,2
3,aestimia,8e8e0acc6c9b7a9ef453e6fe8e865a56dbad245f,added comment documenting why we allow unsafe-eval at /test/.,Atul Varma,2013-05-08T16:59:30Z,toolness,toolness,2,2,0
4,aestimia,3c0348a30029183c8618630125c24e8b2f0e2192,added content security policy.,Atul Varma,2013-05-08T16:55:58Z,toolness,toolness,45,45,0
5,aestimia,34fb522249aadcc88f79c0e4c306f7cccd49df34,pass more options to session middleware.,Atul Varma,2013-05-08T16:01:41Z,toolness,toolness,10,9,1
6,aestimia,df3eb3c88180a1f3121ff4ff0077047d2552905d,shortened a test case,Atul Varma,2013-05-08T15:55:30Z,toolness,toolness,7,2,5
7,aestimia,25978fb2808642e05dbfb0c6b965b46df9f14cc0,added test for flash messages,Atul Varma,2013-05-08T15:54:44Z,toolness,toolness,42,37,5
8,aestimia,4176ef7887100db48631c48d2a676a3213c6d01f,add CSRF test,Atul Varma,2013-05-08T15:29:57Z,toolness,toolness,10,10,0
9,aestimia,8d2b675490de8be94cbea5307851cd6a8a97036b,added section on test coverage to readme.,Atul Varma,2013-05-08T15:21:54Z,toolness,toolness,9,9,0
10,aestimia,dbb7513bcf78efbb08bd202e9b8722b87446cd9d,"oops, fixed typo when setting PERSONA_AUDIENCE.",Atul Varma,2013-05-08T15:13:59Z,toolness,toolness,4,2,2
11,aestimia,44ee0fcba5c2ad6c3e0adef0458c820b065efbb2,added link to bin/aestimia.js in readme.,Atul Varma,2013-05-08T15:09:53Z,toolness,toolness,5,3,2
12,aestimia,cb8da51cd07f2674cddf25fa0912723ed40d90f9,run phantomjs tests as part of make/npm test.,Atul Varma,2013-05-08T14:57:01Z,toolness,toolness,77,75,2
13,aestimia,10f007e4d58981966d5421d63c16754a41d20c47,"Added test/phantom-qunit.js.

Got this from https://gist.github.com/gmarik/1305062.",Atul Varma,2013-05-08T14:55:58Z,toolness,toolness,74,74,0
14,aestimia,85d1b3005c5b6b05c1ea088c3a5d2fa867d8533e,"Added persona login, csrf, basic page layout.",Atul Varma,2013-05-08T14:10:22Z,toolness,toolness,220,219,1
15,aestimia,06f5cc5ddd7c855e424249179d1e8778a4bbffc4,"Added static dir w/ qunit, sinon, bootstrap, and jquery.",Atul Varma,2013-05-08T14:08:54Z,toolness,toolness,25788,25788,0
16,aestimia,7bab8792ab0391f47a636852a8cb828785404e44,added nunjucks.,Atul Varma,2013-05-08T01:55:45Z,toolness,toolness,45,44,1
17,aestimia,29aacf91029b04f8cc521de60ec26ddd5a2b5b6b,added Procfile for the heroku folks.,Atul Varma,2013-05-08T00:02:41Z,toolness,toolness,2,2,0
18,aestimia,a908ad431cb3d4baa36e285e66684dd66a76aa93,"typo fix, aestemia -> aestimia.",Atul Varma,2013-05-07T23:57:23Z,toolness,toolness,8,4,4
19,aestimia,a128be0b4b5bb803f37f31e70e74656cab127937,added .travis.yml and badge,Atul Varma,2013-05-07T23:55:09Z,toolness,toolness,6,6,0
20,aestimia,89ec9a13ee7326507da39242485dda742cff0d58,Simple 'hello world' app w/ test suite and coverage reporting.,Atul Varma,2013-05-07T23:38:09Z,toolness,toolness,107,107,0
21,aestimia,b07cfdd05ee62c4e2470c1da87a5452e2df6894e,trim .gitignore.,Atul Varma,2013-05-07T22:17:00Z,toolness,toolness,14,0,14
22,aestimia,af81971907f11c29743e8e2afc597a4f718b7c8a,"Redux.

Will rez files as needed. Just easier to start over from scratch than
get acquainted w/ existing code, etc.",Atul Varma,2013-05-07T22:15:22Z,toolness,toolness,14008,0,14008
23,aestimia,1098485a68e0e42cc3e5f033855ecb550646c74d,"Merge pull request #10 from mozilla/8-implement-mentor-assessment-page

[WIP] Assessors Page",Chris McAvoy,2013-04-28T18:48:20Z,cmcavoy,cmcavoy,13732,13694,38
24,aestimia,36c40dbc6c8807cf0078152cc07f131ac5c45ef2,so you can get out of the detail page,Chris McAvoy,2013-04-28T18:42:18Z,cmcavoy,cmcavoy,2,1,1
25,aestimia,7e2e343779ee38db431dc21d044dc3389abff92c,"made pages useful but not pretty, changed schema",Chris McAvoy,2013-04-28T18:36:53Z,cmcavoy,cmcavoy,139,88,51
26,aestimia,88d3dbb4cad3fa9e4f72530d9f0ab89941d1d940,adding submissionDetail template,Chris McAvoy,2013-04-28T15:03:15Z,cmcavoy,cmcavoy,5,5,0
27,aestimia,bcc1f87ff26af31ef51684dcadf59aaa6fb91fce,more pathing,Chris McAvoy,2013-04-28T14:59:22Z,cmcavoy,cmcavoy,2,1,1
28,aestimia,79ebf648fde348bf5ff579eefc26ff544b4c9c8f,"need to say where queue is. oddly, this works locally, but not on heroku",Chris McAvoy,2013-04-28T14:57:33Z,cmcavoy,cmcavoy,2,1,1
29,aestimia,5df0e08c206884ce24a50168d94862b7868dfdde,adding queuereader as heroku worker,Chris McAvoy,2013-04-28T14:54:29Z,cmcavoy,cmcavoy,3,3,0
30,aestimia,3ed1ddfd5aaf00fd38492ad2aae1a8d7363c1738,"gitignore was blocking css, not compiling less yet, so want css in there",Chris McAvoy,2013-04-28T14:42:29Z,cmcavoy,cmcavoy,7299,7285,14
31,aestimia,f0a5055d2c3631ed423eb5f83a19f09eeba10079,actually listen on the defined port,Chris McAvoy,2013-04-28T14:38:32Z,cmcavoy,cmcavoy,2,1,1
32,aestimia,ec30482952936d9807548fc00813234797b1b005,adding startup log message,Chris McAvoy,2013-04-27T22:05:51Z,cmcavoy,cmcavoy,1,1,0
33,aestimia,8c975b50d74c0fdf3736e1a019086409cd7a8f53,mongohq,Chris McAvoy,2013-04-27T22:01:40Z,cmcavoy,cmcavoy,2,1,1
34,aestimia,2de8b3b3e05485532cb1d52e3f184d33b36d8ab1,changing to match mongohq env variable,Chris McAvoy,2013-04-27T21:56:17Z,cmcavoy,cmcavoy,6,3,3
35,aestimia,e2f856bfaf4da06ee0bba9b58c847e25b7ea5708,simplifying mongo config,Chris McAvoy,2013-04-27T21:52:26Z,cmcavoy,cmcavoy,23,7,16
36,aestimia,c3682a11a3fc8e20d0ba04e1c33c488299631e9a,typo,Chris McAvoy,2013-04-27T21:41:11Z,cmcavoy,cmcavoy,2,1,1
37,aestimia,e3c4dbbe6c8747e250b5466aa0bfcee21d031ca4,"uno mas, por heroku",Chris McAvoy,2013-04-27T21:38:45Z,cmcavoy,cmcavoy,7,6,1
38,aestimia,5638fd6efe718df7987deb2dfb0e567efcc911c7,won't work if you don't commit it. for heroku,Chris McAvoy,2013-04-27T21:33:14Z,cmcavoy,cmcavoy,22,14,8
39,aestimia,29f250aae5a7146c4676f91a9aff0f052328d0e7,for heroku,Chris McAvoy,2013-04-27T20:26:54Z,cmcavoy,cmcavoy,1,1,0
40,aestimia,041187ac7259a46c41fd0c4e62fdce7879b4c090,sheesh,Chris McAvoy,2013-04-27T20:23:51Z,cmcavoy,cmcavoy,2,1,1
41,aestimia,880a7510ecc55e19c2aab369c35d8bd045c53f61,changed node version slightly,Chris McAvoy,2013-04-27T20:21:38Z,cmcavoy,cmcavoy,2,1,1
42,aestimia,f161f788436c3ad2a026b1cfd08643a1f5599aff,adding engine version for heroku,Chris McAvoy,2013-04-27T20:19:02Z,cmcavoy,cmcavoy,4,4,0
43,aestimia,5811019c292b21ad36222cfa7d9331256dda4151,"can see an individual submission, broke out the layout",Chris McAvoy,2013-04-26T18:16:37Z,cmcavoy,cmcavoy,234,132,102
44,aestimia,59718cdbebe3bfbc177c64c1640a08d73d32c089,"BOOTSTRAPP'D, NOW WITH 1000% MORE BOILERPLATES",Chris McAvoy,2013-04-26T00:11:14Z,cmcavoy,cmcavoy,6285,6277,8
45,aestimia,89d0ffb496b94e1de7437a80053fc1dfba06f09f,whoah! reading from teh dtabasegit statusgit status1,Chris McAvoy,2013-04-25T22:54:23Z,cmcavoy,cmcavoy,33,33,0
46,aestimia,d246be155f73207af0d9a3df40785c443fe7da07,"Merge pull request #7 from mozilla/2-read-from-sqs

Submission Model, SQS reader fixes #2 fixes #4",Chris McAvoy,2013-04-25T21:31:21Z,cmcavoy,cmcavoy,429,365,64
47,aestimia,b45f691c8370f3def8b2419802ef6925ab071c8f,moving notes into readme,Chris McAvoy,2013-04-25T21:30:05Z,cmcavoy,cmcavoy,101,34,67
48,aestimia,75299c5a27c3419277460e4a5521acbd95e75233,forgot to change queue name in demo writer,Chris McAvoy,2013-04-25T21:26:43Z,cmcavoy,cmcavoy,2,1,1
