,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,all-aboard-remote,b7169af50ebd7ab4548e25a58bd3afbfa5757c6f,"Merge pull request #10 from schalkneethling/add-line-height

Adds appropriate line height to paragraph",Schalk Neethling,2017-01-24T09:38:44Z,schalkneethling,schalkneethling,1,1,0
1,all-aboard-remote,c8fe99bca4cd27e6cd3f5c933ad8c50c2898da06,Adds appropriate line height to paragraph,schalkneethling,2017-01-24T09:38:24Z,schalkneethling,schalkneethling,1,1,0
2,all-aboard-remote,16a16fa69e34024bde5bda09c68a1547130f2f33,"Merge pull request #9 from schalkneethling/301-thinksmart-redirect-revert

Adds missing styles and centre",Schalk Neethling,2017-01-24T09:33:54Z,schalkneethling,schalkneethling,18,18,0
3,all-aboard-remote,b18f7b3aa0357fd09d3860c70f7d43dac805f34c,Adds missing styles and centre,schalkneethling,2017-01-24T09:32:30Z,schalkneethling,schalkneethling,18,18,0
4,all-aboard-remote,52fdd32b17d01450222b50b86285c5c3d69f4bea,"Merge pull request #8 from schalkneethling/301-thinksmart-redirect-revert

Remove redirect, add new message",Schalk Neethling,2017-01-24T09:26:14Z,schalkneethling,schalkneethling,74,13,61
5,all-aboard-remote,7c007de60171580263f34a28ecabb28304570635,"Remove redirect, add new message",schalkneethling,2017-01-24T09:25:19Z,schalkneethling,schalkneethling,74,13,61
6,all-aboard-remote,01c051d446a87b39cf66fef955ed893429d8dbc6,"Merge pull request #7 from schalkneethling/301-thinksmart-redirect

Move htaccess into static folder",Schalk Neethling,2016-07-07T09:03:48Z,schalkneethling,schalkneethling,0,0,0
7,all-aboard-remote,61bace7629ba9423a6f6a8c7d6b722dfe27c629f,Move htaccess into static folder,schalkneethling,2016-07-07T09:02:52Z,schalkneethling,schalkneethling,0,0,0
8,all-aboard-remote,df2393365d92410cda66aaf045b3acca9a49b9b2,"Merge pull request #6 from schalkneethling/301-thinksmart-redirect

Fix issue #224, 301 redirect to thinksmart",Schalk Neethling,2016-07-07T09:01:05Z,schalkneethling,schalkneethling,5,5,0
9,all-aboard-remote,fdd17549c6d6a6f8202e96f6ebab7579013c3cba,"Fix issue #224, 301 redirect to thinksmart",schalkneethling,2016-07-07T09:00:16Z,schalkneethling,schalkneethling,5,5,0
10,all-aboard-remote,a5b64660073b3f114ecb3ea5fef785796f93e1b3,"Merge pull request #5 from schalkneethling/issuer#4-update-css-and-html

Fix issue #4, update CSS to match HTML",Francesco Polizzi,2016-06-30T16:09:11Z,FrancescoSTL,FrancescoSTL,43,30,13
11,all-aboard-remote,e400183ce8310613410764b6994889dd31420e1a,"-Fix issue #4, update CSS to match HTML",schalkneethling,2016-06-29T14:18:20Z,schalkneethling,schalkneethling,43,30,13
12,all-aboard-remote,a457a0b91acbfd5090086a1a452a00cc692451df,"Merge pull request #2 from schalkneethling/issue#178-add-form-iframe-contents

Fix issue #178, adds form and styling for heroku placeholder",Francesco Polizzi,2016-06-28T16:07:22Z,FrancescoSTL,FrancescoSTL,65,61,4
13,all-aboard-remote,452e461dd3fd9dc194f76b39ffeb4d2d27890c6e,"Fix issue #178, adds form and styling for heroku placeholder",schalkneethling,2016-06-27T18:46:43Z,schalkneethling,schalkneethling,65,61,4
14,all-aboard-remote,f3e96ace2ce26f1246844618dd7389919151a941,"Merge pull request #1 from mozilla/static-site-setup

init static site structure",Francesco Polizzi,2016-06-27T18:16:59Z,FrancescoSTL,FrancescoSTL,14,14,0
15,all-aboard-remote,5e423636e2e45bf40dc4575ae21510f19cc65899,"init static site structure

creates skeletal static site compatible with shipping on heroku. The empty composer.json will fingerprint this as a php project and the Procfile will boot up apache, serving the static folder.",lonnen,2016-06-27T18:14:08Z,lonnen,lonnen,14,14,0
16,all-aboard-remote,86189d7f5c40f8e063652ac928c3216d134127fe,Initial commit,Chris More,2016-06-27T18:06:05Z,Chris More,Chris More,375,375,0
