,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,amo-milestones,17a8fdc09212602eae1019b36501bb9b6c90187a,"Better state + contributors (fixes #3, fixes #4)",Stuart Colville,2017-04-26T12:23:42Z,muffinresearch,muffinresearch,67,63,4
1,amo-milestones,e107e973925f4c6c47a2ed31162bb095583b5a45,Fix due date sort,Stuart Colville,2017-04-26T10:51:00Z,muffinresearch,muffinresearch,2,1,1
2,amo-milestones,7f05ff05916e45d0af2888ea9bcd3d618d401f79,Increase code coverage,Stuart Colville,2017-04-26T10:44:04Z,muffinresearch,muffinresearch,190,150,40
3,amo-milestones,785506d061e84dcc443ef93155f49bceb768a597,Add coverage badge,Stuart Colville,2017-04-26T08:57:50Z,muffinresearch,muffinresearch,1,1,0
4,amo-milestones,55e9fc9b06a5a607ff7cdbf7ea63c183c170410c,Fix coveralls test command,Stuart Colville,2017-04-26T08:37:33Z,muffinresearch,muffinresearch,2,1,1
5,amo-milestones,bca2c4a0939350f3853b3e9635bde54a1dd14135,Setup coveralls,Stuart Colville,2017-04-26T08:27:08Z,muffinresearch,muffinresearch,98,86,12
6,amo-milestones,4f103e0348df0da758aa87cdf4318a722452ef9d,More tests and refactoring,Stuart Colville,2017-04-25T22:24:25Z,muffinresearch,muffinresearch,865,756,109
7,amo-milestones,362e1bf006ea8d297e0bef84e83929ed7c5ae212,Extract utils out and add tests,Stuart Colville,2017-04-25T15:49:00Z,muffinresearch,muffinresearch,109,78,31
8,amo-milestones,23ba3f008bdffed7c722c7d7e487e7d4904d4270,Move repo select,Stuart Colville,2017-04-25T14:37:26Z,muffinresearch,muffinresearch,24,15,9
9,amo-milestones,a3282933867aa4fbf74e34de769ce9d70b842a6a,Update readme info,Stuart Colville,2017-04-25T14:29:59Z,muffinresearch,muffinresearch,41,40,1
10,amo-milestones,12e9d13a8d042092b015cf899ce8685b1a4bef53,Add travis badge,Stuart Colville,2017-04-25T13:57:57Z,muffinresearch,muffinresearch,2,2,0
11,amo-milestones,e8c49c38a78e80f19ef40c8e69e399aa09ae6639,Add travis.yml,Stuart Colville,2017-04-25T13:56:12Z,muffinresearch,muffinresearch,9,9,0
12,amo-milestones,c65f6d6ca59f50d5ad1d506c8f3f140eb75146b5,Add basic tests,Stuart Colville,2017-04-25T13:23:14Z,muffinresearch,muffinresearch,212,199,13
13,amo-milestones,5fe9ff55295708d7392d0d5be8535d2b2bf07d77,Fix display of long titles,Stuart Colville,2017-04-25T10:13:21Z,muffinresearch,muffinresearch,6,5,1
14,amo-milestones,d1b4c3a65cf8d514bbd27b7cda98870e953cb56e,Fix repo select (fixes #5),Stuart Colville,2017-04-25T10:05:46Z,muffinresearch,muffinresearch,10,9,1
15,amo-milestones,34207e53f95e7c6f84e4e02cac0d8edd5d98bc0d,Add remaining API requests (fixes #2),Stuart Colville,2017-04-24T18:05:09Z,muffinresearch,muffinresearch,39,34,5
16,amo-milestones,4387e5817e49d8e3f2e903483900ab6b213fab3d,Generate repo dropdown from list,Stuart Colville,2017-04-24T14:15:59Z,muffinresearch,muffinresearch,7,4,3
17,amo-milestones,920728d7989e1296cbdc2193a8a09d386e58fafb,Make route explicit,Stuart Colville,2017-04-24T13:15:39Z,muffinresearch,muffinresearch,2,1,1
18,amo-milestones,cf08e439387b66c5b78c3abb442c5c96adf7eab4,Add static.json for deploy,Stuart Colville,2017-04-24T13:06:28Z,muffinresearch,muffinresearch,8,8,0
19,amo-milestones,772c755e066cf83503714ed79dcf1798d7fa1af7,Update README,Stuart Colville,2017-04-24T13:01:20Z,muffinresearch,muffinresearch,1622,0,1622
20,amo-milestones,a12f421571cc83545926db7557a36a2550f7a829,Add labels and modify color based on background,Stuart Colville,2017-04-24T11:48:18Z,muffinresearch,muffinresearch,53,52,1
21,amo-milestones,7701729bbceb175feba7217b4f00045e5a817d13,Remove ^ from deps,Stuart Colville,2017-04-24T10:47:51Z,muffinresearch,muffinresearch,8,4,4
22,amo-milestones,9dc01abeccbb38b9de5149b8cbb5a079b33280cf,Use DOMPurify on rendered markdown and make all links external,Stuart Colville,2017-04-24T10:47:07Z,muffinresearch,muffinresearch,11,10,1
23,amo-milestones,ebfcebee2eb95edb102d87ec0d28e445ae2525ad,Add modals for github issue content,Stuart Colville,2017-04-24T10:32:10Z,muffinresearch,muffinresearch,58,53,5
24,amo-milestones,d2ddba989ac680c89b22a7548f3941a75d5ec513,Clean-up lint,Stuart Colville,2017-04-24T09:10:49Z,muffinresearch,muffinresearch,59,3,56
25,amo-milestones,65d38c8a282a142cea19623f010b743a30083de0,Update readme,Stuart Colville,2017-04-21T17:25:44Z,muffinresearch,muffinresearch,6,6,0
26,amo-milestones,f5724b0a9ca13aad037ee1021f4676ce17302b29,Add issues by milestone,Stuart Colville,2017-04-21T17:20:49Z,muffinresearch,muffinresearch,439,307,132
27,amo-milestones,1d745122168f5c47084aa99bd289c6f5bc1cb779,Add initial milestone lookup + boostrap,Stuart Colville,2017-04-21T14:10:11Z,muffinresearch,muffinresearch,226,211,15
28,amo-milestones,c2b190cfb8cb155581ad4bb9d07ec36aa31d7325,Change favicon and initial edits,Stuart Colville,2017-04-21T10:04:20Z,muffinresearch,muffinresearch,36,5,31
29,amo-milestones,5e56690fb701931ca6056f4432090575fb89ba71,Initial app created with create-react-app,Stuart Colville,2017-04-21T09:55:49Z,muffinresearch,muffinresearch,7055,7055,0
30,amo-milestones,7672cd29bcdb50fb1e0cafb1e49ecc545ee47c1b,Add .gitignore,Stuart Colville,2017-04-21T09:51:25Z,muffinresearch,muffinresearch,58,58,0
31,amo-milestones,047b558a418362e9ced3524e32bbe24ae0aafcd7,Update README.md,Stuart Colville,2019-10-29T14:38:27Z,muffinresearch,muffinresearch,1,1,0
32,amo-milestones,26d07d282882d4b24365cb3576a2cc5b9cca9a20,"Merge pull request #151 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Mathieu Pillard,2019-04-01T10:04:42Z,diox,diox,15,15,0
33,amo-milestones,2d85526fa34a43c005c0400a0611c5e49a46cfa5,"Add Mozilla Code of Conduct file

Fixes #150.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T06:12:45Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
34,amo-milestones,ef162b93d5f90027cc07b26a3a6a3b75e7350c68,Update dependency sinon to v7.2.7 (#142),renovate[bot],2019-03-05T15:29:22Z,renovate[bot],renovate[bot],38,23,15
35,amo-milestones,1c294167cd2db176765d701ccbd94e567079d432,Update dependency fetch-mock to v7.3.1 (#141),renovate[bot],2019-03-05T15:29:10Z,renovate[bot],renovate[bot],10,5,5
36,amo-milestones,c98a194c365c137a6cbcae5529f50ff462548c3a,Fix lint,Stuart Colville,2019-03-05T15:14:22Z,muffinresearch,muffinresearch,2,1,1
37,amo-milestones,57abbcd38ee0cb41417bec98583fc7db568e51f5,Update README.md,Stuart Colville,2019-02-27T15:15:12Z,muffinresearch,muffinresearch,1,0,1
38,amo-milestones,157b4116a40514d50d126ecd86fcb75ab49ae5d6,Update markdown-it,Stuart Colville,2019-02-27T15:14:31Z,muffinresearch,muffinresearch,9,5,4
39,amo-milestones,e112ba50033d0df527bd3eb07b8be4fcb329182e,Update react + react-helmet,Stuart Colville,2019-02-27T15:12:33Z,muffinresearch,muffinresearch,59,30,29
40,amo-milestones,26f41ca7836f368e89cb61ea34bad3ddfbfb028e,Update sinon,Stuart Colville,2019-02-27T15:10:25Z,muffinresearch,muffinresearch,96,58,38
41,amo-milestones,c697abc7c3c940cc2e377072cdc7116592e34ff0,Update react-scripts,Stuart Colville,2019-02-27T15:09:13Z,muffinresearch,muffinresearch,9022,5961,3061
42,amo-milestones,d508ba38ac0aa63155b81753b59fed253c36aa7f,Remove explicit jest dep and update other jest deps,Stuart Colville,2019-02-27T15:06:10Z,muffinresearch,muffinresearch,778,29,749
43,amo-milestones,c9ff5a8fcd71da44373b949d7ad71bc0200cb3d1,Update fetch-mock,Stuart Colville,2019-02-27T15:00:22Z,muffinresearch,muffinresearch,14,8,6
44,amo-milestones,d52ba8bae7036cb80989e206b258bff807bc2286,Update Enzyme,Stuart Colville,2019-02-27T14:59:07Z,muffinresearch,muffinresearch,122,104,18
45,amo-milestones,2a728c6907c4547d0aab57797202b00280b2cd5f,Update DOMPurify to 1.0.10,Stuart Colville,2019-02-27T14:57:50Z,muffinresearch,muffinresearch,10,5,5
46,amo-milestones,e4e0db14c31e129a1b0950a434a898c2b9955381,Update coveralls to 3.0.3,Stuart Colville,2019-02-27T14:56:27Z,muffinresearch,muffinresearch,42,29,13
47,amo-milestones,d2dc832d4b3e5f7939e5b22f33a0849055950f5e,fix(deps): update dependency bootstrap to v3.4.1 [security] (#139),renovate[bot],2019-02-27T14:42:35Z,renovate[bot],renovate[bot],10,5,5
48,amo-milestones,07da71a495081b6831eb118a6ef58973f22d553c,chore(deps): pin dependencies (#138),renovate[bot],2019-02-27T14:36:51Z,renovate[bot],renovate[bot],111,61,50
49,amo-milestones,dd9c462a15887e6634248304e50b6b94de6f90e0,Remove addons- prefix from repo names (#136),William Durand,2019-02-27T14:32:57Z,willdurand,willdurand,6,5,1
50,amo-milestones,4e1b8371552f4be0c4b708e4239923b9bd259c6f,Add renovate.json (#137),renovate[bot],2019-02-27T14:30:43Z,renovate[bot],renovate[bot],5,5,0
51,amo-milestones,239ee5b2d92e76b74c7fd338f811d868f9c397c4,Update bootstrap version,Stuart Colville,2019-01-16T16:45:26Z,muffinresearch,muffinresearch,11,6,5
52,amo-milestones,31ef9101d1a2ac8b321e82e91c3f2ce4842adc49,Add addons-code-manager (#134),William Durand,2019-01-16T15:37:00Z,willdurand,willdurand,1,1,0
53,amo-milestones,fb8cbf664c32cba3190992813c65ca41a9bbd034,Update yarn.lock,Stuart Colville,2018-09-11T18:19:54Z,muffinresearch,muffinresearch,41,25,16
54,amo-milestones,96a97cb7be61c012fe605d2579c2d2e9e3b891c3,"chore(package): update fetch-mock to version 6.5.2 (#94)

Closes #70",Stuart Colville,2018-09-11T18:17:53Z,muffinresearch,muffinresearch,2,1,1
55,amo-milestones,fa27611232dde1fca48579792c9b435759b7933c,"Update to node 10 in .travis.yml (#96)

* Update to node 10 in .travis.yml

* Remove 6 in favour of 8",Stuart Colville,2018-09-11T18:13:35Z,muffinresearch,muffinresearch,3,2,1
56,amo-milestones,0bd13bd131bc80f6f73e30ad745c3dfc1259cd92,Update yarn.lock,Stuart Colville,2018-09-11T17:55:18Z,muffinresearch,muffinresearch,1291,1115,176
57,amo-milestones,e09014ffc8220353cde8426b4c15e2c8478b97d3,"chore(package): update jest to version 22.1.4 (#92)

Closes #66",Stuart Colville,2018-09-11T17:53:53Z,muffinresearch,muffinresearch,2,1,1
