,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,amo-validator,ad8dee5e3442af8e2001efd29f5264e095e26481,Fixed manifest support; added lang packs; added argparse,Matt Basta,2010-05-27T21:13:06Z,Matt Basta,Matt Basta,2490,2485,5
1,amo-validator,867a913c8e6ba76782f27a1ac3a25b66dfbd9772,Removed the old main file.,Matt Basta,2010-05-27T00:52:54Z,Matt Basta,Matt Basta,203,0,203
2,amo-validator,5eeb3548d2b9b1f381944e88deb7dce3df8c59b3,Lots of refactoring and code changes. Min score of 9.0 in pylint,Matt Basta,2010-05-27T00:37:34Z,Matt Basta,Matt Basta,532,392,140
3,amo-validator,97973b8ccb5465e2f4e3010149456a808eaf897f,Fixed some bugs; added some comments,Matt Basta,2010-05-26T17:56:22Z,Matt Basta,Matt Basta,9,6,3
4,amo-validator,4bec994063a1f01a8222a2fc4240244092edf47f,Updated readme. Everything now singular.,Matt Basta,2010-05-26T17:45:11Z,Matt Basta,Matt Basta,8,4,4
5,amo-validator,dabc12a4d4ba69aeb142f9c07c1a922ad8ea7a04,Added conduit testing; numerous tweaks,Matt Basta,2010-05-26T17:43:56Z,Matt Basta,Matt Basta,182,145,37
6,amo-validator,c2f40804b3779f1ebc523ba0b9c8f59eca9e67ee,"Added notices to error bundler, added hash blacklisting",Matt Basta,2010-05-25T22:08:32Z,Matt Basta,Matt Basta,229,189,40
7,amo-validator,c4c1979f4a89e07f95c78896a6b401b41ca42111,Updated SeaMonkey support and added rejection,Matt Basta,2010-05-25T17:42:35Z,Matt Basta,Matt Basta,61,40,21
8,amo-validator,c53e418945296c5e6e5d769a9b5da42db01de4f3,"Updated OpenSearch, started install.js support",Matt Basta,2010-05-24T22:40:11Z,Matt Basta,Matt Basta,141,108,33
9,amo-validator,99792804f1acf66bd5abe317c11c23fb8e0b3612,Better support for dictionaries; suggestions from Jeff,Matt Basta,2010-05-24T17:46:40Z,Matt Basta,Matt Basta,38,16,22
10,amo-validator,26f4906b5c4ad321d1a3dabc7e6f957b631f41b6,Added support for dictionaries,Matt Basta,2010-05-21T23:59:54Z,Matt Basta,Matt Basta,75,51,24
11,amo-validator,75fb7730921abcf8784cadbbb6dd3fa8a750f77a,Added some real stuff to the README,Matt Basta,2010-05-21T23:34:31Z,Matt Basta,Matt Basta,28,28,0
12,amo-validator,a1e592725c63c42e7585212c16b10e50fa155c23,Added support for testing and language packs.,Matt Basta,2010-05-21T23:27:05Z,Matt Basta,Matt Basta,223,163,60
13,amo-validator,d7c024a2844e3b64cb5ad53966bafd36d24e940a,Fixed lots of bugs and syntax errors.,Matt Basta,2010-05-21T00:42:30Z,Matt Basta,Matt Basta,55,38,17
14,amo-validator,4cfa68d8ca7e4d499d678fa4f73482eaceb7afe6,Introduced new logging and added more tests,Matt Basta,2010-05-21T00:24:14Z,Matt Basta,Matt Basta,390,330,60
15,amo-validator,4a76f80fc65b3968213aff87fdb8b4bae5301d9c,Wrote a bunch more code and made lots of changes,Matt Basta,2010-05-19T23:01:41Z,Matt Basta,Matt Basta,99,81,18
16,amo-validator,2c3bd99d268142b0e3b865b957b20b7dab8920a1,Added code so far,Matt Basta,2010-05-19T20:22:53Z,Matt Basta,Matt Basta,148,148,0
17,amo-validator,5bdb5516ac7dbc98fd6060e4f71c93b6e614431d,Hooray!,Matt Basta,2010-05-19T20:15:26Z,Matt Basta,Matt Basta,0,0,0
18,amo-validator,72bf909aba8a2d31a91a92f40ff23c5c461a7e32,Updated with changes from master; updated for local spidermonkey,mattbasta,2010-10-09T15:24:03Z,mattbasta,mattbasta,55,21,34
19,amo-validator,fdbd83df29c1fb23ffb17ea1e6fb1976658636de,Updated readme per jorgev,mattbasta,2010-10-09T14:19:43Z,mattbasta,mattbasta,2,1,1
20,amo-validator,1d7220fc8438d41f208c89c02479819b3a6cf493,Added extras discussed in presentation,Matt Basta,2010-08-21T00:16:46Z,Matt Basta,Matt Basta,144,142,2
21,amo-validator,9ae18590ff591cdb390e13024608d46e75e5a2a4,Support for new expressions,Matt Basta,2010-08-20T23:37:58Z,Matt Basta,Matt Basta,131,113,18
22,amo-validator,8b01fb8718139872c9c8905e6438346a4c751bf7,Made the JS stuff not error out,Matt Basta,2010-08-19T21:55:15Z,Matt Basta,Matt Basta,461,329,132
23,amo-validator,9429fd9fd4516c1ec1883de3d37437e1d5451b38,Linked in scripting,Matt Basta,2010-08-18T21:08:15Z,Matt Basta,Matt Basta,3,3,0
24,amo-validator,bc787c2c5550e0c812e3e72d2d0280694dd0d695,Fixed unit tests,Matt Basta,2010-08-18T21:03:51Z,Matt Basta,Matt Basta,27,13,14
25,amo-validator,bbd35bdc177227496f8f4baca9f5ed232eafe1f9,Added rule to block <MozParam>; Bug 547273,Matt Basta,2010-08-18T20:16:06Z,Matt Basta,Matt Basta,8,6,2
26,amo-validator,415033488456c4c40cd175f56d4d2d9e24963824,Finished adding AST node definitions.,Matt Basta,2010-08-18T20:09:14Z,Matt Basta,Matt Basta,151,112,39
27,amo-validator,259c5b0837f74f2dc815947f14bccec3c7460a27,Added most scripting stuff,Matt Basta,2010-08-18T00:27:37Z,Matt Basta,Matt Basta,373,347,26
28,amo-validator,0fe0a596ae197736c2a161c8be4fbce8924e3c62,Added metadata and basic script support,Matt Basta,2010-08-16T21:15:15Z,Matt Basta,Matt Basta,1197,17,1180
