,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,anodejsholidayseason,23a84d9e79819181bf3d97f7efa05855f332a4f3,second draft,Lloyd Hilaiel,2012-11-12T18:30:11Z,lloyd,lloyd,249,67,182
1,anodejsholidayseason,4858182b4e21cc9cb6875a432707eff7c85e5bd0,Add my first draft,Francois Marier,2012-11-11T08:30:40Z,Francois Marier,Francois Marier,124,124,0
2,anodejsholidayseason,1a2e6bb2b4b890bf8b5634a92183352f015ef775,spelling,Lloyd Hilaiel,2012-11-05T17:00:48Z,lloyd,lloyd,27,14,13
3,anodejsholidayseason,b868b9a5e7de8aa9c6a659b031c7263b0f9d09c2,first draft,Lloyd Hilaiel,2012-11-05T16:55:58Z,lloyd,lloyd,272,272,0
4,anodejsholidayseason,84939f361d1862cba8aacd22b7699f4e9aec9d49,meh,Lloyd Hilaiel,2012-11-05T03:45:18Z,lloyd,lloyd,0,0,0
5,anodejsholidayseason,eb840d9f0151955cf62b57a2f6e9f5bddb2a4dfc,"Merge pull request #5 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Ryan Kelly,2019-03-28T19:47:34Z,rfk,rfk,15,15,0
6,anodejsholidayseason,e9a0c0f498fd654741a5c858cf96a0bb35589c6d,"See PR for details

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-28T04:08:45Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
7,anodejsholidayseason,e4ba89f5f64509fbec5a4bee51d134ddcba6d8b3,grammar,Lloyd Hilaiel,2013-05-20T23:44:34Z,lloyd,lloyd,4,2,2
8,anodejsholidayseason,e25fb6bea68430b526e9681f5c06712bd3ac1c9a,move .awsbox.json to minimalistic contract section,Lloyd Hilaiel,2013-05-20T23:38:51Z,lloyd,lloyd,11,6,5
9,anodejsholidayseason,ab1def568e56dfdbe2d3547980f869a3d635323c,include simplest possible .awsbox.json inline,Lloyd Hilaiel,2013-05-20T23:36:59Z,lloyd,lloyd,5,4,1
10,anodejsholidayseason,cbafb890513ff90f8e8b638ef0e5cb9a8930839e,grammar,Lloyd Hilaiel,2013-05-20T23:35:20Z,lloyd,lloyd,18,9,9
11,anodejsholidayseason,25a1edc97c0601f7c0c257a3d1a70ade7d3284a8,can we call that a first draft?,Lloyd Hilaiel,2013-05-20T23:02:37Z,lloyd,lloyd,31,23,8
12,anodejsholidayseason,631645a0096ac6642a3c43ecca10dcce0b3e49d6,Tweak intro to awsbox article,Dan Callahan,2013-05-20T21:06:39Z,callahad,callahad,12,5,7
13,anodejsholidayseason,9f7303f8491fa45dcb34fa6a1a94cca6e22cb5f2,iterate,Lloyd Hilaiel,2013-05-20T20:29:58Z,lloyd,lloyd,34,24,10
14,anodejsholidayseason,1204ecf586a94d8abb0c36aad41ea7fe7d55c17e,partial implementation of deploying node.js blog post,Lloyd Hilaiel,2013-05-20T19:26:31Z,lloyd,lloyd,67,54,13
15,anodejsholidayseason,67a38ebbff97167a8749c1b931f9f2672746cde6,tighten up titles,Lloyd Hilaiel,2013-05-20T16:06:04Z,lloyd,lloyd,14,5,9
16,anodejsholidayseason,cb26a9cfb01d5ac88090674daa094d4499659f33,"application deployment on *your* terms, outline",Lloyd Hilaiel,2013-05-20T16:02:35Z,lloyd,lloyd,44,44,0
17,anodejsholidayseason,186d6a6b0f50ee893f9191ba54b0c23242f01b04,Edits per stomlinson.,Austin King,2013-04-11T21:26:28Z,ozten,ozten,70,43,27
18,anodejsholidayseason,ca589a77b28f4ca766950321c03384b4a67391b0,Merge branch 'master' of github.com:mozilla/anodejsholidayseason,Austin King,2013-03-22T22:06:43Z,ozten,ozten,462,462,0
19,anodejsholidayseason,9f4ccbef84863c9ff49b4b725abed11bc030ef23,Incorporating stomlinson's review and edits.,Austin King,2013-03-22T03:25:15Z,ozten,ozten,46,21,25
20,anodejsholidayseason,405698f4f793f0f3c683f8cf3d7c137a9f73ea3a,Removing copy from parts 2 and 3 per fmarier,Austin King,2013-03-20T19:56:36Z,ozten,ozten,18,9,9
21,anodejsholidayseason,6cd27a927dfe8e48b8367f7f0ad0597b66c3d9b5,Fixing syntax issues,Austin King,2013-03-20T17:43:43Z,ozten,ozten,10,5,5
22,anodejsholidayseason,2d38fc4eae6e3aaeb6797062c889364c4f6c9845,Incorporating fmarier's feedback,Austin King,2013-03-20T16:50:44Z,ozten,ozten,39,20,19
23,anodejsholidayseason,908b6dcf9e3f9ec07bbfe12ae2247791bcfad4cd,"Update localization_part_1.md

Fixing image",Austin King,2013-03-19T22:20:06Z,ozten,ozten,4,2,2
