,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,appetizer-proxyhacks,a20321f7cebf3d2712764db5b4b01fba9c7edee6,handle cases when there's no content-type,Ian Bicking,2011-01-11T03:21:36Z,ianb,ianb,4,1,3
1,appetizer-proxyhacks,428adfc0b42764c37d456a17e60038a96fa8c3a2,allow for global files,Ian Bicking,2011-01-09T05:25:20Z,ianb,ianb,35,23,12
2,appetizer-proxyhacks,87f97abcdee3645704d89313b41de9d0ad7e7b89,"rewriting routines, pep8",Ian Bicking,2011-01-07T19:20:33Z,ianb,ianb,19,18,1
3,appetizer-proxyhacks,e43cade85fd081d6cbc46db5f6526bb6c5f4c4a0,Fix git pull,Ian Bicking,2010-11-27T06:59:20Z,ianb,ianb,13,9,4
4,appetizer-proxyhacks,494db109cd10c1fd5402a5391a25239d02a0ff01,Catch exceptions when instantiating site,Ian Bicking,2010-11-27T06:44:39Z,ianb,ianb,7,6,1
5,appetizer-proxyhacks,bf360789865ed08bf0758ddcda9cee875b4c4629,"quieter, also decode content",Ian Bicking,2010-11-27T06:31:26Z,ianb,ianb,4,2,2
6,appetizer-proxyhacks,3739c0cfa1df6c8ce1c83873272c6c2b04eb1220,rewrite javascript for domains too,Ian Bicking,2010-11-27T05:48:03Z,ianb,ianb,2,1,1
7,appetizer-proxyhacks,b4bfbeb37ad06ec6e34ee9f1706c6ca1914e99b1,rearrange installed files,Ian Bicking,2010-11-27T05:35:14Z,ianb,ianb,20,13,7
8,appetizer-proxyhacks,d385a462ab1dc1af46ed10cc555f74c5bf1aff6e,Add app.ini,Ian Bicking,2010-11-27T05:13:03Z,ianb,ianb,8,8,0
9,appetizer-proxyhacks,deebfaa229e63f0ea320e71799d5b32a8a66b4d0,Initial project,Ian Bicking,2010-11-27T05:12:06Z,ianb,ianb,46572,46572,0
