,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,arch-website,9ff0b4ad94b8f66f7b3be3646977ee9034abd97c,change some scaling,Josh Marinacci,2018-05-09T21:15:15Z,joshmarinacci,joshmarinacci,4,2,2
1,arch-website,518344669176227a7a7852c0d3b115394d4aa30f,"catch fetch errors
remove archway from the about screen",Josh Marinacci,2018-05-09T21:08:11Z,joshmarinacci,joshmarinacci,16,12,4
2,arch-website,065c4b2187a7c781d26f0701e526dcb0f910bbde,"make archwaypanel load existing rendered modules
use the archway in the Preview page
use the archway in the QueueScreen",Josh Marinacci,2018-05-09T20:47:15Z,joshmarinacci,joshmarinacci,40,27,13
3,arch-website,f7374fffe29617413169302675968639bbb152a1,make the queue use the archwaypanel,Josh Marinacci,2018-05-09T17:24:20Z,joshmarinacci,joshmarinacci,18,14,4
4,arch-website,3f71c63ed977b5f22420128646646d23e747528a,cycle the frames every 200 msec,Josh Marinacci,2018-05-09T17:12:02Z,joshmarinacci,joshmarinacci,15,14,1
5,arch-website,18582b6dcee08a1eed9af86d7da89823139639ce,Merge remote-tracking branch 'origin/master',Josh Marinacci,2018-05-09T17:04:24Z,joshmarinacci,joshmarinacci,25586,25586,0
6,arch-website,d1528b7428c0b0257c9cbfaf4c3026c155cd7c68,"Merge pull request #1 from TrevorFSmith/webgl-arch

Start rendering the archway in WebGL",Josh Marinacci,2018-05-09T17:04:11Z,joshmarinacci,joshmarinacci,25586,25586,0
7,arch-website,f96a6139ea3fcc28cdcbb9adfad14036cc27481c,Start rendering the archway in WebGL,Trevor F. Smith,2018-05-08T23:01:51Z,TrevorFSmith,TrevorFSmith,25586,25586,0
8,arch-website,72f4bc30e9f5d65c289ceeaeb5a3785bad6db046,authenticate the publish and queueupdate routes,Josh Marinacci,2018-05-08T19:18:23Z,joshmarinacci,joshmarinacci,19,12,7
9,arch-website,8f8ec98168590bc538ac813108fc5829685c1e29,"move urls to constants file
make queue editor cleanup event listeners when unmounted",Josh Marinacci,2018-05-08T19:02:30Z,joshmarinacci,joshmarinacci,29,19,10
10,arch-website,cca21a2e5c0e4daad1451cc5671202bb06673c32,fix the broken Queue Screen,Josh Marinacci,2018-05-08T18:56:50Z,joshmarinacci,joshmarinacci,2,1,1
11,arch-website,60a87fccb6cb758d2f06e532649d027cbfff4a75,add delete button to delete modules from the queue,Josh Marinacci,2018-05-08T18:55:18Z,joshmarinacci,joshmarinacci,29,21,8
12,arch-website,0148f5080121ed1eff825399d598c045ba42bcb5,"delete all the old dead code from the previous animation editor
make queue editor load the queue and the list of modules, also add items to the queue and save",Josh Marinacci,2018-05-08T18:22:11Z,joshmarinacci,joshmarinacci,269,51,218
13,arch-website,a0da51efdd34c0fb41cc647eb2d633748bfa1ae2,start building the queue editor,Josh Marinacci,2018-05-08T17:31:43Z,joshmarinacci,joshmarinacci,58,57,1
14,arch-website,8e99257feb01fabdb3646b7288ea7b8a51383621,"make the corner button show if you are connected already and log out
cleanup auth code a bit",Josh Marinacci,2018-05-08T17:10:20Z,joshmarinacci,joshmarinacci,48,28,20
15,arch-website,63ed81e8a9a4ae74ff3ddb501bae63eb02488473,make submit module request actually work,Josh Marinacci,2018-05-07T19:26:26Z,joshmarinacci,joshmarinacci,57,36,21
16,arch-website,d80e468cf6c2ffb6a231fa78bf1aee373d522e9a,"make the form fields on the submit page work
make a tag editor
improve the spec",Josh Marinacci,2018-05-07T18:16:09Z,joshmarinacci,joshmarinacci,97,80,17
17,arch-website,4a3edc3f3dbc1c280a937768ce0c106cee15d970,"create a fake editor to test with
implement the workflow to get the module, generate the JSON frames, preview it, collect metadata, then publish it
rewrite part of the auth workflow",josh,2018-05-04T20:49:48Z,joshmarinacci,joshmarinacci,349,262,87
18,arch-website,4b853c66c6ad55d85e895dfaf2732454140db06d,add links to submit screens,josh,2018-05-04T17:27:32Z,joshmarinacci,joshmarinacci,41,39,2
19,arch-website,dbaf5d607476275e7e4b148d74563f0c29ea8e71,"Merge remote-tracking branch 'origin/master'

# Conflicts:
#	src/App.css
#	src/App.js
#	src/QueueScreen.js",josh,2018-05-04T16:22:36Z,joshmarinacci,joshmarinacci,2841,279,2562
20,arch-website,5e4572900c09d1e30d3851698792341a6316d458,initial support for authentication via github,Josh Marinacci,2018-05-02T20:54:02Z,joshmarinacci,joshmarinacci,79,75,4
21,arch-website,15acc80cb77db7889df102185530b067d22bd8c6,switch to https://vr.josh.earth/jsconfeu-builder/api,Josh Marinacci,2018-05-01T18:35:19Z,joshmarinacci,joshmarinacci,2,1,1
22,arch-website,dd834b5233f3b4a99c9d80773fd795fafcaa8ecc,switch to vr.josh.earth for the server,Josh Marinacci,2018-05-01T18:28:49Z,joshmarinacci,joshmarinacci,2,1,1
23,arch-website,f35265c0831310d609a18760bb9634df6f45a060,switch to https for the iframe,Josh Marinacci,2018-05-01T18:26:36Z,joshmarinacci,joshmarinacci,2,1,1
24,arch-website,d7578ca9c6666de13c8388c3ea23426310fa8675,"make the module store fetch the Queue on load
make the QueueScreen render each item in the queue w/ real descriptions and the first frame of animation",Josh Marinacci,2018-05-01T18:06:02Z,joshmarinacci,joshmarinacci,96,79,17
25,arch-website,db6d52ddd44c430573ba0449aecf1f1c96629dc8,more code updates,Josh Marinacci,2018-05-01T17:17:42Z,joshmarinacci,joshmarinacci,70,37,33
26,arch-website,ecf49580942a88cbae7efc8e985fcfde8bdd931f,"split code into more files
update style to have a minimize size on each screen",Josh Marinacci,2018-05-01T17:07:08Z,joshmarinacci,joshmarinacci,2704,162,2542
27,arch-website,0e993de33cd082bf915fca0575f535263f0264ac,Merge remote-tracking branch 'origin/master',Josh Marinacci,2018-05-01T16:11:07Z,joshmarinacci,joshmarinacci,314,313,1
28,arch-website,b58cd74dead4dee9093a25194a89b6177c64e755,make the queue load the real queue from the server,josh,2018-04-24T18:06:23Z,joshmarinacci,joshmarinacci,18,17,1
29,arch-website,a3bfcb1bbd5f0da00dabae4c2089eca3b94f3bf2,move queue screen to it's own class,josh,2018-04-24T17:50:23Z,joshmarinacci,joshmarinacci,103,66,37
30,arch-website,8617793c529a06a862fe6486bd852b2173eb3f18,turn of semicolon warnings,josh,2018-04-24T17:11:35Z,joshmarinacci,joshmarinacci,8,8,0
