,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,archiver_toolkit,6e7b902580dbd7e7652ee120392c9120d65d1b4a,"Merge pull request #2 from hoosteeno/patch-1

Update README.md",Andrei Hajdukewycz,2014-06-06T22:54:23Z,Sancus,Sancus,2,1,1
1,archiver_toolkit,e8514b45c8662fc95c43aad270829c137e8f3f4c,Update README.md,Justin Crawford,2014-06-05T02:29:45Z,hoosteeno,hoosteeno,2,1,1
2,archiver_toolkit,8a5d0dc7ec688bfeafd329a42fa7fa79c6836ca1,Update README.md,hoosteeno,2013-08-16T20:04:04Z,hoosteeno,hoosteeno,4,3,1
3,archiver_toolkit,a28956b22cc0d6823ad328b33d0575ef16388225,"Merge pull request #1 from jgmize/minor-style-changes

minor style changes",hoosteeno,2013-08-16T16:21:06Z,hoosteeno,hoosteeno,42,25,17
4,archiver_toolkit,20f2af82d8c0bebeab243255f766be5e5ae3b186,minor style changes,Josh Mize,2013-08-15T06:07:21Z,jgmize,jgmize,42,25,17
5,archiver_toolkit,f1f2c8f887a5de30bf0a3551ae163f72bac7478f,Update README.md,hoosteeno,2013-08-12T17:01:55Z,hoosteeno,hoosteeno,31,15,16
6,archiver_toolkit,381cee418099dcdda5e19122e3bec0c18bac5f7d,Update README.md,hoosteeno,2013-08-12T16:40:19Z,hoosteeno,hoosteeno,10,7,3
7,archiver_toolkit,34e3e6e71fe04cbd12bfe86e3b103635bd484ccb,Edit README,hoosteeno,2013-08-12T16:36:05Z,hoosteeno,hoosteeno,69,50,19
8,archiver_toolkit,0c2342342864d644979e69a0c7a31490ee42ce88,Edit README,hoosteeno,2013-08-12T15:19:07Z,hoosteeno,hoosteeno,10,6,4
9,archiver_toolkit,c1ef23164feb08971b9b7749cbcb5111fda4ed60,improve readme,hoosteeno,2013-08-09T23:02:29Z,hoosteeno,hoosteeno,21,16,5
10,archiver_toolkit,7011eddee29827b00a3bd960e4a04b2d250b8d2d,improve readme,hoosteeno,2013-08-09T22:55:39Z,hoosteeno,hoosteeno,19,10,9
11,archiver_toolkit,bf49b35fe31808efadde9a93dbe6a02d2b7a9cb5,improve readme,hoosteeno,2013-08-09T22:51:59Z,hoosteeno,hoosteeno,5,1,4
12,archiver_toolkit,92622e1a72fdcd40bb8a2f546557a3859fc1f3f5,improve readme,hoosteeno,2013-08-09T22:50:02Z,hoosteeno,hoosteeno,5,4,1
13,archiver_toolkit,b9297230a87246554518814b6eefd7518c6963eb,improve readme,hoosteeno,2013-08-09T22:48:43Z,hoosteeno,hoosteeno,14,7,7
14,archiver_toolkit,f734f981de43a2b5c0cc540b319098fcec316b92,improve readme,hoosteeno,2013-08-09T22:45:00Z,hoosteeno,hoosteeno,51,50,1
15,archiver_toolkit,1bd673f8374bd728042cbc087429ce6c9d6637ba,add README,hoosteeno,2013-08-09T22:26:19Z,hoosteeno,hoosteeno,4,1,3
16,archiver_toolkit,3f52a3c5429cf140a12f7ae07e95e426ad32c00a,Merge remote-tracking branch 'origin/master',hoosteeno,2013-08-09T22:25:07Z,hoosteeno,hoosteeno,356,356,0
17,archiver_toolkit,23f5da3b57518afa2ad011697fade8127e7199a2,Initial commit,hoosteeno,2013-08-09T22:21:08Z,hoosteeno,hoosteeno,356,356,0
18,archiver_toolkit,2d9a2a7c0493c08cfb0403ad678ad23e184818f8,first commit,hoosteeno,2013-08-09T22:19:44Z,hoosteeno,hoosteeno,80,80,0
