,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,audisp-json,ac958223cf9d7f76508aad93b978c75cc6d8f6ff,Add tips on how to configure auditd for prod servers,Guillaume Destuynder,2014-02-28T19:02:05Z,gdestuynder,gdestuynder,21,21,0
1,audisp-json,a785e5b5ef803393a1d02c084e4e217d031e62d9,Remove evil additional tabs for readability,Guillaume Destuynder,2014-02-27T06:52:04Z,Guillaume Destuynder,Guillaume Destuynder,4,2,2
2,audisp-json,babe74d2cc99fbb8a9f3d8c8f288fde8ed9ac079,"Change dep for debian from libaudit0 to auditd:
since diff deb-based distros use libaudit0 or libaudit1 it makes it
easier to install (single package for all) even thus technically, this
plugin really depends on libaudit",Guillaume Destuynder,2014-02-26T21:34:09Z,gdestuynder,gdestuynder,2,1,1
3,audisp-json,128b3f74e131398293f4b060e3c94d9a8dff51ee,Bump version to 1.3,Guillaume Destuynder,2014-02-18T22:42:51Z,gdestuynder,gdestuynder,2,1,1
4,audisp-json,8be3a6d7162e9009def5deca07ae345a03bf3f15,"fix leak with attributes, always make sure the list if deleted
use alloca where applicable for niceness ;-)",Guillaume Destuynder,2014-02-18T22:41:21Z,gdestuynder,gdestuynder,37,25,12
5,audisp-json,f7c007f104efd46e6ded60429452782accab82e7,Bump version,Guillaume Destuynder,2014-02-18T19:46:28Z,gdestuynder,gdestuynder,2,1,1
6,audisp-json,a21364e9e659788e14769f832ae03778c31014e3,Fix *erm* memleak in get_username,Guillaume Destuynder,2014-02-18T19:18:02Z,gdestuynder,gdestuynder,14,10,4
7,audisp-json,039555b8053d955354a52674f01db25d4c327d7a,add fpm version support (starting at 1.1),Guillaume Destuynder,2014-02-12T00:48:06Z,gdestuynder,gdestuynder,6,4,2
8,audisp-json,d68d2f16ca4c4ad3b2898ba8d2c60e0e38908cef,"set duser and duid for the original user, easier to figure out on the
as-manager side",Guillaume Destuynder,2014-02-12T00:40:08Z,gdestuynder,gdestuynder,8,2,6
9,audisp-json,4dbd21cd06f29f3f1bff55e28eca96ff3f47bbe2,Only make on modified file ;-),Guillaume Destuynder,2014-02-12T00:39:53Z,gdestuynder,gdestuynder,4,2,2
10,audisp-json,065437fb2232a07de1d5221693a118a04e42bc58,"Fix spacing issue when strings are cut
""Fix"" horrible string len calculation",Guillaume Destuynder,2014-02-11T23:50:32Z,gdestuynder,gdestuynder,63,38,25
11,audisp-json,a0489f03309b0efb402c7aa092111215e719d0cd,ensure uid gets written in the msg (not overwritten by suid),Guillaume Destuynder,2014-02-08T02:45:36Z,gdestuynder,gdestuynder,2,1,1
12,audisp-json,d3451d907f42065c2ae529bd46b588bc3790fb60,"Fix bug in handling getpwuid_r
it does not set the pwd struct to null when no match is found",Guillaume Destuynder,2014-02-08T02:43:47Z,gdestuynder,gdestuynder,5,4,1
13,audisp-json,1f48ade833372fde1d6c791b30660dfaf772573c,fixes for rpm/deb build,Guillaume Destuynder,2014-01-16T01:18:26Z,gdestuynder,gdestuynder,12,7,5
14,audisp-json,44e28046cca22708bb35a1e317a2808048342791,Correct debian dependencies,Guillaume Destuynder,2014-01-16T00:54:48Z,gdestuynder,gdestuynder,2,1,1
15,audisp-json,6e12ee45db6b42e1d2309a653e9b7cc138467ce2,"Support automatic build for RPM, DEB via FPM",Guillaume Destuynder,2014-01-16T00:44:11Z,gdestuynder,gdestuynder,49,45,4
16,audisp-json,d5f323a046b64d519ef41af45cff0c76a406f776,Initial commit - ported from github.com/gdestuynder/audit-cef,Guillaume Destuynder,2014-01-15T19:43:06Z,gdestuynder,gdestuynder,943,943,0
17,audisp-json,9710a7773418d0e45196ca5a138ced0dd7d218c9,Re-introduce ppid (parent process id) in order to be able to recreate the exact process tree from logs,Guillaume Destuynder,2016-02-12T22:07:47Z,gdestuynder,gdestuynder,2,2,0
18,audisp-json,60a1a4f4cfa42a2b486a1297cd8bf6eef0eb0352,Bump 2.1.0,Guillaume Destuynder,2015-12-17T14:30:49Z,gdestuynder,gdestuynder,2,1,1
19,audisp-json,b5d608202771256a83d678aabb27899b7920f78c,manage queue list size (drop when max reached) and check queue every audispd=>audisp-json read,Guillaume Destuynder,2015-12-17T04:48:30Z,gdestuynder,gdestuynder,10,10,0
20,audisp-json,fad2329ab882082fbae09ec7f3857c161392dad8,"Send debug logs to the debug facility, not info ;-)",Guillaume Destuynder,2015-12-17T03:22:34Z,gdestuynder,gdestuynder,2,1,1
21,audisp-json,b4640e2f0427cc17c919581e859c7870a430e189,Replace ring function by linked-list to avoid unnecessary msg loss (different trade-off),Guillaume Destuynder,2015-12-15T19:39:53Z,gdestuynder,gdestuynder,116,39,77
22,audisp-json,cb9445de28e53640f601c6a8ddf66988797977bf,Add phony for clean target,Guillaume Destuynder,2015-12-15T19:38:39Z,gdestuynder,gdestuynder,2,2,0
23,audisp-json,dce871650bdb24c524e6a56ee2e1e23350be2305,Change some fixed-len to dynamic or #defined len for clarity,Guillaume Destuynder,2015-08-07T22:00:15Z,gdestuynder,gdestuynder,13,8,5
24,audisp-json,1def633399f2b9d8df0307242ab86fd9f4ad1c55,"While msg can never be bigger  than MAX_AUDIT_MESSAGE_LEN (8970) due to the code flow - reusing the MAX_JSON_MSG_SIZE
(4096) for message arguments is not exacly nice neither it is accurate. (and could be security relevant if the code change).
Ensuring whole message is always smaller than MAX_JSON_MSG_SIZE instead.",Guillaume Destuynder,2015-06-27T00:52:52Z,gdestuynder,gdestuynder,4,2,2
25,audisp-json,a9320a10bc982cf82bf780922b883d1ce0690113,Fix size of cmp len checks. Works otherwise but not very nice.,Guillaume Destuynder,2015-06-18T20:03:36Z,gdestuynder,gdestuynder,4,2,2
26,audisp-json,b05bf088442d5723ee87d63041400fd7a510aeed,More error checking (https://github.com/gdestuynder/audisp-json/pull/5/files),Guillaume Destuynder,2015-06-18T19:32:32Z,gdestuynder,gdestuynder,13,10,3
27,audisp-json,8429edb2d12fe5021ace416401635618fc09b646,Warn on message lost if the ring buffer is overflown,Guillaume Destuynder,2015-06-09T21:44:36Z,gdestuynder,gdestuynder,2,2,0
28,audisp-json,ebeb8605dd1d7292dd10c4d90e22cfb170eed887,"Bugfix: while we support keep-alive, lets not yell about it if it works (100-continue) or for any other informational
HTTP message for that matter (we still care about non-200 success msgs)",Guillaume Destuynder,2015-06-09T21:37:24Z,gdestuynder,gdestuynder,2,1,1
