,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,autophone,10770b5d3a5cbd0085d7e94abd6a3f1f1894bf41,Added unit tests.,Mark Côté,2012-07-10T04:59:55Z,Mark Côté,Mark Côté,961,560,401
1,autophone,cba08a468a5749fc840c470c23487ca6eabc569b,Don't reset status to IDLE if reboot command fails.,Mark Côté,2012-05-18T18:56:39Z,Mark Côté,Mark Côté,48,26,22
2,autophone,f4485ccb9e52e3badcc898c0478ccf425979b06e,Try to rmdir before mkdir during sd card test.,Mark Côté,2012-05-18T16:13:25Z,Mark Côté,Mark Côté,1,1,0
3,autophone,cac0a9ec6eb4bd1977edbd9dd304bd5aaf2c4ec5,Updated to use new sendemail API.,Mark Côté,2012-05-18T15:59:26Z,Mark Côté,Mark Côté,10,5,5
4,autophone,6f5f33bc1d53779f2cc5ecbe8535e8bf34211240,Patch smtplib in Python versions under 2.6.3. Changed to standard coding style.,Mark Côté,2012-05-17T16:07:37Z,Mark Côté,Mark Côté,107,64,43
5,autophone,1c9ab26c254fc5602b640e775cfd671222d22194,Do nonblocking reads when reading from subprocess when polling.,Mark Côté,2012-05-16T18:21:06Z,Mark Côté,Mark Côté,44,31,13
6,autophone,fc73bc6fc879af22f251a90c8649bbc652e181a3,"Changed rm -rf to rm -r when deleting profile, since the latter is not a valid on android.",Mark Côté,2012-05-15T23:10:13Z,Mark Côté,Mark Côté,2,1,1
7,autophone,1331fd5128c30f1e6470dcf885589c5028140fc7,Do status update even if disabled-phone mail fails.,Mark Côté,2012-05-15T22:13:15Z,Mark Côté,Mark Côté,6,3,3
8,autophone,8abc7378eba44ec31cf708407aa80658ff683225,Make sure we can cd to sd card as well as making a dir there.,Mark Côté,2012-05-15T20:59:59Z,Mark Côté,Mark Côté,4,4,0
9,autophone,8273a9f66bf1c982512a3e6e110b7c092ec23a75,Catch socket errors when sending email.,Mark Côté,2012-05-15T20:37:44Z,Mark Côté,Mark Côté,14,9,5
10,autophone,cf1f4ebfb1687d8fa3e0810b3c3c2e05a46b687b,Check for errors when rebooting. Force ping on next iteration after reenabling.,Mark Côté,2012-05-15T20:33:27Z,Mark Côté,Mark Côté,11,9,2
11,autophone,5a4c1b48ef300b76ce4e4982f26e4ba7c8f8c753,Replaced all DISCONNECTED states with DISABLED. Simplified PhoneWorker.disable_phone(). Try to recover phone after ping fails.,Mark Côté,2012-05-15T20:12:38Z,Mark Côté,Mark Côté,61,37,24
12,autophone,8cd22ece83173c8f702aaab58fe23e9d8ec162e2,Fixed trigger_runs.py for nightlies. Fixed exception when unable to obtain device root.,Mark Côté,2012-05-15T19:50:05Z,Mark Côté,Mark Côté,12,11,1
13,autophone,1d03e518cfa6667a17ac56b51d735432c1e4528a,Use echo instead of ps as heartbeat since the output is less.,Mark Côté,2012-05-14T19:08:15Z,Mark Côté,Mark Côté,3,2,1
14,autophone,6251b23d0d22b75fb840475cc12cdfe9351e7e5e,"trigger_runs.py can trigger jobs for tinderbox builds and from local files.
Also log all stdout and sterr from adb commands, cached builds expire after
one day, phone worker does heartbeat every 15 minutes instead of every minute,
verify cached builds and redownload if bad zip, removed some unused imports,
and a couple tiny fixes.",Mark Côté,2012-05-14T15:12:43Z,Mark Côté,Mark Côté,210,136,74
15,autophone,5a0dfa8c89add86617a19fd60cf02a934d3ea502,Reboot command now uses more robust recover_phone() method. Removed check for drawing != 0 since it is never reported.,Mark Côté,2012-05-09T19:46:41Z,Mark Côté,Mark Côté,10,4,6
16,autophone,c20f8f4baaae1f4f85d56acc9b169ba47ecb1552,More clean-up of trigger_runs.py. Immediately go back to IDLE when a job completes.,Mark Côté,2012-05-07T03:27:08Z,Mark Côté,Mark Côté,30,13,17
17,autophone,5f92265c3c0de163ce44fa4a48d0cde30e904285,"Added build cache. Fixed infinite loop in tcp request handler. Simplified
job creation and triggerjobs command. Added disable and reenable commands.
Check sdcard before starting jobs. Always retry 3 times. Changed s1s2test
to record time of first occurrence of throbstart/stop.",Mark Côté,2012-05-07T02:54:52Z,Mark Côté,Mark Côté,441,266,175
18,autophone,3eb0b88295187e9e5c7ff69c024dc5117a9d74fd,Fixed typo.,Mark Côté,2012-04-18T17:00:27Z,Mark Côté,Mark Côté,2,1,1
19,autophone,fa5518d9b97588f6394c55ff357ab553acef2406,More logging.,Mark Côté,2012-04-18T16:18:27Z,Mark Côté,Mark Côté,10,10,0
20,autophone,2c54d67d58080d2f510bd422bdab57106eb5ea41,Added DISABLED state. Include IP in phone status.,Mark Côté,2012-04-13T21:50:59Z,Mark Côté,Mark Côté,23,17,6
21,autophone,dfe9f80cded69808d8bec6da762570503c2295f4,"If two AndroidErrors occur during the same test, disable the phone.",Mark Côté,2012-04-13T16:05:08Z,Mark Côté,Mark Côté,24,17,7
22,autophone,2a05145f5b4f3827aa3f33d3928e34ad873ff1a7,"Added timeouts for some adb commands, after which the device is rebooted.",Mark Côté,2012-04-12T11:54:15Z,Mark Côté,Mark Côté,91,62,29
