,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,aws-lambda-telemetry,498af8a30ea304062a41e8311144304684bb478c,"Merge pull request #3 from whd/master

Standardize tags for accounting purposes",Roberto Agostino Vitillo,2015-11-03T12:03:22Z,vitillo,vitillo,5,2,3
1,aws-lambda-telemetry,7236e23c5d30583681c243a96bf7caa580c59ddc,Standardize tags for accounting purposes,Wesley Dawson,2015-10-29T20:23:37Z,whd,whd,5,2,3
2,aws-lambda-telemetry,4068e3f30683248daa6ac44800a412459897ce96,"Merge pull request #2 from mozilla/new-dev

Move to new-dev.",Mark Reid,2015-10-23T16:43:42Z,mreid-moz,mreid-moz,1469,1466,3
3,aws-lambda-telemetry,0926c5433ec91ee4b64e103f0af4d2085b36aecf,Add new line,Roberto Agostino Vitillo,2015-10-23T16:41:50Z,vitillo,vitillo,3,2,1
4,aws-lambda-telemetry,ad76f1db32ad1cd31feba6f1c933c7f6eeb9a55a,Move out from old-dev.,Roberto Agostino Vitillo,2015-10-21T17:34:05Z,vitillo,vitillo,2,2,0
5,aws-lambda-telemetry,456dfeedee7f77ea3124f1b6f86dfe923b220a92,Move out from old-dev.,Roberto Agostino Vitillo,2015-10-21T17:15:36Z,vitillo,vitillo,1466,1463,3
6,aws-lambda-telemetry,e322ff0f4e7128e81542471b0401b0c63059b01d,"Merge pull request #1 from mozilla/release_split

Add support for release schema.",Roberto Agostino Vitillo,2015-10-02T10:55:53Z,vitillo,vitillo,217,136,81
7,aws-lambda-telemetry,adcf084aa3686ee06bc98cf5711468edbc263da3,Use sources.json to configure the datasets.,Roberto Agostino Vitillo,2015-09-30T09:51:04Z,vitillo,vitillo,38,24,14
8,aws-lambda-telemetry,10dd0846e0eddad9c9e808770a53486772283cff,Generalize dataset handling.,Roberto Agostino Vitillo,2015-09-29T13:30:10Z,vitillo,vitillo,182,112,70
9,aws-lambda-telemetry,73b0f2232aee6dc4bf426f416b627ca36ca32c35,Add support for release dimensions.,Roberto Agostino Vitillo,2015-09-28T14:29:19Z,vitillo,vitillo,49,26,23
10,aws-lambda-telemetry,22ed40c9429ba2c8d302bab70894fed25a733105,Create README.md,Roberto Agostino Vitillo,2015-08-21T14:58:01Z,vitillo,vitillo,2,2,0
11,aws-lambda-telemetry,247892d32d745d003603d42f57fdfff36137e3d9,Add build-id support for v4 pings.,Roberto Agostino Vitillo,2015-05-26T15:55:40Z,vitillo,vitillo,7,4,3
12,aws-lambda-telemetry,52fbefad326eda699e18e35670148edaf0ff3b7e,Fix prefix bug.,Roberto Agostino Vitillo,2015-04-29T13:09:05Z,vitillo,vitillo,6,5,1
13,aws-lambda-telemetry,405744c1a95f48df7659354aa90f0beeb98b8385,Ignore landfill.,Roberto Agostino Vitillo,2015-04-29T10:50:59Z,vitillo,vitillo,4,4,0
14,aws-lambda-telemetry,0524a1f316b8b73b787341aefedd69ed10c6178f,Add v4 support.,Roberto Agostino Vitillo,2015-04-27T13:46:28Z,vitillo,vitillo,22,18,4
15,aws-lambda-telemetry,0e46ed7e3123d4786678188871b95f119543b5f2,Add a flag to differentiate between submissions added by a lambda function from those added by a batch job.,Roberto Agostino Vitillo,2015-04-24T11:13:17Z,vitillo,vitillo,5,4,1
16,aws-lambda-telemetry,6ec8ce4dfdaa36dcaf57ad63befd3fa7a42c2def,Promisify module.,Roberto Agostino Vitillo,2015-04-23T19:40:07Z,vitillo,vitillo,83,35,48
17,aws-lambda-telemetry,fb9770a1ec7b3c7cb073079bb60bfa64a5c1f0bb,Remove log parser.,Roberto Agostino Vitillo,2015-04-23T17:28:14Z,vitillo,vitillo,54,0,54
18,aws-lambda-telemetry,0d6a5016fcbf77f410caff4091abfc2ab997a053,Add domain if it's missing.,Roberto Agostino Vitillo,2015-04-23T17:23:22Z,vitillo,vitillo,28,18,10
19,aws-lambda-telemetry,448631dc1c5ae05bd5e471a2cc2586099a07c906,Better logging.,Roberto Agostino Vitillo,2015-04-23T16:55:42Z,vitillo,vitillo,46,42,4
20,aws-lambda-telemetry,74858a2e97a3fcae914fa32261cc786b43db28b6,Improve logging.,Roberto Agostino Vitillo,2015-04-23T15:08:57Z,vitillo,vitillo,8,6,2
21,aws-lambda-telemetry,da2d7a397b8bba55b09a581dddc9ce47ede322bc,Update log parsing.,Roberto Agostino Vitillo,2015-04-23T14:52:48Z,vitillo,vitillo,10,4,6
22,aws-lambda-telemetry,7a81272b6e3db5cf709569fcf13dac752bc86439,Add log parsing utility.,Roberto Agostino Vitillo,2015-04-23T14:38:26Z,vitillo,vitillo,66,66,0
23,aws-lambda-telemetry,db8eac71d9efb4020bbcd5ef2eac27f2361c19f3,Fetch telemetry_schema module from telemetry-tools.,Roberto Agostino Vitillo,2015-04-22T15:44:47Z,vitillo,vitillo,19,1,18
24,aws-lambda-telemetry,3bc274357624bd151f43ba935a148b221a4e039a,First commit.,Roberto Agostino Vitillo,2015-04-21T16:09:41Z,vitillo,vitillo,17,17,0
25,aws-lambda-telemetry,0845a9317567b899a12edd23adce78d7d2e54e13,First commit.,Roberto Agostino Vitillo,2015-04-21T16:03:39Z,vitillo,vitillo,49,49,0
