,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,awsboxen,0a591a41e1056d20243093e8eb1fdbf751f2cac3,Another thing to do.,Ryan Kelly,2013-04-11T06:04:48Z,rfk,rfk,2,2,0
1,awsboxen,15ff4c7d5ba0a64b60c6c93b6e338d3a47723f9b,Update README with a list of things that aren't working yet.,Ryan Kelly,2013-04-11T06:03:38Z,rfk,rfk,18,18,0
2,awsboxen,2cbc16a767e95ee306f50be3fa801a519a9a7e3b,Basic implementation of deploy/list/info/teardown commands.,Ryan Kelly,2013-04-11T05:56:15Z,rfk,rfk,227,180,47
3,awsboxen,076a66f1edca81d64d961537f37e42537af5cb82,"Implement basic ""teardown"" command.",Ryan Kelly,2013-04-11T04:15:18Z,rfk,rfk,17,15,2
4,awsboxen,6862b8841aedad4de6617e29387d9979449cdd69,"Hooked up super-basic usage of CloudFormation.

Running `awsboxen deploy` will now push the declared stack into AWS,
but it can't yet create images for the declared boxen so it's pretty
useless.",Ryan Kelly,2013-04-11T04:11:11Z,rfk,rfk,155,136,19
5,awsboxen,cc08b693070b42bb75a90ae21830640d30ef2c23,Fix formatting of usage string.,Ryan Kelly,2013-04-10T06:06:17Z,rfk,rfk,2,1,1
6,awsboxen,fc720b75d38576846b2c2e7feb340dee8523561c,"Add ""showconfig"" command, to test out config loading.",Ryan Kelly,2013-04-10T06:05:35Z,rfk,rfk,43,39,4
7,awsboxen,91000214be7c6ba2fcec97173d4f8f924419aaf5,Make mergeConfig delete keys if incoming value is null,Ryan Kelly,2013-04-10T05:51:55Z,rfk,rfk,14,13,1
8,awsboxen,0f19eb6f9ba3eb9795783d6c41d43a17513b7244,"Add loadRootConfig function, for reading .awsboxen file/dir",Ryan Kelly,2013-04-10T05:43:34Z,rfk,rfk,105,76,29
9,awsboxen,02ab1dffcf7598836c79e3be4ab81093b91f95f5,Implement basic config file loading and merging.,Ryan Kelly,2013-04-10T05:20:58Z,rfk,rfk,140,113,27
10,awsboxen,144b8e7303dc0f7deeaf4ebbd0fbaa7e16e91d88,Add automated jshint tests (and some unfinished code),Ryan Kelly,2013-04-10T04:40:59Z,rfk,rfk,306,289,17
11,awsboxen,81b35c03c54d8c995aded2d3a38e720f779d4a2c,Fix package.json syntax.,Ryan Kelly,2013-04-10T03:36:21Z,rfk,rfk,6,3,3
12,awsboxen,b0dda3401bea46d4e07f270bc3d139fe3b748c78,"Initial commit.  No working code, mostly just a README.",Ryan Kelly,2013-04-10T02:03:55Z,rfk,rfk,315,315,0
