,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,b2gperf,c57f53b1b3ee7cffb10bb53b256dc61beddb89d8,Support B2G desktop client (Firefox OS simulator) builds,Dave Hunt,2013-02-25T16:06:13Z,davehunt,davehunt,80,43,37
1,b2gperf,3cdd74af343edd9bd6f27b6bf8538e2cded8b959,Merge branch 'master' of github.com:davehunt/b2gperf,Dave Hunt,2013-02-25T16:00:14Z,davehunt,davehunt,196,130,66
2,b2gperf,b8d1125865ea163ef0f3592f6dffdaaa5d87411d,Removed profile population scripts in favour of using b2gpopulate,Dave Hunt,2013-02-25T15:55:09Z,davehunt,davehunt,71,0,71
3,b2gperf,ad247ebc5243c182a96550a338f63eac78f6cfd8,Tweak mozperf structure,Jonathan Griffin,2013-02-22T19:28:07Z,jonallengriffin,jonallengriffin,11,7,4
4,b2gperf,d73135ef0c0ba27d9e04d058031d13a4c0b75c28,"Merge pull request #1 from jonallengriffin/mozperf

Add script to process mozPerfDuration results",Jonathan Griffin,2013-02-22T18:52:07Z,jonallengriffin,jonallengriffin,193,127,66
5,b2gperf,d8a7cb4342dd3f33e47c31f0c21826f702f09cd1,Bumped version number to 0.1.3,Dave Hunt,2013-02-22T10:57:42Z,davehunt,davehunt,2,1,1
6,b2gperf,fc107e501dbba6edf7bff4db286928743b20c8c9,Fixed dependancy for gaiatest,Dave Hunt,2013-02-22T10:57:09Z,davehunt,davehunt,2,1,1
7,b2gperf,7ddfbff4b5339acd2bfd98f7e1714ee64a5d824f,Fixed packaging issues,Dave Hunt,2013-02-22T10:56:50Z,davehunt,davehunt,6,3,3
8,b2gperf,47bfea82beb6b5b21bbf81dbc3f7cc20e1c4be9f,Add script to process mozPerfDuration results,Jonathan Griffin,2013-02-20T23:03:47Z,jonallengriffin,jonallengriffin,193,127,66
9,b2gperf,417276f19b91d96dbb32c1cc3b84264b92a23325,Bump version number to 0.1.2,Dave Hunt,2013-02-20T19:08:30Z,davehunt,davehunt,2,1,1
10,b2gperf,7b58f36cd77144c811daec678f61651310a35b9b,Fixing a couple of issues with the b2g restart,Dave Hunt,2013-02-20T19:07:55Z,davehunt,davehunt,7,5,2
11,b2gperf,f1cf977b7de5fc91cf1d0f53c8fcca8322835336,Bump version number to 0.1.1,Dave Hunt,2013-02-20T18:39:37Z,davehunt,davehunt,2,1,1
12,b2gperf,dad59449d7b4b5dd82d07dbae09ac6c48a55ec19,Require gaiatest 0.7,Dave Hunt,2013-02-20T18:39:15Z,davehunt,davehunt,2,1,1
13,b2gperf,99df8b17ce74fcf28ff0be9ce9d112aa2964ff43,Add URL to setup.py,Dave Hunt,2013-02-20T18:38:41Z,davehunt,davehunt,1,1,0
14,b2gperf,d63058f4cf84f590a3d2d92ede7dadc9145b8a2a,Added README,Dave Hunt,2013-02-20T18:28:20Z,davehunt,davehunt,36,36,0
