,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,basket-lib,3978af377f5c132e30469cfc1af0e78fce356244,Upgrade Django to 1.7.11,Paul McLanahan,2015-12-03T21:51:42Z,pmac,pmac,2,1,1
1,basket-lib,5fe2f35b26186713145657ab6cb3ab6256838b3c,"Merge pull request #22 from glogiotatidis/fxa

[bug 1179878] Parse user agents.",Paul McLanahan,2015-09-11T14:29:56Z,pmac,pmac,12171,12171,0
2,basket-lib,c26a76cc0d5116ac7dc777ad83439f5b786da7d9,"Install modified user-agents.

See also:
https://github.com/glogiotatidis/python-user-agents/commit/4d6a47d52508cf0856ef054408ef08ced37d01e9
https://github.com/glogiotatidis/python-user-agents/commit/a10aa4a26215ffc915af322d8ca9783281f9e9ed
https://github.com/selwin/python-user-agents/pull/38",Giorgos Logiotatidis,2015-09-11T14:12:29Z,glogiotatidis,glogiotatidis,717,717,0
3,basket-lib,5f0f4020569fa075b73d88fe3b55a4dc78d55eda,"Update ua_parser regexes.

See also
https://github.com/glogiotatidis/uap-core/commit/ac287b4c657ce968880ad9e78bb8202e0bdac11d
https://github.com/glogiotatidis/uap-core/commit/4fbb972ef053b9b03f1132b04bacc8a28e863936
https://github.com/ua-parser/uap-core/pull/76",Giorgos Logiotatidis,2015-09-11T14:09:08Z,glogiotatidis,glogiotatidis,40,38,2
4,basket-lib,8f2c9fe6deab3b0124c157377245a33a30843c8c,Install ua_parser,Giorgos Logiotatidis,2015-09-11T14:08:12Z,glogiotatidis,glogiotatidis,11418,11418,0
5,basket-lib,c1cc32f811a87cc23695cd1ae3966e6a0b6e800a,Hack fix for old celery with Django 1.7.,Paul McLanahan,2015-07-23T21:08:03Z,pmac,pmac,1,1,0
6,basket-lib,75a0fcfa4d3bf26f6943718ced01e26832127e42,Upgrade Django to 1.7.9,Paul McLanahan,2015-07-10T21:19:00Z,pmac,pmac,2,1,1
7,basket-lib,53a8b94a2f71947e30534d15feb5194eb2818396,Upgrade Django to 1.7.8.,Paul McLanahan,2015-07-01T16:54:37Z,pmac,pmac,2,1,1
8,basket-lib,de8f7f209bb6f4867e4dc65a51bb660f601874bb,Upgrade django-jsonfield for Django 1.7 upgrade.,Paul McLanahan,2015-07-01T16:54:21Z,pmac,pmac,432,346,86
9,basket-lib,3741aee06589984ce435dd46cef1e1e1111b3497,Remove South for Django 1.7 upgrade.,Paul McLanahan,2015-07-01T16:53:24Z,pmac,pmac,11105,0,11105
10,basket-lib,9e90147ddf65b19dc19f85e7bf8cfd7d5defb907,Django 1.6.11,Paul McLanahan,2015-03-31T02:01:27Z,pmac,pmac,2,1,1
11,basket-lib,33bd1a8c355f970b24d9710e5bbaf09a10f79ec1,Update django-ratelimit with fixes for callable key.,Paul McLanahan,2015-03-18T03:08:59Z,pmac,pmac,2,1,1
12,basket-lib,1a91ecb3f65325be9944d3cb827db9f1b7b7cac9,Add django-ratelimit.,Paul McLanahan,2015-03-17T18:12:31Z,pmac,pmac,5,5,0
13,basket-lib,dc9960709562fc81ae46b44b1be9637276826012,"Merge pull request #20 from pmclanahan/upgrade-django-1.6.10-1119313

Bug 1119313: Upgrade Django to 1.6.10.",Paul McLanahan,2015-01-13T20:33:22Z,pmac,pmac,2,1,1
14,basket-lib,87488a10ac539c4517f3de8bc42784a751ddf9c4,Bug 1119313: Upgrade Django to 1.6.10.,Paul McLanahan,2015-01-13T20:32:19Z,pmac,pmac,2,1,1
15,basket-lib,e9389c571778594956bbafc3b3859dd652613df7,"Merge pull request #19 from pmclanahan/upgrade-django-1.6

Upgrade Django to 1.6.9.",Paul McLanahan,2015-01-09T17:08:00Z,pmac,pmac,2,1,1
