,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,bespinserver,d2c122ad3b327f13fc7589b86c25338b92426e28,"verify that you can still put the metadata in a variable, if you wish",Kevin Dangoor,2009-12-17T17:50:49Z,bespin,bespin,9,8,1
1,bespinserver,532e6cb6a4bba607eb2ee796b4da165f034b5838,add more tests to verify the behavior of the metadata parser,Kevin Dangoor,2009-12-17T17:44:48Z,bespin,bespin,19,17,2
2,bespinserver,6adc3f64d4d8628edd6a45cf541204daf74d2b8a,new metadata format,Kevin Dangoor,2009-12-17T17:13:51Z,bespin,bespin,90,70,20
3,bespinserver,93c85f02d44121d393f6797028d12e96a28086fb,single file plugins should not register any stylesheets,Kevin Dangoor,2009-12-09T19:39:35Z,bespin,bespin,12,9,3
4,bespinserver,6b29fbaac6d7bc5e2b91bc4b75e0017ed90c24e9,CSS is now registered with Tiki,Kevin Dangoor,2009-12-09T19:28:54Z,bespin,bespin,90,76,14
5,bespinserver,613f55e4af6689645288e7a62635b41dc631c728,"a simplification. work under the assumption that you're only changing
a single plugin, so that's the only bit that needs refreshed metadata",Kevin Dangoor,2009-12-07T03:22:29Z,bespin,bespin,49,4,45
6,bespinserver,6578535a6f2ff67fc8a9a3a03dc00440b1649aea,can now generate metadata required to reload a plugin,Kevin Dangoor,2009-12-07T03:17:39Z,bespin,bespin,80,73,7
7,bespinserver,c5ece8920d29fe3d65608b7309f84fc516d1793a,"better use of plugin path by maintaining plugin locations. This makes it so
that the server doesn't need to hunt through the whole path for each file.",Kevin Dangoor,2009-12-02T15:08:19Z,bespin,bespin,136,93,43
8,bespinserver,bfc066c6e34f6e90b9d9626977478638b7c7d65f,"rename package->index, which is the new name for the top of a package",Kevin Dangoor,2009-12-02T18:50:09Z,bespin,bespin,4,2,2
9,bespinserver,e489803ce9dfa911c019cfbc9f878a9a38f2ac6b,Added tag 0.5.1 for changeset 984a7bbb7533,Kevin Dangoor,2009-12-02T18:45:35Z,bespin,bespin,1,1,0
10,bespinserver,d7c5256bd30f376130f037df5a6ca15fce81d9d4,"fix the pavement so that database creation does all of the required steps
and is run separately from the initial install (which fails because the
required libraries are not available...)",Kevin Dangoor,2009-12-02T15:18:18Z,bespin,bespin,36,32,4
11,bespinserver,8f1852391ff44fd5e11207937179d1d81fac8bd9,use info() rather than print (because it's squelchable),Kevin Dangoor,2009-12-02T03:48:05Z,bespin,bespin,2,1,1
12,bespinserver,86c94eb08b4916c58864089983c4e1ef9ef6b176,"Populate devdata.db with the initial schema in development mode, not just in production mode",Patrick Walton,2009-11-30T23:05:38Z,Patrick Walton,Patrick Walton,16,13,3
13,bespinserver,6286f1598376b053660eb5df394ab534f8a08c21,"get auth cookie working properly in development with the new server
setup

make script lookup work for user-installed plugins",Kevin Dangoor,2009-11-26T04:37:25Z,bespin,bespin,29,23,6
14,bespinserver,5c51e27d6faa2606c8b4aca82967aee23e712655,simplified calling to the plugin catalog,Kevin Dangoor,2009-11-26T04:04:53Z,bespin,bespin,2,1,1
15,bespinserver,83288366e90eedd47452f422ee266163e569938c,plugins can be registered in the user's editable space,Kevin Dangoor,2009-11-25T20:59:36Z,bespin,bespin,35,33,2
16,bespinserver,ee1dc21b8ff54bed4fce191c367e8995a6a372e6,add support for user plugins in BespinSettings/plugins/,Kevin Dangoor,2009-11-25T20:41:18Z,bespin,bespin,53,48,5
17,bespinserver,788e2ee8a250250bc6d6dce33aaed6237cf9098a,single file plugins are actually masquerading as packages.,Kevin Dangoor,2009-11-25T16:11:20Z,bespin,bespin,8,7,1
18,bespinserver,424cdd1a764b872d0c173d202000e6b1c5784b9c,need to store the metadata in a variable for this to be legal JS,Kevin Dangoor,2009-11-25T16:04:23Z,bespin,bespin,8,7,1
19,bespinserver,4b4b5741f28a0b0f86d926dfbd24178eb04ed78e,improve the error message for missing metadata in a single file plugin,Kevin Dangoor,2009-11-25T15:50:27Z,bespin,bespin,6,6,0
20,bespinserver,1f8a01f00960027f8881e588af8c81397383401c,support for single file plugins,Kevin Dangoor,2009-11-25T15:47:47Z,bespin,bespin,96,81,15
21,bespinserver,9e99fed3b123e453a372b278a809370738f04bbd,refactoring for the next round of plugin handling,Kevin Dangoor,2009-11-25T14:41:37Z,bespin,bespin,97,49,48
22,bespinserver,46e99fb77f31e7bd1694abc8dc786003bc04a8fa,pass plugin metadata back to the client,Kevin Dangoor,2009-11-20T03:59:50Z,bespin,bespin,3,3,0
23,bespinserver,e3245bfc9f1c2a1163451103435d290ff9a043e3,"controller side is now fleshed out for presenting tiki with the
default plugin set",Kevin Dangoor,2009-11-19T03:42:46Z,bespin,bespin,110,99,11
24,bespinserver,629a48d396fd9352bd5793e6b9a95d53e5b976a7,container object for plugin metadata,Kevin Dangoor,2009-11-19T02:34:44Z,bespin,bespin,169,169,0
25,bespinserver,81c17fcf923fd5886cf5bccc7f0f62a9c52fbe97,"changing ignores, based on what's actually needed now as well",Kevin Dangoor,2009-11-18T20:50:56Z,bespin,bespin,9,5,4
26,bespinserver,ea5f08fd010b010205965d8cca859561acec84ac,"fix tests based on current repository layout/feature set (actually just
deleting two no-longer-relevant tests)",Kevin Dangoor,2009-11-18T20:48:16Z,bespin,bespin,22,0,22
27,bespinserver,8943d8b9961b6dec667a274ef2b48eef32510974,"revert 0e91d59724ac, because it's not required with a little bit of
configuration magic in SC.",Kevin Dangoor,2009-11-17T15:51:58Z,bespin,bespin,4,0,4
28,bespinserver,131aa960c90fae401bda7113f40cba5726a563b4,"set up pathpopper middleware, which is useful for running behind the
SproutCore server",Kevin Dangoor,2009-11-17T03:25:45Z,bespin,bespin,4,4,0
29,bespinserver,1b9f0a08811fb43adb9662ffe183da11a7bf62f0,narwhal moves into the bespinclient directory,Kevin Dangoor,2009-10-14T17:32:39Z,bespin,bespin,27,0,27
30,bespinserver,e469a502a07fc4c61668dbec17012e28f669c3b9,switching over to the main Narwhal repository,Kevin Dangoor,2009-10-13T19:54:43Z,bespin,bespin,5,2,3
31,bespinserver,7822ba8a3e53034c7f507ef987891233a2249bdc,start jack as part of paver start,Kevin Dangoor,2009-09-29T17:04:20Z,bespin,bespin,3,3,0
32,bespinserver,8a0ccb7dbac742a2c8a9f222285d7f348b3971c1,fix the server URL,Kevin Dangoor,2009-09-28T23:36:43Z,bespin,bespin,2,1,1
