,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,blurts-server,2900cc27c70b84b725ab07393ab3aec496b508a8,"Merge pull request #38 from mozilla/hibp-fetch-hashsets

Start get_hashsets.js",Nihanth Subramanya,2018-02-13T12:04:49Z,nhnt11,nhnt11,600,481,119
1,blurts-server,583ee126933d567df78cb3c0cd7b6ab0e770afa6,"Enforce comma-dangle eslint rule correctly, fix indent in comment",Nihanth Subramanya,2018-02-13T12:02:51Z,nhnt11,nhnt11,18,9,9
2,blurts-server,fcf85adaaf47ad7d27764776b20c4554dd04b82a,start get_hashsets.js,groovecoder,2018-02-05T22:06:05Z,groovecoder,groovecoder,594,478,116
3,blurts-server,59508064022de319877d385a611be266f65b9bb4,"Merge pull request #39 from mozilla/add-travis-ci-24

 fix #24: add Travis and Coveralls",Nihanth Subramanya,2018-02-12T07:02:21Z,nhnt11,nhnt11,2460,2374,86
4,blurts-server,5e008cdd8d6366b4cfaae28b35b004267f26acf0,fix #24: add Travis and Coveralls,groovecoder,2018-02-09T02:32:39Z,groovecoder,groovecoder,2460,2374,86
5,blurts-server,c9f322618548c4970d42d2b455874ffe28ab74e8,"Merge pull request #44 from pdehaan/mo-eslint

Add more ESLint rules",Nihanth Subramanya,2018-02-09T08:19:23Z,nhnt11,nhnt11,45,42,3
6,blurts-server,36b4597345262f334a6a32c6289f3a9dd8187dc0,Add more ESLint rules,Peter deHaan,2018-02-09T08:15:01Z,pdehaan,pdehaan,45,42,3
7,blurts-server,c94d8403a234c3714d46c826fd1b02304ce3e31b,"Merge pull request #8 from pdehaan/yo-eslint

Lint the code using ESLint",Nihanth Subramanya,2018-02-08T19:28:42Z,nhnt11,nhnt11,1262,1180,82
8,blurts-server,4bf92baea52d4884e1063e3a23e83c45bdb79c7e,Whitelist processs.env usage in email-utils and routes/user,Peter deHaan,2018-02-08T17:49:05Z,pdehaan,pdehaan,3,3,0
9,blurts-server,1e819db7965b7dc79192a74bae45dce9bdbf81be,Disable ESLint prefer-const rule and add no-process-env rule,Peter deHaan,2018-02-08T16:22:05Z,pdehaan,pdehaan,5,4,1
10,blurts-server,f3e08a60c5e2f39dbc38c2eb5dc045872acc365b,Downgrade prefer-const to a warning and convert for loops to use let,Peter deHaan,2018-02-08T01:16:59Z,pdehaan,pdehaan,6,3,3
11,blurts-server,4dd7504ca4e914152237382b236a1267f96f1fd8,Update README,Peter deHaan,2018-02-08T00:14:28Z,pdehaan,pdehaan,49,34,15
12,blurts-server,b04cf5bd8313ac477e59c83ee70b1be633a59279,Rebasing and Relinting,Peter deHaan,2018-02-07T23:29:41Z,pdehaan,pdehaan,1211,1142,69
13,blurts-server,eb90d100bf384e533d5446af41d30a2a1839dbbd,"Merge pull request #29 from mozilla/routes

Modularize code.",Nihanth Subramanya,2018-02-07T22:35:52Z,nhnt11,nhnt11,519,306,213
14,blurts-server,8ea3fa772758c7ea00703410577ac6677609c218,Remove /test endpoint,Nihanth Subramanya,2018-02-07T22:29:02Z,nhnt11,nhnt11,6,0,6
15,blurts-server,462dbb47dbc98ce492307170d3239ee517d84b1c,Put /user/list behind a debug flag.,Nihanth Subramanya,2018-02-07T22:16:41Z,nhnt11,nhnt11,10,6,4
16,blurts-server,5b78112be4248f7bd059fb8a42d50d7fbf982f0d,Modularize code.,Nihanth Subramanya,2018-02-07T19:16:39Z,nhnt11,nhnt11,513,305,208
17,blurts-server,a0344e18b4f71f6dc0e50e00937ab41a3453fa20,"Merge pull request #25 from mozilla/update-README-17

WIP: Update readme 17",Nihanth Subramanya,2018-02-06T18:43:16Z,nhnt11,nhnt11,129,71,58
18,blurts-server,ffadbaa08d1ec92639d756aa23ef2df5d90c45fa,for #17: more REDME updates,groovecoder,2018-02-05T19:47:41Z,groovecoder,groovecoder,28,13,15
19,blurts-server,af7aa093fe3e2fb67fada2ccff03f8009373bcce,README update (and some matching code),groovecoder,2018-02-01T17:06:35Z,groovecoder,groovecoder,129,72,57
20,blurts-server,9a5a731e75651d2c261943074283465f396b24f7,"Merge pull request #26 from pdehaan/moz-repo

Update repo references to mozilla/blurts-server",Nihanth Subramanya,2018-02-02T02:15:18Z,nhnt11,nhnt11,9,5,4
21,blurts-server,361671f4416edbb37cd2b81af995ca04d973def7,"Merge pull request #13 from mozilla/initial-wip

Initial wip",Nihanth Subramanya,2018-02-02T02:14:38Z,nhnt11,nhnt11,428,381,47
22,blurts-server,1f71307c98057a36249177435cf0616ec437a9b0,Catch getToken errors in the right place,Nihanth Subramanya,2018-02-02T02:13:43Z,nhnt11,nhnt11,6,3,3
23,blurts-server,829f097dff82218d6221bd51c67f1ee85402386f,Update repo references to mozilla/blurts-server,Peter deHaan,2018-02-01T20:50:21Z,pdehaan,pdehaan,9,5,4
24,blurts-server,d276a41ffc0e1283e1cb3f387598906ea6107c90,Fix typo in comment,Nihanth Subramanya,2018-02-01T02:21:23Z,nhnt11,nhnt11,2,1,1
25,blurts-server,7bc3956e5abf85b289db8c063090adfd01b24ed7,Use dotenv to load environment variables from .env file,Nihanth Subramanya,2018-02-01T01:53:19Z,nhnt11,nhnt11,10,8,2
26,blurts-server,2dacd5b361cc72bdfce00e950f4b0b0691ab1561,Fix typo to ensure session cookie active duration is 5 minutes and not 30 seconds.,Nihanth Subramanya,2018-02-01T01:40:02Z,nhnt11,nhnt11,2,1,1
27,blurts-server,8f4d424e875e4531a52d6af0ab0d0bdbe7b420b1,Add comments to server.js,Nihanth Subramanya,2018-02-01T01:34:34Z,nhnt11,nhnt11,40,35,5
28,blurts-server,3d1ba22707db2fcb5f31cdc2c143cb137f40fc40,Add basic info to api.md,Nihanth Subramanya,2018-02-01T01:26:04Z,nhnt11,nhnt11,12,12,0
29,blurts-server,29c9dd115aa8198b08d553cd12d338a38982e24b,"Add api.md, empty for now",Nihanth Subramanya,2018-02-01T00:58:41Z,nhnt11,nhnt11,0,0,0
30,blurts-server,8a87f2e3ffb9a08d8218be05185fb9af999e4e97,Replace defaultRequest function with inline popsicle.get(),Nihanth Subramanya,2018-02-01T00:29:40Z,nhnt11,nhnt11,23,7,16
31,blurts-server,491aa9c603d6060317c2e9d16d5ac43e4d139679,Use environment variables for OAuth URIs,Nihanth Subramanya,2018-01-31T23:04:05Z,nhnt11,nhnt11,15,6,9
32,blurts-server,b445d8c3697bdcc0c9ead1f080a6804a16ebffca,Add .env-dist file with preset environment variables for local development,Nihanth Subramanya,2018-01-31T22:59:13Z,nhnt11,nhnt11,5,5,0
33,blurts-server,f4f79d232fb23831d474036bf007373503b7d3a4,Add popsicle as dependency in package.json,Nihanth Subramanya,2018-01-31T22:53:01Z,nhnt11,nhnt11,3,2,1
