,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,browserid-ios,9050b3e4a0334ccb63bce520193bc56137e1be0c,"Merge pull request #4 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Ryan Kelly,2019-03-28T19:51:39Z,rfk,rfk,15,15,0
1,browserid-ios,f190341e96cc039df554a1dd6e5b2bbc287f0919,"Add Mozilla Code of Conduct file

Fixes #3.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-28T04:03:31Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,browserid-ios,664ac344ebfd10bbe0c6d1fe6926b897db67158e,Point people to the persona-ios repo instead,Dan Callahan,2013-04-22T19:42:16Z,callahad,callahad,8,8,0
3,browserid-ios,c41c37e2047edc14d3d6b81ca2c163ed93608753,"Merge pull request #1 from couchbaselabs/master

Fixes & improvements",Stefan Arentz,2013-01-07T01:51:08Z,st3fan,st3fan,195,130,65
4,browserid-ios,a5dc772d2abcb705b9db915a0b5e903d2f874aa9,"Oops, converted tabs to spaces",Jens Alfke,2013-01-07T01:19:54Z,snej,snej,270,135,135
5,browserid-ios,a2a8270606358e9425d2aad1881ec093af5bb6c5,Code cleanup and header-doc comments.,Jens Alfke,2013-01-07T00:09:42Z,snej,snej,217,130,87
6,browserid-ios,83cc9e83b0d8970fea175d8dc488ea7b673c3361,"Make user's email address available to caller

Extract email address from assertion,
and store it in controller's .emailAddress property.",Jens Alfke,2013-01-06T23:56:28Z,snej,snej,49,36,13
7,browserid-ios,cdd6fdb0ceac2b352ca56312726a11ea55c2091a,"Make it work again with the current version of BrowserID

On advice of Sean McArthur:
* Changed WebView's URL.
* Changed API function called when the page loads.",Jens Alfke,2013-01-06T23:50:17Z,snej,snej,19,9,10
8,browserid-ios,27359b270edf5fe9a4b338abc7977100c93b2bc2,Updated README.md to include a message about code maturity.,Stefan Arentz,2012-07-23T13:42:01Z,st3fan,st3fan,3,3,0
9,browserid-ios,bf7c82050f3439abb6994986fa330092cb75e7d6,Update README.md,Stefan Arentz,2012-05-04T15:38:05Z,st3fan,st3fan,73,73,0
10,browserid-ios,09c176c7b05313fd3620475a92c556d1a23262a2,README updates,Stefan Arentz,2012-05-04T15:09:24Z,st3fan,st3fan,98,98,0
11,browserid-ios,52cb5252f9318c84926f4f21c3f87aa5e4340548,Initial import,Stefan Arentz,2012-05-04T14:47:20Z,st3fan,st3fan,405,405,0
