,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,bugbug,7ccd83f59c9de0e4ac1322ee0ccab401fa2b515f,Add option to get labels for bug-vs-nobug or regression-vs-noregression,Marco Castelluccio,2018-11-21T23:27:08Z,marco-c,marco-c,42,25,17
1,bugbug,30ee98533bbb137d9fa15bf2f492010a90146e73,Add a module to perform classification,Marco Castelluccio,2018-11-21T00:06:30Z,marco-c,marco-c,273,157,116
2,bugbug,dc267ffb3d175a68821035e9c988a785301b4cc3,Update setup steps,Marco Castelluccio,2018-11-20T16:24:02Z,marco-c,marco-c,5,1,4
3,bugbug,5984009b3129cb562186b7c9f1eff2a630b9ce9d,Remove outdated script to apply handwritten rules,Marco Castelluccio,2018-11-20T15:48:40Z,marco-c,marco-c,39,0,39
4,bugbug,1f5fa669575ddcd3fd0c1d8ead8471fb71c17459,Add script to run the training,Marco Castelluccio,2018-11-20T15:46:25Z,marco-c,marco-c,16,16,0
5,bugbug,5864142b71497475467bd7474be82ad8f2508f6f,Add option to store trained model,Marco Castelluccio,2018-11-20T15:45:58Z,marco-c,marco-c,13,4,9
6,bugbug,cdf84f685b3964fd26bd6c8a3f486ea7e0a0e672,Move run.py to a 'train' module in bugbug,Marco Castelluccio,2018-11-20T15:45:00Z,marco-c,marco-c,0,0,0
7,bugbug,cb9250a3f179fc15fb624368c76297ddd0f702bf,"Update dependencies (#2)

* Update libmozdata from 0.1.40 to 0.1.43

* Update xgboost from 0.80 to 0.81

* Update imbalanced-learn from 0.3.3 to 0.4.3

* Update spacy from 2.0.12 to 2.0.16

* Update flake8 from 3.5.0 to 3.6.0

* Update flake8-coding from 1.3.0 to 1.3.1

* Update flake8-copyright from 0.2.0 to 0.2.2",pyup.io bot,2018-11-20T15:19:10Z,pyup-bot,pyup-bot,14,7,7
8,bugbug,4d43dae4f2d27add34528bb87b39d497976f0ef2,Update numpy to 1.15.4 and scikit-learn to 0.20.0,Marco Castelluccio,2018-11-20T14:24:10Z,marco-c,marco-c,4,2,2
9,bugbug,7250b1d8ed26059053a5ae6aabe8306bd5814dbe,Automatically download databases when they don't exist,Marco Castelluccio,2018-11-20T12:29:34Z,marco-c,marco-c,30,24,6
10,bugbug,bcbe3aa417030d44d8abc555f929f975b0a7db2e,Add __init__.py in bugbug directory,Marco Castelluccio,2018-11-20T11:00:41Z,marco-c,marco-c,1,1,0
11,bugbug,d2646911d019f07e618df1fb5fb0aaf4c46faf9f,Force attrs 18.2.0 as pytest fails otherwise,Marco Castelluccio,2018-11-20T10:38:18Z,marco-c,marco-c,1,1,0
12,bugbug,944846054801f5e099f8c80c7786d6cfc72bbe50,Create 'data' directory before downloading databases,Marco Castelluccio,2018-11-20T10:29:51Z,marco-c,marco-c,6,4,2
13,bugbug,85912d8c95df7a9498a86ee1a4b02b08d6272c97,Add tests for the 'labels' module,Marco Castelluccio,2018-11-20T10:18:22Z,marco-c,marco-c,28,28,0
14,bugbug,5cbd9d08468bb060818e5e734c437d85f0b107ca,Add scipy to requirements.txt,Marco Castelluccio,2018-11-20T10:32:23Z,marco-c,marco-c,3,2,1
15,bugbug,f4a2fe9e54ef397380853edfce28a1902855bdcb,Automatically extract compressed databases,Marco Castelluccio,2018-11-20T10:03:40Z,marco-c,marco-c,15,13,2
16,bugbug,b80123cbb8fe107aa7463be03890e67a2eb19517,"Remove data files from the repo and host them on another service


Former-commit-id: db43a17445659d664fc41c014e9fe2d61c98b4ba",Marco Castelluccio,2018-11-20T09:36:04Z,marco-c,marco-c,8,4,4
17,bugbug,8de0dc56d550d4f601d51a7a68c401775c9c55db,"Move package creation and installation test to the end


Former-commit-id: 8fa8998f570b4a35566d529c328fb0f2999047ff",Marco Castelluccio,2018-11-20T00:56:00Z,marco-c,marco-c,4,2,2
18,bugbug,a971892f503578e70999d7af08ddfadc6d66f2a3,"Actually respect the 'augmentation' parameter


Former-commit-id: b990893f4729f139bcc1aed75f70ba2468c0845f",Marco Castelluccio,2018-11-20T00:44:30Z,marco-c,marco-c,29,15,14
19,bugbug,64d5a0c5ecb2010e540ed81f3cbcdba737425c59,"Rename get_labels to get_bugbug_labels since labels can now include multiple kinds of labels


Former-commit-id: db485d1d25c50438d47932e25d94baeb1e90323b",Marco Castelluccio,2018-11-19T23:14:37Z,marco-c,marco-c,10,5,5
20,bugbug,5974f3f8f30237a46ec4a95783c1de05ca87a7de,"Move labels into a subdirectory


Former-commit-id: cfb0bbe417113fcca05afed45322702c182f1d35",Marco Castelluccio,2018-11-19T23:10:56Z,marco-c,marco-c,4,2,2
21,bugbug,00b53f350cfe3b4ccaf1f8b3e2e465efb9939d8a,"Add setup.py and test building bugbug package (#1)



Former-commit-id: 0bea3bc5f1a3dff3dd3813f9ed7de6958ca99f7f",Marco,2018-11-19T21:53:17Z,marco-c,marco-c,42,42,0
22,bugbug,8961da1d9fb6d6d5b4c01c6ffa8c7e4c9d503d63,"Fix imbalanced-learn requirement


Former-commit-id: 178f85712b0b319958953cf247ddc015d8133a77",Marco Castelluccio,2018-11-19T21:31:01Z,marco-c,marco-c,2,1,1
23,bugbug,13eed862f6a01ec14ddff92d408e8bf13e74eeea,"Move Python modules to a 'bugbug' subdirectory


Former-commit-id: d1db546fb060ed016615f00f21922ef8028a7385",Marco Castelluccio,2018-11-19T21:02:31Z,marco-c,marco-c,26,13,13
24,bugbug,e25e83ec1350c9b4845f9353b0dfef24ad837a67,"Add function to get labels for tracked/non-tracked bugs


Former-commit-id: 4c2747b56c9ba666188b0ff5cbfca87eb051c7ae",Marco Castelluccio,2018-11-16T16:58:54Z,marco-c,marco-c,20,20,0
25,bugbug,9d451b4502284801c203c6872f42ca054967a82d,"Updated commits data


Former-commit-id: faabd813476b96543eddd4130ffc2c640f52b3bb",Marco Castelluccio,2018-11-16T16:58:30Z,marco-c,marco-c,0,0,0
26,bugbug,bcc33779b91da61e42a0f65c10bff8b5ead5efde,"Add commit data to bugs, but don't use it yet (doesn't improve results)


Former-commit-id: 554ae35320efae9cea2410a99055e7a2c86dc066",Marco Castelluccio,2018-11-12T16:55:41Z,marco-c,marco-c,21,21,0
27,bugbug,d72d47e60429d2169ed7b338310dc2e0769eceb3,"Store commits in order from oldest to newest


Former-commit-id: 5341c28c61f96d4f6501d13224a0b05b2147202c",Marco Castelluccio,2018-11-12T16:55:08Z,marco-c,marco-c,2,1,1
28,bugbug,0bb6403ee6948b3a7a7113d08353386e54c77e9c,"Only store information we are using


Former-commit-id: 0606d9371c6a6d871bcfbc820b3fa57058db06bb",Marco Castelluccio,2018-11-12T16:54:43Z,marco-c,marco-c,12,6,6
29,bugbug,7d7af120dc1599af515bf1791b715390b341a1c6,"Parse bug ID from the commit message and store it with the commit data


Former-commit-id: fcbb5dd362d54a06429a65494d802fbeeb6cee0e",Marco Castelluccio,2018-11-12T16:54:14Z,marco-c,marco-c,13,12,1
30,bugbug,2c3bc74546854b6f7bf71fc083e95405e0110100,"Update requests requirement to 2.20.1


Former-commit-id: 703471476de32701d5319c47b05e70d179ff988d",Marco Castelluccio,2018-11-12T11:57:48Z,marco-c,marco-c,2,1,1
31,bugbug,cec52f4b32484b507db2d90fd8d2f865bd623b09,"Add more labelled bugs


Former-commit-id: ef6b2edd34a860378d87f0e7f97ab6a6c507b68d",Marco Castelluccio,2018-11-12T11:57:34Z,marco-c,marco-c,161,159,2
32,bugbug,a0fb4753ab475944f6d16dc54f7a31a3e11881e1,"Ignore extracted bugs.json and commits.json files


Former-commit-id: e546c6e13ea7dd093d9442919c0f6a580996d87d",Marco Castelluccio,2018-11-12T11:56:09Z,marco-c,marco-c,3,3,0
33,bugbug,7401f84714bef200c26352b93282b28c0ace9eec,"Store commit data in the repo


Former-commit-id: 74758f0ca113e4cfe1e10ab28d8a9a1e8bcbc236",Marco Castelluccio,2018-11-12T11:55:43Z,marco-c,marco-c,0,0,0
34,bugbug,1c5d89bc802924b2737b4282f6349d61f84b3556,"Add script to retrieve data from a Mercurial repository


Former-commit-id: 121b42a9a35e62589e86917778a0f7347c04aaae",Marco Castelluccio,2018-11-12T11:55:27Z,marco-c,marco-c,48,48,0
35,bugbug,f741d77717244720bb73bac8ac86d7c8e8013608,"Refactor get_bugs code into multiple modules


Former-commit-id: 466aa8446b2f5bbbdbfb437d95a00f33f7defb43",Marco Castelluccio,2018-10-11T22:46:14Z,marco-c,marco-c,168,90,78
36,bugbug,bfec0f94c6e3d1a47a813de6dac60145536664ab,"Add another TODO


Former-commit-id: 335cd747a82d72e88ab2954bb015826e39492f09",Marco Castelluccio,2018-10-11T20:43:21Z,marco-c,marco-c,2,1,1
37,bugbug,69ac23fe504ff69e873997042c0a0824ceabd165,"Read bugs iteratively


Former-commit-id: 581f1bc8b3c09c4f55b544f92786be5a127e882a",Marco Castelluccio,2018-10-11T20:42:34Z,marco-c,marco-c,41,24,17
38,bugbug,34682521a0fc5e81a32e631663803700e208b57a,"Update accuracy numbers


Former-commit-id: b21257ad66d3a80ed7e925817a480fe41f652fa8",Marco Castelluccio,2018-10-11T18:21:57Z,marco-c,marco-c,2,1,1
39,bugbug,84a2b08381be1ae7689476a5fa31474fd3123f29,"No need to retrieve both keys and values to generate y


Former-commit-id: 3a203738723748e695a3800b9d42227a6cb22230",Marco Castelluccio,2018-10-11T18:13:21Z,marco-c,marco-c,2,1,1
40,bugbug,887514cafaac3647ca05c7372c6e5a9b6cbc6db7,"Perform augmentation directly when retrieving labels


Former-commit-id: 8d0d63403b2e4814d7d9b769e0b6167b4a92597f",Marco Castelluccio,2018-10-11T18:12:43Z,marco-c,marco-c,30,17,13
41,bugbug,8492939b0806c84174699b49e1d3a8e95b639477,"Skip labels for which we have no bug data directly in get_labels


Former-commit-id: c5075c7e8437babc20de4fa782bce7b10cdbaf0e",Marco Castelluccio,2018-10-11T18:04:26Z,marco-c,marco-c,17,9,8
42,bugbug,7462bbea6b6eb15fb0cd25905be6d36996646582,"Split downloading of bugs and retrieval of bugs for training


Former-commit-id: 67c300263fca8e46e9b71907cdd1704d3d9351a7",Marco Castelluccio,2018-10-11T17:40:53Z,marco-c,marco-c,28,18,10
43,bugbug,d733796ea796cf5bbeb7625205df572790462bf5,"Update number of bugs in the dataset


Former-commit-id: 5bb22f8fc91440c4bfa48231aad5ad5b2b4dbae1",Marco Castelluccio,2018-10-11T15:29:20Z,marco-c,marco-c,2,1,1
44,bugbug,a58d187d0d70a755b6568cfc2482f0cc94fcaff3,"Use higher compression ratio


Former-commit-id: 6a247f0ec6984f5c5829fb7e6cc7908d7ac1a813",Marco Castelluccio,2018-10-11T15:25:29Z,marco-c,marco-c,2,1,1
45,bugbug,b174cec6a46a4b51aa3acf6c503da16a903e6bef,"Don't use MongoDB


Former-commit-id: d25ee7891f738ff4f667c1499848cbbd0b887420",Marco Castelluccio,2018-10-11T13:43:44Z,marco-c,marco-c,42,27,15
46,bugbug,e11bac35b9f9810c0b194810710d9aff58b80bdb,"Add more labelled bugs


Former-commit-id: d63848e639c34fc953a12f3aafc10e497aa79d4d",Marco Castelluccio,2018-10-11T12:04:41Z,marco-c,marco-c,114,111,3
47,bugbug,31a487cb16d6783ea04cdb49bedf02149c623954,"Add doc2vec to the list of things to try


Former-commit-id: a1a99b8ea40b2711fb9f0b58a0428e1ea2b553c4",Marco Castelluccio,2018-10-01T00:41:34Z,marco-c,marco-c,2,1,1
48,bugbug,0ce2382213d994c25d1e40b4beaf812d3166eb80,"Add TODO about text cleanup


Former-commit-id: 58383767fcee01d2ab25fd9e50b5a15758dfdb2a",Marco Castelluccio,2018-10-01T00:40:58Z,marco-c,marco-c,2,2,0
49,bugbug,5f8d64aa7f77cf543abb66a23d72c32a3e8e1769,"Add optional lemmatization using spaCy


Former-commit-id: 5262e126635143a5532e72b46b17ae32e5f8463f",Marco Castelluccio,2018-10-01T00:39:37Z,marco-c,marco-c,34,29,5
50,bugbug,f50971f7f9184e12dcf92f0b1b81571b4655fec5,"Fix flake8 issues


Former-commit-id: 3eb73e094849ed3825e4ea3c9074eecddb4ec7dd",Marco Castelluccio,2018-09-30T23:22:59Z,marco-c,marco-c,3,2,1
51,bugbug,7dee06e72421b9b576ad8e1280ecdbf82f11f86a,"Refactor code in a function


Former-commit-id: bb7931dade27058886443bcf8a39ae1ebfe188e0",Marco Castelluccio,2018-09-30T23:19:59Z,marco-c,marco-c,204,104,100
52,bugbug,0301ca637604510d4c76340007cda52a28b062bd,"Add more labelled bugs


Former-commit-id: 535f4c66a12a8d2bdf2c0413b5ef64fbe3c8b957",Marco Castelluccio,2018-09-30T19:18:58Z,marco-c,marco-c,42,41,1
53,bugbug,191a25ec5da430c7aa4d6d02f8738b8911669350,"Add more labelled bugs


Former-commit-id: ca5db78213375cda218d40120ee0a2d89ada28fd",Marco Castelluccio,2018-09-26T15:01:27Z,marco-c,marco-c,45,45,0
54,bugbug,19f9a7f942cca6921c493e49be617b1919d16d2c,"Add more labelled bugs


Former-commit-id: d56b34face2fb8ccfe075de5ca4560bd909799ae",Marco Castelluccio,2018-09-24T23:01:32Z,marco-c,marco-c,2,2,0
55,bugbug,1364627cdc0fe48bff8786771171dd65c823e4c9,"Update README


Former-commit-id: bbd594e67b1b52e2e52452aa95e37dbdbae72406",Marco Castelluccio,2018-09-24T22:09:20Z,marco-c,marco-c,4,1,3
56,bugbug,186f91c31cae86a7073abaefd545f485c2a06cb7,"Add more labelled bugs


Former-commit-id: 1b312094c777abf143b92e113b85e1a6a2ce7ef3",Marco Castelluccio,2018-09-24T22:09:12Z,marco-c,marco-c,17,17,0
57,bugbug,2df82f0a1dc9c283495af1c24f5c98cb4a1380c4,"Set a fixed seed for the random under-sampler, so we get consistent results


Former-commit-id: da8d6fc7b5dafd305ba5404466e444cc7843fbe5",Marco Castelluccio,2018-09-24T22:08:49Z,marco-c,marco-c,2,1,1
58,bugbug,400b04858ad4bf5eebdaa196cb4c6451a52a2d0d,"Small cleanup by making get_labels directly return a dict


Former-commit-id: 1995e0ccb08c35dba139385b1ba8dacab4389e1e",Marco Castelluccio,2018-09-24T13:14:15Z,marco-c,marco-c,10,4,6
59,bugbug,540b7ebaa774c0ac450ea23880b4e34940ac8b4e,"Perform under-sampling of the majority class


Former-commit-id: 8d3c7c3ba42c273622272f6a0d4f7eb3959c5236",Marco Castelluccio,2018-09-23T23:11:49Z,marco-c,marco-c,5,5,0
60,bugbug,f9c03d0f8fd9a1931d172032412cbad7fd27f8c3,"Add missing requirements


Former-commit-id: 884f75adfda7d961e74e231272afe6ea05957730",Marco Castelluccio,2018-09-23T23:11:28Z,marco-c,marco-c,4,3,1
61,bugbug,2e8cb9d59ccfa057f49bc361ef19312c9f72be02,"Print confusion matrix


Former-commit-id: 1c2cdbda424657e10c3820ad7b5237afd08ba2df",Marco Castelluccio,2018-09-23T23:10:43Z,marco-c,marco-c,1,1,0
