,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,bugml,8ebbaca4c94e8590db91d1f3a0ce19fcade76be5,Also ignore Firefox::General for the training (#23),Sylvestre Ledru,2018-11-19T14:02:59Z,sylvestre,sylvestre,2,1,1
1,bugml,d3689aa8db7587cbdaa7f3387983d02cce853a06,fix a typo,Sylvestre Ledru,2018-11-19T13:05:49Z,sylvestre,sylvestre,2,1,1
2,bugml,02362046ddacd0ca65e3e98f3d6aa4efe66f4d71,"Merge pull request #3 from sylvestre/develop

Merge develop into the master branch",Ed Morley,2018-09-18T09:27:44Z,edmorley,edmorley,4661,4605,56
3,bugml,b1c61e3158e685453ec1e498851fc8afda6818e8,Improve the presentation of the file by using MD,Sylvestre Ledru,2018-09-16T08:56:40Z,sylvestre,sylvestre,74,40,34
4,bugml,64e3ffb96d341c58675dfab204a5bf7d16b72471,Add the readme from the master branch,Sylvestre Ledru,2018-09-16T08:41:47Z,sylvestre,sylvestre,56,56,0
5,bugml,58cf769db79375eaed549efe5eecec70cfd046a6,"When sorting per date, do no show bugs which have been triagged already",Sylvestre Ledru,2018-09-14T11:59:19Z,sylvestre,sylvestre,2,1,1
6,bugml,74e9d11f425462056de7d7be48447753c663dbbf,Don't need to retrieve the component name (will be null),Sylvestre Ledru,2018-09-14T12:01:43Z,sylvestre,sylvestre,2,1,1
7,bugml,901ef863268df6e16cca23d8f9fdde12a516ef41,"When sorting per date, do no show bugs which have been triagged already",Sylvestre Ledru,2018-09-14T11:59:19Z,sylvestre,sylvestre,6,4,2
8,bugml,7d219ffd33b82da1b11419cee1ce553e2c26fa45,Remove debug message,Sylvestre Ledru,2018-09-14T11:58:57Z,sylvestre,sylvestre,1,0,1
9,bugml,764f50f055347f7a69fb95d1a557645353af3fa6,Move the list of columns to be retrieved into a single place,Sylvestre Ledru,2018-09-14T11:54:34Z,sylvestre,sylvestre,15,8,7
10,bugml,7522cab4bd79279ccb62b77d90468435dae214a0,Sort the results by confidence,Sylvestre Ledru,2018-09-04T08:29:01Z,sylvestre,sylvestre,5,5,0
11,bugml,f96d0404538b22dac90e0326cbb2a4ecbb7e4805,Format json files in flask,Sylvestre Ledru,2018-09-04T08:05:58Z,sylvestre,sylvestre,2,1,1
12,bugml,d6744d49e83fbb8f89fc2e9f0513d98ed05b1ec0,Run autopep8 --max-line-length 99 on the python files,Sylvestre Ledru,2018-07-26T11:57:57Z,sylvestre,sylvestre,1866,1029,837
13,bugml,ea1e3cf7c7641c40480bc21afde610d8c698bcc9,"Merge pull request #1 from sylvestre/develop

Start to improve the doc",automatedtester-mozilla-owner,2018-09-13T09:57:09Z,automatedtester-mozilla-owner,automatedtester-mozilla-owner,182,104,78
14,bugml,a1ad1f95ac0121ff89bbab7d0f968af4f547de2b,add a new issue,Sylvestre Ledru,2018-09-03T09:51:22Z,sylvestre,sylvestre,5,5,0
15,bugml,1f7c31eed2a36fe62e34f7d279b2cdde5e41fee1,more info about debug + error,Sylvestre Ledru,2018-09-02T15:52:17Z,sylvestre,sylvestre,8,8,0
16,bugml,36c68708431b7c90182b02c75b26386874f3cd0f,bring back a command,Sylvestre Ledru,2018-08-31T14:07:15Z,sylvestre,sylvestre,7,4,3
17,bugml,0056ee42a3f2e3072846cc76907cbd2c0039afdb,Update the doc to reflect the previous changes,Sylvestre Ledru,2018-07-26T12:22:41Z,sylvestre,sylvestre,14,4,10
18,bugml,5e6ca245a5cd3eb54d45bc280453f3f3706d088f,set the right permission on the file,Sylvestre Ledru,2018-07-26T12:13:37Z,sylvestre,sylvestre,0,0,0
19,bugml,1a4ed7ca8545666b9675e80c1e49ba8926ac0616,create empty directory to simplify the install process,Sylvestre Ledru,2018-07-26T12:12:16Z,sylvestre,sylvestre,0,0,0
20,bugml,b13f6ebdcdc6842219e42db19ce41945b9b11566,try to improve the presentation,Sylvestre Ledru,2018-07-26T09:55:08Z,sylvestre,sylvestre,52,25,27
21,bugml,104a0423cbe7d417da0b6225acf943a517fe6eed,improve the presentation,Sylvestre Ledru,2018-07-26T09:53:26Z,sylvestre,sylvestre,12,6,6
22,bugml,b088cf8e7b9febcb239315ac1b91245d2be2ceac,update of the url repo,Sylvestre Ledru,2018-07-26T09:52:03Z,sylvestre,sylvestre,2,1,1
23,bugml,aa967105accecf67382bd352362d348e4a4aef60,"remove sudo, not necessary",Sylvestre Ledru,2018-07-26T09:50:05Z,sylvestre,sylvestre,4,2,2
24,bugml,fbd608ee939acf876d72abc2e1a0099f38c082e3,improve the costemic,Sylvestre Ledru,2018-07-26T09:49:28Z,sylvestre,sylvestre,59,19,40
25,bugml,60e8b7c589e748697d489f9d4bf9106991a1570d,Fix a typo,Sylvestre Ledru,2018-07-26T09:47:05Z,sylvestre,sylvestre,2,1,1
26,bugml,0bd1169c1ffb29466abde7383833df5c738d5c2d,Improve the doc l&f - step 1,Sylvestre Ledru,2018-07-25T17:01:41Z,sylvestre,sylvestre,58,50,8
27,bugml,b30a1a5386213d3d3159117d97da0114798ea903,delete trailing whitespaces,Sylvestre Ledru,2018-07-25T16:54:01Z,sylvestre,sylvestre,43,21,22
28,bugml,3db63cffbf5c64f85077481cae892415bd134dfb,"Merge pull request #1 from exaltcg/Phase2

Phase2",ds271828,2018-06-14T17:23:58Z,ds271828,ds271828,1293992,3729,1290263
29,bugml,27248015c6efbd5512b993f2d78be3449753fc94,Fixed readme spaces,ds271828,2018-06-14T17:09:39Z,ds271828,ds271828,135,133,2
30,bugml,db8e8d86fd0d82ac76e7503f20a85fd235cf8f5b,Bugzilla bug classification service: phase 2.,ds271828,2018-06-14T16:54:05Z,ds271828,ds271828,1293915,3625,1290290
31,bugml,e88f2ee4d03cb3eaf7d6f886813a07f62dc113c5,Updated default path for models.,ds271828,2018-05-11T09:09:17Z,ds271828,ds271828,60,45,15
