,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,bugstats,8540c89a5535664e27a2fcfbbf8218a7a527bbb6,"Merge pull request #4 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",calixteman,2019-03-30T15:06:00Z,calixteman,calixteman,15,15,0
1,bugstats,b53980312c00b1d8198b94a35f6f47625f97e4d7,"Add Mozilla Code of Conduct file

Fixes #3.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T06:15:37Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,bugstats,8e69c29a90884b7d99b699c3603467503dc593aa,Remove bugs without landed patches,Calixte Denizet,2018-10-19T10:44:11Z,calixteman,calixteman,7,6,1
3,bugstats,d103dba2d60bc47b805ddde86c2937710eb8a108,Fix exception when an invalid bug was two times in the list,Calixte Denizet,2018-10-16T19:25:28Z,calixteman,calixteman,6,3,3
4,bugstats,ead6a9ab3962c36c7ee8e12ee60ded7e6148001e,Remove incorrect revisions,Calixte Denizet,2018-10-16T07:13:04Z,calixteman,calixteman,9,9,0
5,bugstats,1df15bbeb5fa9d87acd34c2de908df2f414332ea,Avoid bugs without patches,Calixte Denizet,2018-10-15T13:27:19Z,calixteman,calixteman,17,10,7
6,bugstats,5f2b12354203007aa465714a77b20fa35841036d,Get patches from hgmo instead of bmo,Calixte Denizet,2018-10-15T12:41:06Z,calixteman,calixteman,72,25,47
7,bugstats,14789a821e2120616dbdac32aedfcbe21a70f335,Fix an issue with phabricator patches,Calixte Denizet,2018-10-13T14:30:43Z,calixteman,calixteman,37,25,12
8,bugstats,5027e0d2095f9a3688262e4652d2a15ca9bca979,Handle patches coming from phabricator,Calixte Denizet,2018-08-24T13:12:42Z,calixteman,calixteman,28,17,11
9,bugstats,7525070073dca5f8331a2616a50458d7bb9412cc,Replace bugzil.la by bugzilla.mozilla.org,Calixte Denizet,2018-08-13T08:22:25Z,calixteman,calixteman,2,1,1
10,bugstats,97cb42fd490debcb9cdb6eb11b10fca0b106a37f,cfw was not working with python 3,Calixte Denizet,2018-03-09T09:11:45Z,calixteman,calixteman,4,2,2
11,bugstats,b4d1bc1f73f77ba31e206ad31a95f6a7ee9e3a9b,Add import for mail,Calixte Denizet,2018-01-15T10:22:34Z,calixteman,calixteman,1,1,0
12,bugstats,235ac2b2f74c3a855cca1e5322928d5be4df4ef2,Remove gmail to use mozilla smtp,Calixte Denizet,2017-11-30T10:22:45Z,calixteman,calixteman,257,254,3
13,bugstats,1270b39d33d971a37a6da314365ed557f1525481,Add a products blacklist,Calixte Denizet,2017-11-07T11:09:36Z,calixteman,calixteman,41,40,1
14,bugstats,ce96b32471188c5ef67a642cac3fc6496a1e038b,Add a date range for code freeze week,Calixte Denizet,2017-09-15T11:01:46Z,calixteman,calixteman,39,27,12
15,bugstats,58e2029c4b461fc58fad5b446b1836da0bac94c8,Fix issue when patch has no changes or no header,Calixte Denizet,2017-06-08T21:04:17Z,calixteman,calixteman,37,19,18
16,bugstats,67071ba32057445b0405460b508078ae17e23b18,Fix issues with not escaped strings (thx to jcristau),Calixte Denizet,2017-06-07T14:01:13Z,calixteman,calixteman,10,5,5
17,bugstats,01f8e1de7cd20ed097f19136eca6af8130c93417,Fix issue with cfw date,Calixte Denizet,2017-06-05T10:41:57Z,calixteman,calixteman,14,9,5
18,bugstats,b4d29f48e21bb14e29b422cb5e6f35a49f0ab755,Adda print when no data,Calixte Denizet,2017-06-05T08:42:25Z,calixteman,calixteman,2,2,0
19,bugstats,da69140f990b57cc04045bb3f5731a01e09303b3,Fix issue when retrieving the start date fo the code freeze week,Calixte Denizet,2017-06-05T08:38:02Z,calixteman,calixteman,2,1,1
20,bugstats,e52f2cd22428d901b209934c29ddf7396b8fc723,First commit,Calixte Denizet,2017-06-05T08:28:11Z,calixteman,calixteman,873,873,0
