,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-blobuploader,b7069945a59768373df80fb9068424c17b74cb7c,"Make explicit compatibility with Python 2 only (#1)

https://github.com/mozilla/build-blobuploader/blob/master/blobberc.py#L232 is not Python 3 compatible.",cclauss,2017-04-12T17:50:53Z,cclauss,cclauss,3,3,0
1,build-blobuploader,fc9923f7e817bb5c7dfa93509984c777110c492d,Update URLs,Rail Aliiev,2014-12-10T15:19:42Z,Rail Aliiev,Rail Aliiev,4,2,2
2,build-blobuploader,930dec8bb743bd0ac84b0166a321b8020d9e3b1d,Update the project URL,Rail Aliiev,2014-12-10T14:44:11Z,Rail Aliiev,Rail Aliiev,5,3,2
3,build-blobuploader,815c8879e82a67158da579259a502a09b2e2caab,Update setup.py,Armen Zambrano,2014-12-09T21:22:38Z,armenzg,armenzg,2,1,1
4,build-blobuploader,7b02d51c86833ffbcdf8ac9a957bfaeb224e4646,"Merge pull request #18 from ahal/output_manifest

Bug 1107571 - Accept a --output-manifest argument to write uploaded file...

It looks great!",Armen Zambrano,2014-12-09T17:23:55Z,armenzg,armenzg,40,16,24
5,build-blobuploader,8b936218e4b475c125a25518d6429f0f3e2d999a,"Bug 1107571 - Accept a --output-manifest argument to write uploaded file contents to, r=armenzg",Andrew Halberstadt,2014-12-09T16:27:19Z,Andrew Halberstadt,Andrew Halberstadt,40,16,24
6,build-blobuploader,a8fff826a0931b540d156d8456dcf5d724758509,Released 1.2.3 version of blobuploader,Mihai Tabara,2014-12-08T05:50:19Z,MihaiTabara,MihaiTabara,11,7,4
7,build-blobuploader,ee9e69ee0db95fe9c0e76ef4faadeccbdfdeb130,"Merge pull request #17 from ahal/master

Bug 1107571 - Stop uploading the uploaded_files manifest, r=armenzg",Mihai Tabara,2014-12-08T05:46:08Z,MihaiTabara,MihaiTabara,22,5,17
8,build-blobuploader,8d6071fc0805c4bd8dfc48b4721d58a0eb388c4c,"Bug 1107571 - Stop uploading the uploaded_files manifest, r=armenzg",Andrew Halberstadt,2014-12-05T21:17:04Z,Andrew Halberstadt,Andrew Halberstadt,22,5,17
9,build-blobuploader,282841bb45097c3a85213277e426857c9a2b4585,Released 1.2.2 version of blobuploader,Mihai Tabara,2014-08-11T04:04:59Z,MihaiTabara,MihaiTabara,10,7,3
10,build-blobuploader,ffa06deac19a07ba7ff5104282d71d3f06f4d3c1,"Merge pull request #16 from armenzg/bug1048270

Bug 1048270 - Initialize blob_url to None in case something fails in the...",Mihai Tabara,2014-08-11T03:49:29Z,MihaiTabara,MihaiTabara,6,3,3
11,build-blobuploader,33465faa9b3503e19013662908f62fbce160aa67,Bug 1048270 - Initialize blob_url to None in case something fails in the try block,Armen Zambrano G,2014-08-07T14:09:32Z,armenzg,armenzg,6,3,3
12,build-blobuploader,64d3995a592cb67a66a09b836acabaa65395b47c,"Merge pull request #15 from armenzg/master

Bug 986112 - Switch from uploaded_files.txt to uploaded_files.json",Mihai Tabara,2014-06-25T17:55:29Z,MihaiTabara,MihaiTabara,10,7,3
13,build-blobuploader,625d4e6a7d1b17cce959793038814829f503c1a5,Bug 986112 - Switch from uploaded_files.txt to uploaded_files.json,Armen Zambrano G,2014-06-25T17:47:57Z,armenzg,armenzg,10,7,3
14,build-blobuploader,c77ec6841422e517337483175b3e8cfcafa1a001,"Merge pull request #14 from armenzg/master

Bug 986112 - Allow to have a manifest for all files uploaded. r=catlee",Mihai Tabara,2014-06-21T10:31:08Z,MihaiTabara,MihaiTabara,90,63,27
15,build-blobuploader,6df9b4ce7dd297b88d9e67647f19fedf3c3c8a29,Bug 986112 - Allow to have a manifest for all files uploaded. r=catlee,Armen Zambrano G,2014-06-19T19:49:40Z,armenzg,armenzg,90,63,27
16,build-blobuploader,88b4c34066812cdda2ad681ad57f65f9e766f0ea,Released version 1.1.7 of blobuploader.,Mihai Tabara,2014-05-24T05:53:50Z,MihaiTabara,MihaiTabara,8,6,2
17,build-blobuploader,062e138049dc183c21a2df1579d236de71d2af06,"Merge pull request #13 from luser/fix-compression-again

Fix an error from bug 998796",Mihai Tabara,2014-05-24T05:45:37Z,MihaiTabara,MihaiTabara,2,1,1
18,build-blobuploader,64a05dd8ba54fe5c60b96915658a0067c2c26648,Fix an error from bug 998796,Ted Mielczarek,2014-05-23T16:09:59Z,luser,luser,2,1,1
19,build-blobuploader,0372389ca0ed6863830457e868e99157de3dbd79,Released 1.1.6 version of blobuploader.,Mihai Tabara,2014-05-22T06:29:05Z,MihaiTabara,MihaiTabara,8,6,2
20,build-blobuploader,c9f32fe0d11beb22b5cc97b9c40f5d0b6351533c,Bug 1013631: add ceritificate check when call the server.,Mihai Tabara,2014-05-22T06:27:08Z,MihaiTabara,MihaiTabara,4,2,2
21,build-blobuploader,81f8e942495500d0e0f781f883f71f7ece8d0b4b,Released version 1.1.5 of blobuploader.,Mihai Tabara,2014-05-18T09:24:32Z,MihaiTabara,MihaiTabara,10,9,1
22,build-blobuploader,8ff461893dbef75fd743bb73176fc902ad85d0ea,"Merge pull request #11 from MihaiTabara/filetypes

Bug 998796: sync whitelist with blobber server.",Mihai Tabara,2014-05-18T09:19:28Z,MihaiTabara,MihaiTabara,45,39,6
23,build-blobuploader,8f67a06dc122027598f4633fa60fe42ec0db0bbc,Bug 998796: refactoring. wrap answer from server in a set().,Mihai Tabara,2014-05-18T09:18:07Z,MihaiTabara,MihaiTabara,2,1,1
24,build-blobuploader,0cefbadaf16c47358cb8c42e2b662267c7347fec,Released 1.1.4 version of blobuploader.,Mihai Tabara,2014-05-17T06:30:43Z,MihaiTabara,MihaiTabara,8,5,3
25,build-blobuploader,2be24a4142c401fffe7607fff02fc6dcc8317cb5,"Merge pull request #12 from jgraham/compress_windows

Don't try to open an already opened tempfile when compressing uploads.",Mihai Tabara,2014-05-17T06:16:32Z,MihaiTabara,MihaiTabara,8,4,4
26,build-blobuploader,6acf8f0c84ea051bbbd13f576d664630c8a39dc5,Add CHANGELOG.rst to the repo to track changes easier.,Mihai Tabara,2014-05-17T06:11:55Z,MihaiTabara,MihaiTabara,8,8,0
27,build-blobuploader,4965472c2a147c638ad8a59e3c11cbe83e8cbc9b,"Don't try to open an already opened tempfile when compressing uploads.

On Windows, trying to open() the writable tempfile leads to a permissions error.
Instead just open the file once and seek() to the start of the file when we are
done writing to it.",James Graham,2014-05-16T14:23:59Z,jgraham,jgraham,8,4,4
28,build-blobuploader,69068615c4b9d060079ffdc03f543d32c72652f6,Bug 998796: refactoring - default if no server whitelist.,Mihai Tabara,2014-05-11T08:46:44Z,MihaiTabara,MihaiTabara,2,2,0
29,build-blobuploader,52198a98fb3111b8d667fc740b7ac4613b90a879,Bug 998796: sync whitelist with blobber server.,Mihai Tabara,2014-05-10T21:44:06Z,MihaiTabara,MihaiTabara,43,37,6
30,build-blobuploader,e3ed9db1d0c7c0529a32832e8f642822961ebff1,"Merge pull request #10 from ahal/mime_type_fix

Bug 986032 - Fix dict key typo causing wrong mime-type to be set on comp...",Mihai Tabara,2014-05-10T21:41:09Z,MihaiTabara,MihaiTabara,2,1,1
31,build-blobuploader,cdb2569390eef96ec10b9b3bb216be25f7633e55,"Bug 986032 - Fix dict key typo causing wrong mime-type to be set on compressed files, r=ted",Andrew Halberstadt,2014-05-09T20:57:00Z,Andrew Halberstadt,Andrew Halberstadt,2,1,1
