,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-environments,98ae95dac5d6a11f937327701e0b0f7de6aeb9af,"Merge pull request #1 from mrrrgn/new-dockerfiles

New dockerfiles",Morgan Phillips,2015-02-19T17:15:21Z,usize,usize,164,24,140
1,build-environments,ab8dc1d5ce1753244d6668285922bde85f47e085,Add new docker images,Morgan Phillips,2015-02-19T17:11:26Z,usize,usize,10,5,5
2,build-environments,aa08d90da0edddcb5885e66dbc027f4cfb868f8b,Recompile dockerfiles.,Morgan Phillips,2015-02-18T20:49:59Z,usize,usize,4,2,2
3,build-environments,43c760bbff4565a7140be3af925c411af90d0634,Fix input format errors. New squash image utility only uses positional arguments.,Morgan Phillips,2015-02-18T20:49:22Z,usize,usize,4,3,1
4,build-environments,69902d93900202bcd73c9019d25cbb85fca22623,Revert base builders to CentOS 6.1,Morgan Phillips,2015-02-18T19:41:18Z,usize,usize,4,2,2
5,build-environments,967cd31049a8c90b7cbe355bb12edc60abfd786e,Ensures that base builders are always regenerated first.,Morgan Phillips,2015-02-18T17:09:45Z,usize,usize,2,1,1
6,build-environments,fcdcbc1d9cb2fa0ac63071420c996c4c617e6604,Remove dependency on docker-squash.,Morgan Phillips,2015-02-18T15:43:20Z,usize,usize,13,4,9
7,build-environments,1dc0d564e74da61837f982e874a87a874f238bf9,Make all platform images work from centos 6.1,Morgan Phillips,2015-02-18T15:18:28Z,usize,usize,127,7,120
8,build-environments,93af8e2370f7e20d62dbd63a7540c0453bd811a5,Update Dockerfiles (automated),Morgan Phillips,2015-02-14T19:18:32Z,usize,usize,486,150,336
9,build-environments,fc6256b4258c908cc0db21a13e50be4fa9402492,Wrap utility scripts in Makefile for easy access.,Morgan Phillips,2015-02-14T19:12:33Z,usize,usize,8,7,1
10,build-environments,cbd1a7d7f4850b7f9f803479ddbe73dfe322e515,Add a utility for automatically updating a repo.,Morgan Phillips,2015-02-14T19:04:03Z,usize,usize,17,17,0
11,build-environments,8ca94d1c4d57b1acac2cdcc8c1faeb8be782b561,Add all sub linux builders.,Morgan Phillips,2015-02-14T18:31:35Z,usize,usize,799,799,0
12,build-environments,f55908fd3e02855a2cacd4da35c236dbbb4ce476,Move requirements to top level directory,Morgan Phillips,2015-02-13T18:29:40Z,usize,usize,0,0,0
13,build-environments,ef08c8aa29ac66ea6d9c884de0e9ab6c89e0b2f1,Add a proper Makefile which recursively generates Dockerfiles.,Morgan Phillips,2015-02-13T18:21:43Z,usize,usize,10,10,0
14,build-environments,2cab7b344f25388dfb40d79af89c3578f250081e,No need to put mozharness in tmp,Morgan Phillips,2015-02-13T17:57:58Z,usize,usize,4,2,2
