,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-fwunit,4476858d3fd8ae479b93df828ce672d8c59eecf5,add doc,Dustin J. Mitchell,2014-09-29T23:41:46Z,djmitche,djmitche,1,1,0
1,build-fwunit,9ab29524dcdc44315f5da0dd962e3895f25da555,"add assertAllApps

This fixes GH-19.",Dustin J. Mitchell,2014-09-29T23:32:57Z,djmitche,djmitche,35,17,18
2,build-fwunit,0e1c2163207c45c944669b8cd70fd881cceda518,Use named sources when loading tests,Dustin J. Mitchell,2014-09-25T19:44:06Z,djmitche,djmitche,18,13,5
3,build-fwunit,9dd7ca9af613d78453a0bedb64b85c290726af7c,remove spurious prints,Dustin J. Mitchell,2014-09-18T19:30:38Z,djmitche,djmitche,2,0,2
4,build-fwunit,52ef700c25f853b7263bf6a02cd872f7b5d182fd,update comments around XML namespaces,Dustin J. Mitchell,2014-09-18T19:29:53Z,djmitche,djmitche,5,3,2
5,build-fwunit,072a01858bea842fe721dc5029b8c36282abbd7f,test parsing 11.4R6 routes too,Dustin J. Mitchell,2014-09-18T19:19:52Z,djmitche,djmitche,58,57,1
6,build-fwunit,9c0411f8a3c63ba8304acebafc06cf4dc6aa25b0,add requirement,Dustin J. Mitchell,2014-09-18T18:02:51Z,djmitche,djmitche,1,1,0
7,build-fwunit,1152760dbe2f11bad012461ded739ffe2eb57c66,"strip route namespaces, which different per Junos version",Dustin J. Mitchell,2014-09-18T17:54:48Z,djmitche,djmitche,36,23,13
8,build-fwunit,a43e157fd37a2e9ad4d6050588b51057c44522c0,don't fail on IP-less interfaces,Dustin J. Mitchell,2014-09-18T17:05:37Z,djmitche,djmitche,7,6,1
9,build-fwunit,497fbbd7d04edc0329cde85c987d6dde303e4b72,actually increment the count,Dustin J. Mitchell,2014-09-18T16:20:08Z,djmitche,djmitche,1,1,0
10,build-fwunit,9c13b5131bdc45d8e0d481cd8defd975d89e2304,give progress indication while downloading policies,Dustin J. Mitchell,2014-09-18T16:10:43Z,djmitche,djmitche,5,4,1
11,build-fwunit,44afefbf4f7e0faa0446ae9bc05eacaa5aa96be0,better fix: only elt.find() can return None,Dustin J. Mitchell,2014-09-18T16:05:51Z,djmitche,djmitche,85,64,21
12,build-fwunit,05c3bb544930647e3e02fe5de7cdca99c936c3a8,accept empty lists of nodes,Dustin J. Mitchell,2014-09-18T15:38:44Z,djmitche,djmitche,24,12,12
13,build-fwunit,d44ed359604e55536cda43035f74ec3446be6c0f,typo,Dustin J. Mitchell,2014-09-12T21:38:44Z,djmitche,djmitche,4,2,2
14,build-fwunit,96f9dd4e1699f5c50ba0e2a620cfdbac1cef32a1,get sphinx version from versioneer,Dustin J. Mitchell,2014-09-12T21:32:55Z,djmitche,djmitche,17,11,6
15,build-fwunit,ed6aa229e485379c3fa8ee0373645ec3bf1da67f,Start using python-versioneer,Dustin J. Mitchell,2014-09-12T21:29:42Z,djmitche,djmitche,1076,1075,1
16,build-fwunit,f7efef274924946015d6e7fb8fea9787cd0fde48,add travis,Dustin J. Mitchell,2014-09-12T21:21:16Z,djmitche,djmitche,4,4,0
17,build-fwunit,ee688ac260d7855260db479301180226b34d15b6,add docs for writing tests,Dustin J. Mitchell,2014-09-12T21:12:51Z,djmitche,djmitche,111,99,12
18,build-fwunit,56f380ad4d2c48592d077ef484f97ac03a83c508,add doc link,Dustin J. Mitchell,2014-09-12T19:47:14Z,djmitche,djmitche,5,5,0
19,build-fwunit,a9f19d3ee503d6067426f11b75a1df7588329fec,move docs to sphinx,Dustin J. Mitchell,2014-09-12T19:44:09Z,djmitche,djmitche,906,606,300
20,build-fwunit,9f94acbc5f3aa122b2eafd3bb5dad1caa51b3beb,Merge branch 'issue1' of git://github.com/djmitche/build-fwunit,Dustin J. Mitchell,2014-09-11T00:21:33Z,djmitche,djmitche,66,45,21
21,build-fwunit,c04125ac2a4832c464889d9a5715d41d6ab1029f,"dump and load JSON instead of pickles

Fixes #1.",Dustin J. Mitchell,2014-09-11T00:18:17Z,djmitche,djmitche,66,45,21
22,build-fwunit,7edd3dbba83050dc7c35de69dfb3b0273cf82a1b,Use a single SSH connection,Dustin J. Mitchell,2014-09-10T21:24:05Z,djmitche,djmitche,72,40,32
23,build-fwunit,1a2516d50a9520f39440d68fbc852f396945b2f1,download XML directly from SRXen,Dustin J. Mitchell,2014-09-10T20:52:33Z,djmitche,djmitche,355,317,38
24,build-fwunit,f0623ae8a2dba34c164343bd315308fa69cf7322,add colors to logs,Dustin J. Mitchell,2014-08-29T21:37:35Z,djmitche,djmitche,35,26,9
25,build-fwunit,f42499787a33d32779593959394e382eeb3f9bbe,fix typo,Dustin J. Mitchell,2014-08-27T13:01:14Z,djmitche,djmitche,1,0,1
26,build-fwunit,20063fb8ac09a4ad5266bdd0a75eeb6f1da09320,correctly handle '*/any',Dustin J. Mitchell,2014-08-26T23:17:22Z,djmitche,djmitche,2,1,1
27,build-fwunit,71afe16a0184f6425ba8297de640fc9ae91f8c74,Upgrade the query capabilities,Dustin J. Mitchell,2014-08-26T23:14:19Z,djmitche,djmitche,172,147,25
28,build-fwunit,298ac378cf296cd11d835809663b365baf852dcf,workaround an IPy bug,Dustin J. Mitchell,2014-08-25T22:15:29Z,djmitche,djmitche,16,16,0
29,build-fwunit,4b623808133a6e71a3e129f0d944aab108b98abf,traffic from unoccupied per-host IPs is permitted,Dustin J. Mitchell,2014-08-18T19:29:04Z,djmitche,djmitche,16,12,4
30,build-fwunit,8c5d39f5dd3c58bd2d396f182575f878132835e1,intra-AWS flows are governed both by incoming and outgoing rules,Dustin J. Mitchell,2014-08-18T18:38:37Z,djmitche,djmitche,52,48,4
31,build-fwunit,586fdf15733c2652a03b3bcaa65e2f8ca7d6d5f7,correctly translate any to all apps,Dustin J. Mitchell,2014-08-18T15:37:24Z,djmitche,djmitche,8,2,6
32,build-fwunit,c3f0825704534d816ad51e76cb65d6744c6d9ea1,"cache connections per region

Without this, only the first region was analyzed",Dustin J. Mitchell,2014-08-18T14:58:11Z,djmitche,djmitche,19,10,9
33,build-fwunit,36601166d7514ead485b3290b472519b7a99acf1,remove debugging print,Dustin J. Mitchell,2014-08-14T12:37:55Z,djmitche,djmitche,1,0,1
