,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-mar,d8c3b3469e55654d31f430cb343fd89392196c4e,"Add Mozilla Code of Conduct (#53)

* Add Mozilla Code of Conduct file",Mozilla-GitHub-Standards,2019-03-29T15:55:53Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,16,16,0
1,build-mar,52b7d72f09652bf41383b3772bf4ba5dfad10976,Bump version to 3.1.0,Chris AtLee,2019-02-20T01:10:34Z,catlee,catlee,11,8,3
2,build-mar,c394508c778d680f5524ce566d032a657159d010,"update SHA384_REV, update mozilla.py from SHA384_REV",Aki Sasaki,2019-02-13T18:14:34Z,escapewindow,escapewindow,18,9,9
3,build-mar,204a753dcf14107a26a82e7d098e413f9725fa17,get_pem_key() + autograph_stage.pem,Aki Sasaki,2019-02-12T17:37:58Z,escapewindow,escapewindow,13,12,1
4,build-mar,430759b782cbaf220bbed28fed5b74649d98af48,wip - verify autograph-stage mar signatures,Aki Sasaki,2019-02-08T18:18:25Z,escapewindow,escapewindow,20,20,0
5,build-mar,2ce36beedb1a621d4b8705d6160813600a3923cd,Remove python3.5 support,Chris AtLee,2019-02-01T20:31:33Z,catlee,catlee,4,2,2
6,build-mar,615691dc76195bab1d7367498fd1f93f7cf072a1,"Bump dependencies

pytest 4 broke the old version of pytest-random-order we were using,
since the newer versions of pytest-random-order don't work with py2.

I solved this by creating separate requirements files for py2 and py3.",Chris AtLee,2019-02-01T20:20:39Z,catlee,catlee,559,397,162
7,build-mar,40dccd1a0a39fc70ef34566c42292e6ae9ee0ac2,Bump requirements,Chris AtLee,2018-10-29T21:30:58Z,catlee,catlee,60,31,29
8,build-mar,cba3394bdcb63a0560a358e4bf0a1b850119f2f3,Bump version and fix up README,Chris AtLee,2018-09-06T22:45:23Z,catlee,catlee,66,27,39
9,build-mar,d60ee2700857cad48653a33b85f792f4fdf3705f,Bump dependencies,Chris AtLee,2018-09-06T22:45:23Z,catlee,catlee,156,84,72
10,build-mar,5dab93369563c975627940bf20af3a69e3059826,Fix up tests and coverage,Chris AtLee,2018-09-06T22:45:23Z,catlee,catlee,45,27,18
11,build-mar,6cba2bcaaaa214776349b8e040f998724b47684c,Allow verifying unsigned marfiles,Chris AtLee,2018-09-06T22:45:23Z,catlee,catlee,349,318,31
12,build-mar,d3fd0cd8eedb05af3ae053d7afb46f0c671e7e63,"Support extracting hash, and injecting signature into marfiles",Chris AtLee,2018-09-06T22:45:19Z,catlee,catlee,727,498,229
13,build-mar,607cb8cff99a3b2f8294b4175f81ed0cb28ef381,handle mar files with no additional section,Chris AtLee,2018-07-23T20:42:59Z,catlee,catlee,36,31,5
14,build-mar,4e958d22fd86100f44eec569da4194f9d1f1399d,"Bump dependencies; clean up tox and travis

Remove appveyor

cryptography update required changes to internal API; bumped version to
2.3.0 in response.",Chris AtLee,2018-03-08T01:51:14Z,Chris AtLee,Chris AtLee,1225,598,627
15,build-mar,d2374cafb7d2022ee4f6f0eb39549fe60e5c13a4,Bump dependencies,Chris AtLee,2018-02-07T22:24:53Z,Chris AtLee,Chris AtLee,10,5,5
16,build-mar,6eb8956583e9dcafff5a0b8cf88a0eb8c46594a8,Bump version to 2.2.3,Chris AtLee,2018-01-18T15:08:29Z,Chris AtLee,Chris AtLee,13,10,3
17,build-mar,7a8f72da86b6a98e57f36b6cded11c82f230d7dd,"Bump dependency versions

Handle Construct Const API change
Fix hypothesis test",Chris AtLee,2018-01-18T15:07:36Z,Chris AtLee,Chris AtLee,59,30,29
18,build-mar,340517576be9ceb989702ff60b462643d7c74edd,Remove appveyor badge,Chris AtLee,2018-01-18T15:06:42Z,Chris AtLee,Chris AtLee,6,1,5
19,build-mar,9079e242332e5d850e8da8e0f1cb05269378a2ee,Correct key size in exception messages,Hal Wine,2017-12-20T21:28:20Z,hwine,hwine,4,2,2
20,build-mar,d1d67db861eecb7bd1bf46b7f2362660eec2bd9b,[requires.io] dependency update on master branch,Chris AtLee,2017-10-25T20:10:17Z,catlee,catlee,24,12,12
21,build-mar,9cb521a805bf0a8450999ae0b97a0ad1681ac1aa,Remove appveyor since it's currently busted due to backports.lzma,Chris AtLee,2017-10-24T17:12:54Z,Chris AtLee,Chris AtLee,72,0,72
22,build-mar,d043e79529e15fa16883df6f6bb7836ccc61b0a4,Add requests[security] to fix doc generation failures (#35),Chris AtLee,2017-10-24T16:45:15Z,catlee,catlee,1,1,0
23,build-mar,c0fbe111d9e573d165b5a258c662ba0d7cb1e5f6,"Merge pull request #33 from catlee/master

Update changelog",Chris AtLee,2017-09-08T02:13:24Z,catlee,catlee,37,31,6
