,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-mozharness,83b6cf2a5842b90c99fb1a4c80d116fac2f03ec1,fix packageName,Aki Sasaki,2010-06-03T22:53:25Z,escapewindow,escapewindow,2,2,0
1,build-mozharness,f4215524e7b8c73afc69e336382e7bfa92c4d10a,fix 1.1 locales file,Aki Sasaki,2010-06-03T22:44:37Z,escapewindow,escapewindow,2,1,1
2,build-mozharness,8d4b6ddc99477f9d6426ea8eb3a314d4831c6996,fix --configFile,Aki Sasaki,2010-06-03T22:42:46Z,escapewindow,escapewindow,9,6,3
3,build-mozharness,437b0e822acb8e100c94c22bf06f3b833f7c93e5,potential 1.1 release config,Aki Sasaki,2010-06-03T22:38:56Z,escapewindow,escapewindow,49,48,1
4,build-mozharness,e6fa27fd54a819137f3e67b55cff554a84c00808,also install file,Aki Sasaki,2010-06-03T22:13:31Z,escapewindow,escapewindow,11,9,2
5,build-mozharness,86fd09fe045bb5f75b5999bc1c87e6608815ad84,fix,Aki Sasaki,2010-06-03T22:07:50Z,escapewindow,escapewindow,4,2,2
6,build-mozharness,9e366c645762396531669f531af3a1508c61c4af,bustage fix,Aki Sasaki,2010-06-03T21:55:08Z,escapewindow,escapewindow,2,1,1
7,build-mozharness,b258ea7b2edb8c8e6b7c4ba46ae6049dd9711f31,bustage fix,Aki Sasaki,2010-06-03T21:51:42Z,escapewindow,escapewindow,2,1,1
8,build-mozharness,79765928bd82c3aacec3ee92220da4aeb1299b37,fix the skip?,Aki Sasaki,2010-06-03T21:48:40Z,escapewindow,escapewindow,10,4,6
9,build-mozharness,9f151dda4f5c305c30c38f2c9bd75d50d2f34ed1,fix catalog name stuff,Aki Sasaki,2010-06-03T21:45:01Z,escapewindow,escapewindow,4,4,0
10,build-mozharness,11ef089cd9d77dde1a31f7154cdf6aa4b2c68222,changes to allow for buildbot-configs cloning for release repos,Aki Sasaki,2010-06-03T21:38:56Z,escapewindow,escapewindow,22,15,7
11,build-mozharness,a94866225c0346a63cf4729b627a70122a8a57ac,this may get me deb uploads. and definitely gets me more comments.,Aki Sasaki,2010-06-03T21:31:00Z,escapewindow,escapewindow,74,60,14
12,build-mozharness,1892ec6b30e6a9c6790801acbc63be1cf27cf574,"stub loadConfig, fix unit tests though i need more of em",Aki Sasaki,2010-06-03T06:49:13Z,escapewindow,escapewindow,33,14,19
13,build-mozharness,de3426ec3a9b12dc46a3cc9378b8965cae05747b,more comments,Aki Sasaki,2010-06-03T06:39:12Z,escapewindow,escapewindow,5,5,0
14,build-mozharness,4488b5250c93d6c8c460153821a53eef1293a81c,comments!,Aki Sasaki,2010-06-03T06:35:38Z,escapewindow,escapewindow,47,47,0
15,build-mozharness,7143a064000b3a8b0cc00751522804300510b579,fixes,Aki Sasaki,2010-06-03T06:00:41Z,escapewindow,escapewindow,9,5,4
16,build-mozharness,6421d3ba6eac177985690389ef4475f3dc989b12,create install file. this is getting a little messy; will clean up once it's working,Aki Sasaki,2010-06-03T03:44:55Z,escapewindow,escapewindow,60,45,15
17,build-mozharness,8890a092972fa921eb78f5c532c2879569f0f683,"yay, searchPath for config file",Aki Sasaki,2010-06-03T03:02:58Z,escapewindow,escapewindow,16,12,4
