,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-relengapi-clobberer,58d6e7a13b473ca9e403c064c454398db7ee2bf7,Fixes lint/validation errors.,Morgan Phillips,2014-10-19T23:52:38Z,usize,usize,15,6,9
1,build-relengapi-clobberer,f6f53dbc4a6145ecff2501beb130f0c469de3608,Moves all view logic into angular,Morgan Phillips,2014-10-19T23:44:10Z,usize,usize,101,90,11
2,build-relengapi-clobberer,089c145ab66fdd73e914902f8b2ec22d6fb53ab9,Changes endpoint url so that it's more descriptive.,Morgan Phillips,2014-10-19T06:49:34Z,usize,usize,8,4,4
3,build-relengapi-clobberer,1493acf2e5dedc3e5c861633ccd6fb3439267fb6,Moves front end to Angular,Morgan Phillips,2014-10-19T06:48:03Z,usize,usize,44,31,13
4,build-relengapi-clobberer,2d14f17c2d1be357c5ae9a40053bec87d52fab9e,"Fix up clobberer api tests

Adds tests for all endpoints.",Morgan Phillips,2014-10-19T02:57:07Z,usize,usize,100,67,33
5,build-relengapi-clobberer,31828da444aaab079a7f9aace2dead8bad9671f5,"Fixes clobber request test, so that it reflects the new API.",Morgan Phillips,2014-10-19T00:49:16Z,usize,usize,2,1,1
6,build-relengapi-clobberer,e67d1a88cfe47236cff373170e2835e2026e2844,"Create REST endpoints for serving UI relevant data

Favors building a UI with angular rather rather than by using flask template logic.",Morgan Phillips,2014-10-19T00:38:31Z,usize,usize,122,49,73
7,build-relengapi-clobberer,2e453e2a32b3d88fabaf35832d0d07df27b831e7,Adds a new interface for retreiving clobber times.,Morgan Phillips,2014-10-19T00:36:13Z,usize,usize,15,11,4
8,build-relengapi-clobberer,6bf87c479ba5a63a1666626cdedcbdb2e32561c3,"Finishes the skeleton of clobberer_branch UI

The most stable change is the sqlalchemy query which
fetches all relevant ui data (buildername, builddir, max(lastclobber), who)",Morgan Phillips,2014-10-18T02:03:40Z,usize,usize,69,61,8
9,build-relengapi-clobberer,787f483c370a316916d145e8f74275c7477d68fb,Simplifies the clobber request interface by removing superflous data. The model retains unused fields for database compatibility.,Morgan Phillips,2014-10-17T16:40:26Z,usize,usize,30,14,16
10,build-relengapi-clobberer,cfce4e7528f37ff89da71f992a6859db4eb2956b,A simple way to get to a branch's specific clobberer selection page.,Morgan Phillips,2014-10-17T15:01:52Z,usize,usize,4,3,1
11,build-relengapi-clobberer,6365cbc99c48f638cc598c6ba495effcbcca89e6,A placeholder for the eventual UI. Buildername and branch are useful for debugging.,Morgan Phillips,2014-10-17T15:00:42Z,usize,usize,9,9,0
12,build-relengapi-clobberer,596818eb2291bd4c91edc70ea0b761186d04292a,Adds new UI endpoints and context.,Morgan Phillips,2014-10-17T14:59:58Z,usize,usize,18,17,1
13,build-relengapi-clobberer,3167a8fc8c4e9e5930d0f95097c2594d933baae1,Bump version by +0.0.1,Morgan Phillips,2014-10-16T17:24:51Z,usize,usize,2,1,1
14,build-relengapi-clobberer,b9eeaf3f2d37a787d57330dfad622a9879eb26f0,"Merge pull request #3 from mrrrgn/forceclob2

Adds an endpoint which will always result in a clobber when accessed by ...",Morgan Phillips,2014-10-16T07:05:29Z,usize,usize,24,24,0
