,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-rpm-sources,2b296bfe7de7a7087faa864d92d9c2828291f3b5,"Merge pull request #1 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Chris AtLee,2019-03-28T21:26:21Z,catlee,catlee,15,15,0
1,build-rpm-sources,2a6b3833d2bf16d2593f4945f574c1f966d74822,"See PR for details

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-28T04:08:10Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,build-rpm-sources,8028284cf2c0ccd641b2e45df73655c7fdcdb6a0,"Blank Repo, add README",Justin Wood,2014-12-01T11:10:19Z,Callek,Callek,6987,1,6986
3,build-rpm-sources,bcb2edc2671e6f29ba5b8445c5ebd06ff9aed20b,"Bug 900549 - install gcc 4.7.3 for testing purposes. r=nfroyd

--HG--
rename : gcc47/centos6-x86_64/gcc47.spec => gcc47/centos6-x86_64/gcc473.spec",Rail Aliiev,2013-08-01T19:29:04Z,Rail Aliiev,Rail Aliiev,206,206,0
4,build-rpm-sources,189e0c26432b8b46653306faa7e60613c2136f6a,"Bug 856763 - Build and deploy gcc 4.5.4 on all linux/linux64 build slaves. r=Callek

--HG--
rename : gcc45/centos6-i686/gcc45.spec => gcc45/centos6/gcc45.spec
rename : gcc45/centos6-i686/plugin_finish_decl.diff => gcc45/centos6/plugin_finish_decl.diff
rename : gcc45/centos6-i686/pr49911.diff => gcc45/centos6/pr49911.diff
rename : gcc45/centos6-i686/r159628-r163231-r171807.patch => gcc45/centos6/r159628-r163231-r171807.patch",Rail Aliiev,2013-04-05T14:24:48Z,Rail Aliiev,Rail Aliiev,59,16,43
5,build-rpm-sources,9c6f628e17be81b135f2b8119cccdc88b3ef6b23,Bug 850829 - Build and deploy gcc 4.7 on all linux/linux64 build slaves. r=jhopkins,Rail Aliiev,2013-03-21T19:54:03Z,Rail Aliiev,Rail Aliiev,203,203,0
6,build-rpm-sources,04057d0018309797ae98d721007b2d35db6d3ca4,Bug 827354 - rebuild mock gcc with --disable-gnu-unique-object. r=catlee,John Hopkins,2013-02-06T14:57:05Z,jhopkinsmoz,jhopkinsmoz,207,207,0
7,build-rpm-sources,765dac016811fd7835521a6b4fe538922c29baf9,"Bug 769099 - deploy new NDK (r8c) for use on production releng systems. r=Callek

--HG--
rename : android-ndk/centos5-i686/android-ndk8.spec => android-ndk/centos6-i686/android-ndk8.spec",Rail Aliiev,2012-12-22T00:36:13Z,Rail Aliiev,Rail Aliiev,0,0,0
8,build-rpm-sources,f7781d7c322cf7bee2486a5ae4e828b2e41c4023,Bug 769099 - deploy new NDK (r8c) for use on production releng systems. r=rail,Kartikaya Gupta,2012-12-22T00:11:57Z,Kartikaya Gupta,Kartikaya Gupta,41,41,0
9,build-rpm-sources,3d8b4edbe0e8b89ce154cd1b8df4d94630fba979,Bug 775720 - move tarball creation instructions to wiki,Chris Cooper,2012-08-20T16:43:37Z,ccooper,ccooper,23,5,18
