,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build-tooltool,bad6db734ffe6b426ec52624fb65b88fe3a2387a,fix issues from renaming instance variables,John Ford,2012-02-12T01:38:05Z,jhford,jhford,6,3,3
1,build-tooltool,6d250680aec7ecd4809f74085c44aa956818cb32,better error message when trying to fetch file that is local but invalid,John Ford,2012-02-12T01:37:39Z,jhford,jhford,502,501,1
2,build-tooltool,e2ff54b88b476a40c58523220e7717c6cb65138a,rename instance variables from aside to manifest,John Ford,2012-02-12T00:30:41Z,jhford,jhford,120,60,60
3,build-tooltool,19f2bf80a07a168b99b5ef2e5dff09628a839319,rename AsideFile to Manifest does not rename instance variable names,John Ford,2012-02-11T23:33:53Z,jhford,jhford,48,24,24
4,build-tooltool,877f6300341d9607ca2433aa1ad10fd6ae4550db,use better variable names and fix a bug,John Ford,2012-02-11T20:49:58Z,jhford,jhford,6,3,3
5,build-tooltool,44774b31b55492f29282f5414246b7c1a313b69f,fix gitignore file,John Ford,2012-02-11T20:47:29Z,jhford,jhford,8,4,4
6,build-tooltool,ecb8d810caf37141b86c393a517c8354eb10c080,Be able to fetch files from http server,John Ford,2012-02-11T20:41:47Z,jhford,jhford,95,95,0
7,build-tooltool,82ae2d05bde5bca24c761fe0b468c61f0277fa30,use explicit manifest and do no recursion,John Ford,2012-02-11T20:39:45Z,jhford,jhford,111,46,65
8,build-tooltool,e5281c1a15edd96a9297f91aec6461f3dd6dca03,minor changes,John Ford,2012-02-11T20:37:19Z,jhford,jhford,6,5,1
9,build-tooltool,18bd2c85521c408bbcaace8f39fef21739e6fa62,add some files to ignore,John Ford,2012-02-11T20:36:32Z,jhford,jhford,4,4,0
10,build-tooltool,4c2a3b2c38c26580a6c232509e56ad182cfba376,rename from lookaside to tooltool,John Ford,2012-02-10T22:45:52Z,jhford,jhford,64,32,32
11,build-tooltool,8b648ba8ad1e4aa19496c195ea43448406b453cc,change to sha512 and other changes,John Ford,2012-02-10T22:44:00Z,jhford,jhford,43,26,17
12,build-tooltool,749965a31961009fa9e9e2f4fd99cb72dd3d9800,updates,John Ford,2012-02-09T02:42:39Z,jhford,jhford,92,41,51
13,build-tooltool,08f0dbc27bb7820002fa9e5b72d8d91bc43c0719,some bad ideas,John Ford,2011-10-23T20:49:39Z,jhford,jhford,34,15,19
14,build-tooltool,df366813ced8986b35619afeea46544107387347,be able to list tracked files,John Ford,2011-10-23T20:33:07Z,jhford,jhford,86,58,28
15,build-tooltool,08f067b8a5696a933f448ed9db4153b32f7fdc21,test aside file operations beginning,John Ford,2011-10-23T19:46:02Z,jhford,jhford,76,68,8
16,build-tooltool,7a4aceceb937f595ec8a8b53ed163db2cbc3343f,rename hash_file to digest_file,John Ford,2011-10-23T16:03:22Z,jhford,jhford,14,7,7
17,build-tooltool,27e206318c1f47e2bce1e17b31c6f35c0b6da5c6,write a __repr__ function that is useful,John Ford,2011-10-23T16:01:49Z,jhford,jhford,14,11,3
18,build-tooltool,257a875483a0a40beb7313019154bfa62687a16a,finished tests for FileRecord and AsideFile,John Ford,2011-10-23T15:40:28Z,jhford,jhford,44,32,12
19,build-tooltool,98e4e4f3b1ae7a0945cc34749017c6e292b1f688,implement aside file with tests,John Ford,2011-10-23T07:45:47Z,jhford,jhford,273,213,60
20,build-tooltool,86739e55f286967b7becb748fb3bd09e5265c0c8,improvements to the JSON read/write portions,John Ford,2011-10-23T00:43:35Z,jhford,jhford,102,64,38
21,build-tooltool,d1c9e7ba41f0d72b4ade37d2d778f6b51751248c,code and tests for FileRecord and JSON[En|De]Coders,John Ford,2011-10-23T00:05:50Z,jhford,jhford,108,96,12
22,build-tooltool,a6ae50360be4e9acf082a632c701704f761c2935,Create a FileRecord class and its tests,John Ford,2011-10-22T22:10:08Z,jhford,jhford,122,118,4
23,build-tooltool,e61ccfe6257d5013ab5a8408c50adb566f378f67,initial testing infrastructure,John Ford,2011-10-22T19:56:52Z,jhford,jhford,38,38,0
