,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,build.webmaker.org,1bd665d50d3aac4340f1fcac8fcbf43f87c8b6f3,add markdown processing of descriptions; tweak layout of issues in heartbeat,David Ascher,2015-02-08T00:43:30Z,davidascher,davidascher,28178,28132,46
1,build.webmaker.org,b0c6cc19e3684b704e98872781e3f1e290a3f57d,add specific info re: github token permission requirements,David Ascher,2015-02-08T00:12:27Z,davidascher,davidascher,2,1,1
2,build.webmaker.org,cb71af4f36392b949f925efc14be8dd22e45a7ac,"ask for decider and driver on intake, show roles in heartbeat listing",David Ascher,2015-02-08T00:08:01Z,davidascher,davidascher,30109,3554,26555
3,build.webmaker.org,6ceb2639f25b21fbf5357baba866c5b11d24f4b6,make filter box topmost,David Ascher,2015-02-06T18:22:13Z,davidascher,davidascher,1,1,0
4,build.webmaker.org,4c03751e17a6a418fa4a970ce404f2f649684cd1,forgotten modules,David Ascher,2015-02-06T18:10:19Z,davidascher,davidascher,1,1,0
5,build.webmaker.org,f03f38a05cfef09147719f5a1bd3eba283f6a3b7,not quite finished raci parsing,David Ascher,2015-02-06T18:06:36Z,davidascher,davidascher,26910,26455,455
6,build.webmaker.org,7d72a6cfbf8962de6ea114f5addde92685fc7ae0,"Merge pull request #37 from secretrobotron/audience

""Our Audience"" page",Bobby Richter,2015-02-06T16:34:53Z,secretrobotron,secretrobotron,28275,27665,610
7,build.webmaker.org,4436613062a05478a33de7f413d50721d5f5b17e,"""Our Audience"" page

1. ""Our Audience"" page, nav, and assets.
2. App routing to make it work.
3. README update to /really/ start the liveserver.",secretrobotron,2015-02-04T17:08:38Z,secretrobotron,secretrobotron,28275,27665,610
8,build.webmaker.org,e00bf46673618036dfbc10c492d6d3e0f8e27981,add the ability to quickly filter heartbeat pages,David Ascher,2015-02-06T01:19:13Z,davidascher,davidascher,1013,766,247
9,build.webmaker.org,abfccf3d48812ee7b39b58ce08d0e84fb0fe0dec,move away from hashtag URLs,David Ascher,2015-02-06T00:08:44Z,davidascher,davidascher,32,25,7
10,build.webmaker.org,81872fe056719dd0a329ba664fccfe9dc5f938d6,make the server restart when server code changes,David Ascher,2015-02-05T23:54:42Z,davidascher,davidascher,21,21,0
11,build.webmaker.org,c8ef543c14cf3940e3980139f82b97c779dbd52c,Design Assets -> Design,David Ascher,2015-02-05T06:21:06Z,davidascher,davidascher,26,11,15
12,build.webmaker.org,1c419d93aa538a4d8c8b1d12b865b62e71f533a2,bring back build,David Ascher,2015-02-05T06:10:29Z,davidascher,davidascher,2,1,1
13,build.webmaker.org,894e112edfda16da492b2f9b9913b5199df99a64,re-add travis.yml,David Ascher,2015-02-05T05:26:07Z,davidascher,davidascher,88,73,15
14,build.webmaker.org,e67824c947eab3264cc43227cc1ec8d757a9bbc8,adjust readme,David Ascher,2015-02-04T07:33:32Z,davidascher,davidascher,17,9,8
15,build.webmaker.org,554cb3959cef254926bf89ca8eec0b7d623dd7e9,simplify gulp for my dev needs,David Ascher,2015-02-04T07:24:17Z,davidascher,davidascher,216,183,33
16,build.webmaker.org,c26201f99dfcb4ae4f73456db9d651cf5a395729,"pluralize, minor tweaks",David Ascher,2015-02-04T06:28:02Z,davidascher,davidascher,1109,800,309
17,build.webmaker.org,2187eb8e234ba94ea351170e1e052625d1ab6667,"remove junk, use right README file",David Ascher,2015-02-04T06:14:24Z,davidascher,davidascher,439,31,408
18,build.webmaker.org,c0f991cce6b67f901ba9d9fca7580fdd915dd81f,split out components into many files,David Ascher,2015-02-04T06:09:17Z,davidascher,davidascher,2721,1408,1313
19,build.webmaker.org,25a284083d97d8ecbe408cd5278582e1ceafe877,layout tweaks,David Ascher,2015-02-04T05:24:45Z,davidascher,davidascher,5,3,2
20,build.webmaker.org,74cd12f8045580f52424376f60ddced9cd921a13,adding more dashboardiness,David Ascher,2015-02-04T04:47:27Z,davidascher,davidascher,427,389,38
21,build.webmaker.org,5a1ef4c4e3125b80eaa076caaba8a54e7a42bb97,add fontawesome CDN and fix whitespaces,David Ascher,2015-02-04T00:15:24Z,davidascher,davidascher,31,16,15
22,build.webmaker.org,35a3bb144e44308678be73ff3bca90ff7e0bc442,fix broken link and do microadjustments of icons in sidebar,David Ascher,2015-02-03T22:54:39Z,davidascher,davidascher,55,35,20
23,build.webmaker.org,0b314fbe6562e3da04e8e72773e8713de2fd9038,broken link,David Ascher,2015-02-03T20:26:14Z,davidascher,davidascher,2,1,1
24,build.webmaker.org,3bbed774ccbfd126cd0e76a3f7af0a7b7fb25f8f,fix issue w/ milestones in the past that still have open issues,David Ascher,2015-02-03T20:21:24Z,davidascher,davidascher,20,19,1
25,build.webmaker.org,394d69a592fb9dcc737192aca1d0fbdbbb9100b4,the owners are the drivers,David Ascher,2015-02-03T19:59:55Z,davidascher,davidascher,4,2,2
