,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,call-congress,c9c6958883d7309c945d02705e2cb3a484ca685c,add restrict-nsa config,Adam Greenhall,2013-10-29T06:59:17Z,adamgreenhall,adamgreenhall,11,10,1
1,call-congress,f4e52eb91c5511ff25426b40765ca721c4a02604,"add voted with list and msg, added random set to call last, add authentication to stats",Adam Greenhall,2013-10-29T06:06:00Z,adamgreenhall,adamgreenhall,48,36,12
2,call-congress,b710335d11b29a862933573795f0343755b38ee0,"add voted with list and msg, added random set to call last",Adam Greenhall,2013-10-29T06:46:27Z,adamgreenhall,adamgreenhall,18,14,4
3,call-congress,b971293569f010a21bbf8d90fde991edf7fa3034,set secret key,Adam Greenhall,2013-10-29T06:28:57Z,adamgreenhall,adamgreenhall,5,5,0
4,call-congress,6f733a15da756867b4b27f1837d74656617d626d,access control,Adam Greenhall,2013-10-29T06:22:13Z,adamgreenhall,adamgreenhall,4,2,2
5,call-congress,25c0dd8e89b76b939e32dfb50ebcc5b9e2e4f625,add flask-googleauth to reqs,Adam Greenhall,2013-10-29T06:07:51Z,adamgreenhall,adamgreenhall,1,1,0
6,call-congress,562e6ea51e965e29ddb0f75a47df563f3cbe0110,add authentication to stats,Adam Greenhall,2013-10-29T06:06:00Z,adamgreenhall,adamgreenhall,26,17,9
7,call-congress,440c1809174368527fa368a59ddf4d48054daaa7,add basic stats reporting,Adam Greenhall,2013-10-05T19:24:16Z,adamgreenhall,adamgreenhall,30,29,1
8,call-congress,412945c8d5fa7e56b6afbbd3df151302dc110c55,fix: pass all params along from zip_parse,Adam Greenhall,2013-10-05T18:48:45Z,adamgreenhall,adamgreenhall,17,7,10
9,call-congress,9c6559532d0b0ab204a79901584f68b25e3aa4fb,put all call logging in models,Adam Greenhall,2013-10-05T18:43:02Z,adamgreenhall,adamgreenhall,41,25,16
10,call-congress,1e899403ad020ed3ed1062ae3a7776b80051ef96,fail safe commiting to db,Adam Greenhall,2013-10-05T18:25:06Z,adamgreenhall,adamgreenhall,8,6,2
11,call-congress,06f57fbca8ba8c852d61e7977625f468f8b4188b,"add test for filling in zipcode, making sure phone number gets passed along",Adam Greenhall,2013-10-05T18:24:35Z,adamgreenhall,adamgreenhall,15,13,2
12,call-congress,13ac653f28c9b70c10a181a3aa35b4f40dd6f5f5,test that calls are made correctly,Adam Greenhall,2013-10-04T20:20:38Z,adamgreenhall,adamgreenhall,8,7,1
13,call-congress,41b13c241ff6c5bc8d65d1a30ebe8758551f6c4e,fix: pass all params through zipcode parsing,Adam Greenhall,2013-10-04T19:47:42Z,adamgreenhall,adamgreenhall,62,36,26
14,call-congress,aa32543924d821c94f81fe808e25f5510805afcf,fix: route multiple calls and hangup using star,Adam Greenhall,2013-10-04T19:00:47Z,adamgreenhall,adamgreenhall,296,205,91
15,call-congress,77c405c1a567ea9d8657fe12e79456995cf21029,add tests for call completion,Adam Greenhall,2013-10-03T18:40:13Z,adamgreenhall,adamgreenhall,153,105,48
