,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,camdtest,b45ef0d0f288d5e0438ba2295f1e2db8fc42cd1b,"Merge pull request #16 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Cameron Dawson,2019-03-29T22:34:03Z,Cameron Dawson,Cameron Dawson,15,15,0
1,camdtest,a341ad5ed9ca8ae15d089888b4c6b1e7be331b66,"Add Mozilla Code of Conduct file

Fixes #15.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-29T22:01:31Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
2,camdtest,74dffa2c76e3d06e3ff60e2c581e3dcc74c5b3bd,eee,Cameron Dawson,2016-11-09T00:31:08Z,Cameron Dawson,Cameron Dawson,3,2,1
3,camdtest,accdcdc64ecae885fa58587c1a849308e146fe2b,mlee,Cameron Dawson,2016-09-13T18:54:41Z,Cameron Dawson,Cameron Dawson,2,2,0
4,camdtest,35d8693846b68f69a8d4c0deeeef676e19dfcaf6,hep hep,Cameron Dawson,2016-09-12T20:15:15Z,Cameron Dawson,Cameron Dawson,1,1,0
5,camdtest,44d59b10e2425c4f69870c5b516592bf81a88c88,hep hep,Cameron Dawson,2016-09-12T16:32:59Z,Cameron Dawson,Cameron Dawson,1,1,0
6,camdtest,0ecd84f130b16613d17a2d11d5f062dd9662288e,stuff,Cameron Dawson,2016-09-09T17:17:33Z,Cameron Dawson,Cameron Dawson,1,1,0
7,camdtest,073ee019fb767ec1d26605b978590b2810878b3c,stuff,Cameron Dawson,2016-09-09T15:39:14Z,Cameron Dawson,Cameron Dawson,1,1,0
8,camdtest,ce47f3ad5047a9d82c72cbdb4cdd352a36c99119,stuff,Cameron Dawson,2016-09-09T15:38:29Z,Cameron Dawson,Cameron Dawson,1,1,0
9,camdtest,7e76f43a498f0f1e424da342ede3ef046206646a,stuff,Cameron Dawson,2016-09-09T06:18:53Z,Cameron Dawson,Cameron Dawson,1,1,0
10,camdtest,0631be45c346d0619938da2d7c6a8c6336e9f168,stuff,Cameron Dawson,2016-09-09T06:15:10Z,Cameron Dawson,Cameron Dawson,1,1,0
11,camdtest,6cc3acedb1fb5b5aeb941239ce3e80bb7deb5b12,stuff,Cameron Dawson,2016-09-09T06:11:42Z,Cameron Dawson,Cameron Dawson,1,1,0
12,camdtest,51adf33071d8eced36a89f058e489f449da9f515,stuff,Cameron Dawson,2016-09-09T06:10:31Z,Cameron Dawson,Cameron Dawson,1,1,0
13,camdtest,cca686c5107c05d1ed098aebac750e324601eb74,stuff,Cameron Dawson,2016-09-09T00:29:55Z,Cameron Dawson,Cameron Dawson,32,1,31
14,camdtest,922836aed420625618d274c782f8f29c9c84d1ab,1cc,Cameron Dawson,2016-08-22T16:51:26Z,Cameron Dawson,Cameron Dawson,1,1,0
15,camdtest,f5f96e2a23a2f7f3cc5ebe8e18745683657c463b,1bb,Cameron Dawson,2016-08-22T16:51:15Z,Cameron Dawson,Cameron Dawson,1,1,0
16,camdtest,d00b4572a5f4f336b00dcdac538434fb2f6b7738,1aa,Cameron Dawson,2016-08-22T16:51:05Z,Cameron Dawson,Cameron Dawson,1,1,0
17,camdtest,c903256323935a8289125838d44ccd45a163c160,"Merge pull request #11 from mozilla/pr3

Pr3",camd,2016-08-22T16:32:23Z,camd,camd,4,4,0
18,camdtest,1bf1748c6c454a0f280c5402a9e758355a5fc60e,4th,Cameron Dawson,2016-08-20T00:18:19Z,Cameron Dawson,Cameron Dawson,2,1,1
19,camdtest,7ad22fb6c389cdd77d6eebe1027a2db0f6941cfb,3rd,Cameron Dawson,2016-08-20T00:13:59Z,Cameron Dawson,Cameron Dawson,2,2,0
20,camdtest,25d474bcff01601bdb8c71f7bd9b1e23dd92bd4d,2nd,Cameron Dawson,2016-08-20T00:13:43Z,Cameron Dawson,Cameron Dawson,1,1,0
21,camdtest,f32adc123623d136eee29c6f895b5ccfb8a6e04a,1st,Cameron Dawson,2016-08-20T00:13:33Z,Cameron Dawson,Cameron Dawson,1,1,0
