,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,captain,70c727b2263b5b5348d442ef204f5a85f1748341,"Bug 1091929: Add new deployment script and command for web heads.

Allows for deploying directly to a web head for use by captain staging
and dev.",Michael Kelly,2014-10-31T20:17:07Z,Michael Kelly,Michael Kelly,83,83,0
1,captain,cb231a3e053a2a10c3b20ff0e2265d60aea09da3,Add heartbeat_interval to all RabbitMQ connections.,Michael Kelly,2014-10-31T17:47:23Z,Michael Kelly,Michael Kelly,3,2,1
2,captain,ea66a14570baad77e1f57ee335b7f52a79ebd8d8,blah,Michael Kelly,2014-10-30T21:47:21Z,Michael Kelly,Michael Kelly,2,1,1
3,captain,b7901325a7d4c0a8d73a3a90c992e5a447a146e9,In case anyone was worried.,Michael Kelly,2014-10-15T18:51:53Z,Michael Kelly,Michael Kelly,2,1,1
4,captain,421ad2ab422bdef3b3b377a3307d3d7bc8f32e85,Small change mostly to test deployment.,Michael Kelly,2014-10-03T20:05:50Z,Michael Kelly,Michael Kelly,2,1,1
5,captain,d1122eef211b9b173297b98d314a393576b6c263,Attempt to fix compiled requirements to make Travis happy.,Michael Kelly,2014-08-22T13:14:26Z,Michael Kelly,Michael Kelly,4,2,2
6,captain,2b22f8ae32c612d0eadd7d57f8e6011da87e5f22,Tests and tweaks.,Michael Kelly,2014-08-13T03:19:40Z,Michael Kelly,Michael Kelly,655,478,177
7,captain,5bc94171e20cab0e6281599d17a0ee0825625df9,#25: Add new log page for commands sent to multiple hosts.,Michael Kelly,2014-08-11T19:04:44Z,Michael Kelly,Michael Kelly,121,113,8
8,captain,71a666707268d1de3a2e8722a48469a3304967c9,Update to latest bootstrap and include JS.,Michael Kelly,2014-08-11T17:41:23Z,Michael Kelly,Michael Kelly,254,246,8
9,captain,33d472921bd51b34d1c5b3a3a6b011c80c8c2f24,#25: Allow user to specify which hostnames to run scheduled commands on.,Michael Kelly,2014-08-11T01:55:31Z,Michael Kelly,Michael Kelly,48,43,5
10,captain,1a308267826b580f557834ac2c625d87333a19f7,"#25: Associate ShoveInstances with projects and run commands on them.

Shove now informs Captain of the projects that it can run commands for,
and Captain in turn allows the user to specify which ShoveInstances they
want their command to run on.",Michael Kelly,2014-08-09T04:50:20Z,Michael Kelly,Michael Kelly,717,637,80
11,captain,486c2551b8c47230e0698ee4b54d226c4ce0ce7a,#25: Add ShoveInstance model and command to keep the table up-to-date.,Michael Kelly,2014-08-05T15:51:53Z,Michael Kelly,Michael Kelly,289,261,28
12,captain,bb7c4310e0b314fe966359fa9968f72ad8ec3213,Add link to Bugzilla for reporting issues when things break.,Michael Kelly,2014-01-06T19:10:05Z,Michael Kelly,Michael Kelly,1,1,0
13,captain,696ff8cfb8789b9b3196499c9e7cb36b49f8c720,"Merge pull request #21 from Osmose/heartbeat

Add a heartbeat command for keeping the network active.",Brandon Burton,2013-12-20T13:41:58Z,solarce,solarce,97,95,2
14,captain,e7047df72ef5bb6f9b5eefc8032c66d1b21f7550,whoops,Michael Kelly,2013-12-19T19:36:41Z,Michael Kelly,Michael Kelly,2,1,1
15,captain,c0eea9ecb691e1e08496089337c382d28b5d3beb,"By default, log errors to syslog.",Michael Kelly,2013-12-19T19:10:57Z,Michael Kelly,Michael Kelly,14,8,6
16,captain,97ebcea5c63e69bb5b72924146c2b5dedd388dc4,"Merge pull request #23 from solarce/master

adds timestamp to logging output, fixes #22",Brandon Burton,2013-12-17T20:01:50Z,solarce,solarce,4,2,2
17,captain,221af3c7e3fb0e35f1d66e3986eea5d84ab98de4,"adds timestamp to logging output, fixes #22",Brandon Burton,2013-12-17T20:00:06Z,solarce,solarce,4,2,2
18,captain,63cf9d4fb481ea417135fa73d51290e066264244,"Bug 937643: Add a heartbeat command for keeping the network active.

Avoids intermittent issues where our RabbitMQ connections are dropped
due to low traffic by the firewalls.",Michael Kelly,2013-12-16T22:51:53Z,Michael Kelly,Michael Kelly,97,95,2
19,captain,0a9ff1c2a74344971278395b4d1a3a892a62b4b6,"Remove vhost mention in docs, it implies something that's not right.

With the vhost paragraph, it looks like vhosts are an alternative to
per-user permissions, when in fact they are an integral mechanism in
permissions, which, as far as I can tell, are per-user always.",Michael Kelly,2013-12-03T21:25:28Z,Michael Kelly,Michael Kelly,3,0,3
20,captain,95d9d1078cd006c30bfda186f7d888a50b6fbc74,Default session and CSRF cookies to be secure.,Michael Kelly,2013-11-12T15:27:05Z,Michael Kelly,Michael Kelly,7,6,1
21,captain,2a40c4157a159265ee1f326bb5c5b050be5cbfc3,Tweak push script to not append a bunch of info to revision.txt.,Michael Kelly,2013-11-11T21:34:32Z,Michael Kelly,Michael Kelly,22,11,11
