,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,ceci,77452d4acd9fb62a67dd4eddb5d2d5fa1d4832ab,"Merge branch 'master' of github.com:simonwex/ceci Including James' builder.

Conflicts:
	ceci.js",Simon Wex,2013-08-16T18:36:30Z,simonwex,simonwex,584,582,2
1,ceci,d566028e0893c04b20af170e67e20ce81df9be83,"Merge pull request #1 from jrburke/builder

init",Simon Wex,2013-08-16T18:17:03Z,simonwex,simonwex,580,580,0
2,ceci,936f03593fbd148ac13f5e41643fb6d39cb92ad9,init,jrburke,2013-08-16T01:00:52Z,jrburke,jrburke,580,580,0
3,ceci,06070a98f1fcd76fd9ae80487edec3f91247b3e5,"enabled 'does not listen' for potential listeners, defaults to blue if defaultListener",Pomax,2013-08-15T19:16:55Z,Pomax,Pomax,58,35,23
4,ceci,22f564506876127340408d1fc248e4f900f7ed5e,Setting default components to be heroku-hosted components.,Simon Wex,2013-08-15T06:53:29Z,simonwex,simonwex,4,2,2
5,ceci,dffdfd8dec3568ecc519e84d4bcd409cf55333ba,Ignoring null listeners,Simon Wex,2013-08-15T06:53:11Z,simonwex,simonwex,10,7,3
6,ceci,0e696a65ed7a09adbc58af396ab914e172134a1e,"Merge pull request #9 from Pomax/channeladmin

channel admin fix - remove+add event listening",Simon Wex,2013-08-14T22:18:24Z,simonwex,simonwex,64,40,24
7,ceci,dc1dd8f2c54ba90b35923660d762ac1671a1c7f1,channel admin fix - remove+add event listening,Pomax,2013-08-13T23:35:12Z,Pomax,Pomax,64,40,24
8,ceci,885bad28e7bb3efb4e7df06c5039255007d5abfa,"Merge pull request #8 from Pomax/channeladmin

broadcast and subscription administration",Simon Wex,2013-08-13T21:32:51Z,simonwex,simonwex,69,49,20
9,ceci,c238546ae59e1023962d28b3ba4349ba3475b400,"Merge pull request #7 from Pomax/master

added element.subscriptionListeners,",Simon Wex,2013-08-13T21:32:39Z,simonwex,simonwex,4,3,1
10,ceci,956155b8dff0856267ea304877ab94e18042c6a0,default listener is now a real function name,Pomax,2013-08-13T20:15:22Z,Pomax,Pomax,46,22,24
11,ceci,72b874d8211c3fcad62672f912b4e680fc25360c,accidental code left in,Pomax,2013-08-13T20:00:41Z,Pomax,Pomax,40,17,23
12,ceci,45ee7b0545201c09daca50eb8db3f58d24d9919a,"if no default, default listener is listener[0]",Pomax,2013-08-13T19:55:48Z,Pomax,Pomax,7,5,2
13,ceci,b1f4a01b6269c04623afc5ad58d13c560dbdf0ef,subscription and broadcast administration,Pomax,2013-08-13T18:04:01Z,Pomax,Pomax,56,45,11
14,ceci,34d19d6031cf60eafc72154f310a819417b60b81,"added element.subscriptionListeners, for the list of consuming functions on an element",Pomax,2013-08-13T00:48:27Z,Pomax,Pomax,4,3,1
15,ceci,8dd29c5bf79ba5ccc470482088b3993a609181c8,"Merge pull request #6 from Pomax/master

added an element.getEditableAttributes()",Simon Wex,2013-08-13T00:04:54Z,simonwex,simonwex,10,8,2
