,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,chatspaces,efe09478f1a55328815ddb971746d9c53330ba16,version bump for parallax,Jennifer Fong,2013-11-07T20:53:21Z,Jennifer Fong,Jennifer Fong,9,7,2
1,chatspaces,cc9f21b122250a563834e8d3d942829cd8cab64d,fixed layout issue,Jennifer Fong,2013-11-07T20:04:32Z,Jennifer Fong,Jennifer Fong,18,12,6
2,chatspaces,12b13b80ae67c739857ed0c499b80fa153abcc8d,fixed recipient css,Jennifer Fong,2013-11-07T04:25:53Z,Jennifer Fong,Jennifer Fong,12,8,4
3,chatspaces,52fc40fdf4933ef12a3e1992bf63510d61ba15e8,fixed userhash during delete,Jennifer Fong,2013-11-07T00:24:12Z,Jennifer Fong,Jennifer Fong,2,1,1
4,chatspaces,563a110aa5f088551810dee47150859e3152f308,fixed notifications,Jennifer Fong,2013-11-06T23:52:33Z,Jennifer Fong,Jennifer Fong,10,7,3
5,chatspaces,8887dd8361a8abdffd0a2b4a7266c1ca0558630e,clear video after form resets,Jennifer Fong,2013-11-06T21:59:58Z,Jennifer Fong,Jennifer Fong,37,23,14
6,chatspaces,bd9a79934befd4ef67f374768ad8b4c39864ae15,fixed username bug,Jennifer Fong,2013-11-06T21:39:04Z,Jennifer Fong,Jennifer Fong,28,15,13
7,chatspaces,cfb4ac3ea6181b33ce7cfef0f0cb2fda1e6bf89a,fixed new message toggle,Jennifer Fong,2013-11-06T21:31:47Z,Jennifer Fong,Jennifer Fong,7,3,4
8,chatspaces,bebd52bf0500ca1fb6bef1c257fb9d7d00061d0a,fixed all my janky css stuff in the controllers,Jennifer Fong,2013-11-06T21:25:05Z,Jennifer Fong,Jennifer Fong,172,99,73
9,chatspaces,fd7ad91796fbf0d645fff5664b011b046d188f4f,fallback to polling,Jennifer Fong,2013-11-06T19:36:37Z,Jennifer Fong,Jennifer Fong,2,1,1
10,chatspaces,7819ad8c974ef7ce1c75c8aef9fe0258c7f9bcfd,moved friend loading to services,Jennifer Fong,2013-11-06T19:35:13Z,Jennifer Fong,Jennifer Fong,93,49,44
11,chatspaces,fb4023fe6fe378e5d0cc5c4456e1678453bbe3a1,refactor beforeFilter stuff as run; fixed username check,Jennifer Fong,2013-11-06T19:03:14Z,Jennifer Fong,Jennifer Fong,188,97,91
12,chatspaces,e13ea47c2fc5737ebb33bfac06e9f10efde4c5ef,oops,Jennifer Fong,2013-11-06T15:08:36Z,Jennifer Fong,Jennifer Fong,10,8,2
13,chatspaces,ec99578ce9f7dc2a7f259d395d3f3009bfef590e,change blocked scope and version bump for parallax,Jennifer Fong,2013-11-06T02:50:40Z,Jennifer Fong,Jennifer Fong,29,13,16
14,chatspaces,ecfb6fddff9506ccb12fd19858d3a959bd15798b,added block/unblock functionality,Jennifer Fong,2013-11-06T02:13:47Z,Jennifer Fong,Jennifer Fong,327,256,71
15,chatspaces,02a7577910859bb842be797a1d1849bbb4123552,"moved callback, updated parallax version",Jennifer Fong,2013-11-05T16:23:14Z,Jennifer Fong,Jennifer Fong,5,2,3
16,chatspaces,2b79e311b337421764fd7dbcc5a631ed0a7430f7,verify it sends to at least 1 friend,Jennifer Fong,2013-11-05T05:04:56Z,Jennifer Fong,Jennifer Fong,60,34,26
17,chatspaces,9e13b824fa8d0db70747c1b42383466b545be955,fixed form layout,Jennifer Fong,2013-11-05T04:54:21Z,Jennifer Fong,Jennifer Fong,70,59,11
18,chatspaces,c0df9d45a7ff4206b8a742dd34954a9378bdcfda,minor cleanup,Jennifer Fong,2013-11-05T03:00:26Z,Jennifer Fong,Jennifer Fong,9,2,7
19,chatspaces,cf83e08c5668840ccab9b057a375377ea5181b73,refactoring gumhelper to match code format; updated some css,Jennifer Fong,2013-11-05T01:06:59Z,Jennifer Fong,Jennifer Fong,308,135,173
20,chatspaces,0e71c0d78cf5ad79ca11c5df9b4816d36e89edef,delete chat functionality; some css cleanup,Jennifer Fong,2013-11-01T21:07:22Z,Jennifer Fong,Jennifer Fong,136,114,22
21,chatspaces,e24a1017123cc8d021b521a89b4e4868d2a47c38,css fixes for responsive layouts,Jennifer Fong,2013-11-01T17:53:22Z,Jennifer Fong,Jennifer Fong,94,66,28
22,chatspaces,a1183961583251a6d4e4d98d7ce7b5f5c38947ec,remove user support,Jennifer Fong,2013-11-01T04:16:59Z,Jennifer Fong,Jennifer Fong,120,111,9
23,chatspaces,5e7701220349c059cd1566ef9a7429596b81f145,fixed duplication error,Jennifer Fong,2013-10-31T23:15:56Z,Jennifer Fong,Jennifer Fong,13,3,10
24,chatspaces,aceb1e62b0f2a7964cbf513a81cf2914ccc75548,updating css; fixed version of parallax,Jennifer Fong,2013-10-31T23:04:46Z,Jennifer Fong,Jennifer Fong,48,36,12
25,chatspaces,0268125b361df666a0e51772a88619307f90b78e,highlight selected friend message view,Jennifer Fong,2013-10-30T23:51:02Z,Jennifer Fong,Jennifer Fong,17,13,4
26,chatspaces,433195124b3f01ab4dd89ccc5d1075ebc8872794,fixed error with loading gumhelper,Jennifer Fong,2013-10-30T23:00:21Z,Jennifer Fong,Jennifer Fong,10,1,9
27,chatspaces,e933cc10a31ad8288719276a2bab7f8cebf8d4e0,updated gumhelper,Jennifer Fong,2013-10-29T23:30:18Z,Jennifer Fong,Jennifer Fong,213,114,99
28,chatspaces,624d6a1379ecf452c2f42c8485ccb49c932a641e,fixed broadcasting and css layout,Jennifer Fong,2013-10-29T22:46:12Z,Jennifer Fong,Jennifer Fong,80,71,9
29,chatspaces,b58ab60e68b806dc3a50335e6ff57b0d9d1f4ee0,fixed message key mixup,Jennifer Fong,2013-10-29T19:40:48Z,Jennifer Fong,Jennifer Fong,50,33,17
30,chatspaces,5dcd97a61d5636d8368a6dcf27126b00f399f531,fixed auto add of friends,Jennifer Fong,2013-10-29T17:47:21Z,Jennifer Fong,Jennifer Fong,44,38,6
31,chatspaces,42c7c6b7ad7013ac9796bf2312db23e79bfbd151,associate username record with userhash,Jennifer Fong,2013-10-29T16:34:54Z,Jennifer Fong,Jennifer Fong,2,1,1
32,chatspaces,b16555860ae16e08fe33de66305680aca239613f,remove gravatar module,Jennifer Fong,2013-10-29T16:31:53Z,Jennifer Fong,Jennifer Fong,18,10,8
33,chatspaces,3c9c267d96da004bb1a3c1c5503f001cb2c7b69f,fixed bug with username selection on first login,Jennifer Fong,2013-10-29T15:01:35Z,Jennifer Fong,Jennifer Fong,33,16,17
34,chatspaces,dcedb6a351c8f93e32a451863a3cff028dcc5a78,switch to userhash,Jennifer Fong,2013-10-29T04:38:01Z,Jennifer Fong,Jennifer Fong,72,56,16
