,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,chromeless,4b803143b41d8ce47dde9b1dd431ffcd63dc0f03,Moved test suite to booster-tests.js,Atul Varma,2009-09-14T16:14:21Z,Atul Varma,Atul Varma,103,88,15
1,chromeless,8a779b1d988e47563e5dc9a98e33e0a1d8f75ee8,Refactored out a new SandboxFactory class.,Atul Varma,2009-09-14T14:13:52Z,Atul Varma,Atul Varma,124,74,50
2,chromeless,1a4e78cfb29e57f355520352742180dd1543d3a9,Origination.,Atul Varma,2009-09-14T12:48:21Z,Atul Varma,Atul Varma,166,166,0
3,chromeless,f5d60388e0559041e4fec10e71882da70d082ec2,Consistently use {} instead of new Object().,Edward Lee,2009-10-01T23:40:21Z,Mardak,Mardak,8,4,4
4,chromeless,ee73a506f87a9f6d2a1e49e01a84cf6fff94ce45,"Add tests for plain text console printing of objects with custom toString. Use Array.map for the arguments object and a wrapper around String, which already handles undefined/null values.",Edward Lee,2009-10-01T23:33:19Z,Mardak,Mardak,34,18,16
5,chromeless,963860613a8e14c04affcf0be5254053a14cb1bb,"Fixed a bug in traceback, though I didn't add a regression test b/c I'm not entirely sure how to make one.",Atul Varma,2009-09-30T20:02:43Z,Atul Varma,Atul Varma,2,1,1
6,chromeless,9532220a917b1d8752954bbf548c3d36c41859f8,Changed observer-service to explicitly unregister all still-registered observers on unload.,Atul Varma,2009-09-30T19:49:55Z,Atul Varma,Atul Varma,13,9,4
7,chromeless,9d994d2871799360e3cfcc2a15ac09d52b9be4b0,Removed observe() and ignore() from preferences-service for now,Atul Varma,2009-09-30T17:50:14Z,Atul Varma,Atul Varma,8,0,8
8,chromeless,412d1b86ba39e7d6c4c9196ca2f7e25bd75939cf,Renamed some things in pref tests,Atul Varma,2009-09-30T17:48:07Z,Atul Varma,Atul Varma,12,6,6
9,chromeless,23f115a972b9a33605a8763f8eb627b80e8e59d3,Added another preferences unit test,Atul Varma,2009-09-30T17:46:14Z,Atul Varma,Atul Varma,8,8,0
10,chromeless,a3130d0447dfd7ce7c43cf86930db233ef9792b2,Added preferences-service module w/ tests.,Atul Varma,2009-09-30T17:41:56Z,Atul Varma,Atul Varma,204,204,0
11,chromeless,86191bb49cf1c7b8c1fca4103df9889e19e87bdd,Added a test to observer-service that ensures that exceptions are logged.,Atul Varma,2009-09-30T15:49:32Z,Atul Varma,Atul Varma,12,10,2
12,chromeless,2009478e22d25db46d46738435655727df775a23,Added unload test to observer-service tests.,Atul Varma,2009-09-30T15:44:20Z,Atul Varma,Atul Varma,28,27,1
