,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,client-share-web,ce8b5a8b908af878c862875301335367e7ef04b4,couple different mockups and icons added,Andy Chung,2010-09-15T21:10:52Z,Andy Chung,Andy Chung,0,0,0
1,client-share-web,3c46d7c6c2d1e9a7b0aa1849a896871a37d408a9,add the accounts page to the index.html,Bryan Clark,2010-09-15T00:33:59Z,Bryan Clark,Bryan Clark,1,1,0
2,client-share-web,bfd761bb11bd9a0f5c19f07c3b1673b13c68792b,merge to tip,James Burke,2010-09-15T00:12:18Z,James Burke,James Burke,44,24,20
3,client-share-web,ce983c24d04d69bd673e5ae35403234076de8306,"some account work, and update of task list.",James Burke,2010-09-15T00:11:58Z,James Burke,James Burke,66,46,20
4,client-share-web,ad2b6ce3cbcf13045c3617ec9d33a258b0bbfbef,better hadnling of short & canonical urls,David Ascher,2010-09-14T22:36:40Z,David Ascher,David Ascher,44,24,20
5,client-share-web,2a527a577166cc5f019a1b37b0a1affef0a4f531,"on share success, pass more info back to extension for use in bookmarking, although not currently used. rename account to accounts",James Burke,2010-09-14T22:19:44Z,James Burke,James Burke,112,93,19
6,client-share-web,c49186c95ef75a2d67d84c3797236db9d4872149,merge,David Ascher,2010-09-14T21:21:42Z,David Ascher,David Ascher,0,0,0
7,client-share-web,94da56371eb2d1b74906f3f4a9feefe16fdcc097,oops,David Ascher,2010-09-14T21:21:29Z,David Ascher,David Ascher,1,0,1
8,client-share-web,09daa6315da0e1b86f4b12eebd9beafafe4bd087,merge to tip,James Burke,2010-09-14T21:19:30Z,James Burke,James Burke,259,243,16
9,client-share-web,42f67c426956411436b84bb9e1c5656adaf544d9,"Update max version for extension, rename disconnect to account.",James Burke,2010-09-14T21:19:16Z,James Burke,James Burke,0,0,0
10,client-share-web,befa6a9227d541665d6be022705403203ede4c9b,merge,David Ascher,2010-09-14T21:19:10Z,David Ascher,David Ascher,4,1,3
11,client-share-web,b8a1da7ca1c2ccbeb8640bb625bae7b86f801674,"add url shortening service (our own, disabled, bit.ly, enabled)",David Ascher,2010-09-14T21:18:46Z,David Ascher,David Ascher,259,243,16
12,client-share-web,8952638d8ef3c71c1ef71a653d95fa2fac5ab690,update the facebook URL to the authorized apps page,Bryan Clark,2010-09-14T20:12:36Z,Bryan Clark,Bryan Clark,4,1,3
13,client-share-web,86eadffc0730bcba50e96e149d60c97c00e65939,some notes for later on disconnect.,James Burke,2010-09-14T00:12:57Z,James Burke,James Burke,7,7,0
14,client-share-web,3c2c188b843c914552c684e27734b3debed6166e,"adding in a basic disconnect page, but still needs more work, needs the disconnect button to do something.",James Burke,2010-09-13T23:59:58Z,James Burke,James Burke,168,168,0
15,client-share-web,f96bf120fb8f1ff200a93990dfc095dac176aa57,merge update,mixedpuppy,2010-09-13T22:20:37Z,mixedpuppy,mixedpuppy,10,9,1
16,client-share-web,97abd16c5846fd4e9e672c218cad04e1affc4632,merge update,mixedpuppy,2010-09-13T22:19:40Z,mixedpuppy,mixedpuppy,10,9,1
17,client-share-web,6245072ab10fd69fd9c2cde7c69cab4f5da53758,"Send up userid and username in the form fields, and made form sending more generic. Now linkdrop can properly work if you oauth'd against two accounts from the same service (right now the UI just randomly picks one).",James Burke,2010-09-13T22:14:15Z,James Burke,James Burke,87,48,39
18,client-share-web,0467e3cba15af453ae28cc0f672dff3d2134c569,"some jslint changes to share/index.js, then hooking up sending full facebook data to facebook.",James Burke,2010-09-13T20:59:13Z,James Burke,James Burke,102,65,37
19,client-share-web,f993914f89be00ad85fc896cd9d542245a82f6f7,get the counter out of the way of the text box resize and the scroll bar,Bryan Clark,2010-09-10T22:35:52Z,Bryan Clark,Bryan Clark,2,1,1
20,client-share-web,1a3ba912f98f99613cc3478e8df3001d6ff8d277,minefield did not like that this variable was not declared,Bryan Clark,2010-09-10T22:32:39Z,Bryan Clark,Bryan Clark,1,1,0
21,client-share-web,0999b8114666279fb3d4bcc3a6fa34e2e552e02f,use the user info section for logging into the site,Bryan Clark,2010-09-10T22:16:39Z,Bryan Clark,Bryan Clark,20,17,3
22,client-share-web,b0beb20b52e9d0b71e6e40f1e4ce53d5fe28c594,only use the large button in the tab panels and not in the notification windows,Bryan Clark,2010-09-10T21:40:55Z,Bryan Clark,Bryan Clark,3,3,0
23,client-share-web,2b9b446db6fb2ce8a9b9afda9ffeac4adbde942e,use the large share buttons.  move the twitter counter into the text area.  start using some defined height sizes even though it feels wrong.,Bryan Clark,2010-09-10T21:35:52Z,Bryan Clark,Bryan Clark,39,23,16
24,client-share-web,3135e27ec4172d6ac06b0e4d0312118407901041,add the thumb back to twitter and show the urls available,Bryan Clark,2010-09-10T18:53:49Z,Bryan Clark,Bryan Clark,43,22,21
25,client-share-web,fd2e51d0ab2cee8f86954966c109e9cdd041b6e6,merge update,mixedpuppy,2010-09-10T02:24:47Z,mixedpuppy,mixedpuppy,2,1,1
26,client-share-web,a63ff90c033ad81ea7280ecb21e152001b2a3e08,"add csrf middleware to config, make rdapi use it",mixedpuppy,2010-09-10T02:24:28Z,mixedpuppy,mixedpuppy,2,1,1
