,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,cloudformation-cross-account-outputs,971f7345c4be3daf076af6202d6bf8128d4485a1,"Merge pull request #17 from mozilla/gene1wood-patch-1

Add example to README with filter expression",Gene Wood,2020-06-11T20:19:56Z,gene1wood,gene1wood,12,12,0
1,cloudformation-cross-account-outputs,840b790e143af0f4614e12fdccef8de5afb8e394,Add example to README with filter expression,Gene Wood,2020-03-19T02:42:19Z,gene1wood,gene1wood,12,12,0
2,cloudformation-cross-account-outputs,11b7dd359d2781869b702652bd34e1aaa0882d73,Add clarification about which stacks should be deployed in single region,Gene Wood,2019-05-15T21:28:22Z,gene1wood,gene1wood,8,4,4
3,cloudformation-cross-account-outputs,6f49c36b05ad53e94a0882d7ebec3b32f7451a0c,"Merge pull request #14 from Mozilla-GitHub-Standards/master

Add Mozilla Code of Conduct",Gene Wood,2019-04-08T14:57:10Z,gene1wood,gene1wood,15,15,0
4,cloudformation-cross-account-outputs,d96d3b8ff867733b7ec0e3f6c61e0a117e9729f9,"Add Mozilla Code of Conduct file

Fixes #13.

_(Message COC002)_",Mozilla-GitHub-Standards,2019-03-30T07:04:54Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,15,15,0
5,cloudformation-cross-account-outputs,5b14c717e1d1c52a6a4ac03d06071a24d054a225,"Merge pull request #11 from gene1wood/update-db-schema-to-gsi-and-id

Update db schema and add category field back in",Gene Wood,2019-01-30T15:56:10Z,gene1wood,gene1wood,158,103,55
6,cloudformation-cross-account-outputs,8d73c6cab6f0cc92cb6eac4b935845a4119d2564,"Update db schema and add category field back in

This updates the DB schema to version 4.0.0
This changes the partition key and sort key and establishes an additional Global Secondary Index
These changes facilitate querying for either the items in a given AWS account
or the items with a given category value",Gene Wood,2019-01-25T19:39:46Z,gene1wood,gene1wood,132,82,50
7,cloudformation-cross-account-outputs,6ac569c715702973f1a6647aa1f996d1143975f0,Add more tests to the test emission,Gene Wood,2019-01-25T19:37:45Z,gene1wood,gene1wood,26,21,5
8,cloudformation-cross-account-outputs,e8bd4bf605632f4bb4271a9883060fa536ee70eb,"Merge pull request #10 from gene1wood/improve-makefile

Improve makefile",Gene Wood,2019-01-23T20:03:41Z,gene1wood,gene1wood,12,12,0
9,cloudformation-cross-account-outputs,b5792b48c97d2d0eb6af23e71905fc683f77740f,Merge branch 'master' into improve-makefile,Gene Wood,2019-01-23T18:53:46Z,gene1wood,gene1wood,34,21,13
10,cloudformation-cross-account-outputs,7e083273908fde2d42df5d73fe1eae7950451a31,Add a second emission to the test,Gene Wood,2019-01-23T16:11:47Z,gene1wood,gene1wood,7,7,0
11,cloudformation-cross-account-outputs,ad0ade9de82185106737fcd54b653f12466d6217,"Improve Makefile

Break out all stack operations into separate make targets",Gene Wood,2019-01-23T16:11:31Z,gene1wood,gene1wood,59,51,8
