,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,clubs-events,d92bef436974451376a1a4c52664f0462d01d4e4,Fixed lists,mozilla,2017-04-05T17:06:01Z,flukeout,flukeout,22,11,11
1,clubs-events,df7dc0323584b623bd638baf8c791efabcdcf01d,Syntax test,mozilla,2017-04-05T17:05:26Z,flukeout,flukeout,4,2,2
2,clubs-events,5012522ef31996a08ba208f563d3f02fddd8fd0e,updates to read,mozilla,2017-04-05T17:04:19Z,flukeout,flukeout,77,55,22
3,clubs-events,b6006095790a6ea897a7b239dd81db954e8ae297,Some styling updates,mozilla,2017-03-10T21:15:50Z,flukeout,flukeout,93,49,44
4,clubs-events,f3adfeb5366a33c20764a1ae27534c89a70366b9,Hides the large photo when the popup is closed.,Luke Pacholski,2016-04-28T21:04:28Z,flukeout,flukeout,1,1,0
5,clubs-events,204080122ebcc628a23ec9a6cef4a3cb294b8868,Now showing a cover image (if available) on each event.,Luke Pacholski,2016-04-28T18:19:24Z,flukeout,flukeout,309,278,31
6,clubs-events,98fad21da1c43f12c0b5358a6ec14f963d56e893,Collapses the event description when its too long.,Luke Pacholski,2016-04-26T20:57:10Z,flukeout,flukeout,113,90,23
7,clubs-events,c731c8589d62c79dea0ac8492328e2a929f179d8,"Using a different way to access the spreadsheet now, which preserves line-breaks in the responses, which is awesome.",Luke Pacholski,2016-04-19T18:27:44Z,flukeout,flukeout,118,77,41
8,clubs-events,27df5758e1c2b9769fb10f1d4318ebe9792326b9,"Reduced the font size of the event summary in the Event Details popup, it's too big.",Luke Pacholski,2016-04-18T17:22:38Z,flukeout,flukeout,7,1,6
9,clubs-events,8d844f3985e9574f087e03c20833091e2ace1b29,Fixed styling on event date and making the twitter handle into a link,Luke Pacholski,2016-04-18T16:16:35Z,flukeout,flukeout,14,11,3
10,clubs-events,759160e90eade032fa140a7927fbef587cca2083,Some updates,Luke Pacholski,2016-04-15T21:53:44Z,flukeout,flukeout,86,55,31
11,clubs-events,4b7a99230bc66b832e8fb7583e4a0cb7e90a03b8,Some more updates,Luke Pacholski,2016-04-15T16:19:13Z,flukeout,flukeout,292,273,19
12,clubs-events,1fd422144f3c76e3207de61f156c7cf6bec00c05,"Added country count to results list, fixed date ordering",Luke Pacholski,2016-04-14T18:08:10Z,flukeout,flukeout,35,26,9
13,clubs-events,6dba466347c9e0c423d5b1dd68a9e527c85d4e5a,Made it so the counts update when you search,Luke Pacholski,2016-04-12T16:12:35Z,flukeout,flukeout,50,37,13
