,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,code-coverage-addon,668417afe5b02b6137ad37f5755229b8e0d9d004,Move button styling code to a CSS file,Marco Castelluccio,2017-12-18T23:38:35Z,marco-c,marco-c,29,18,11
1,code-coverage-addon,272b34dce4e42b0f59911ad8b345375de37dd84f,Move common code between dxr.js and searchfox.js in a separate JS file,Marco Castelluccio,2017-12-18T23:29:46Z,marco-c,marco-c,291,126,165
2,code-coverage-addon,43fe3e68e37c2d98140b5060110b137a9a3215a0,Remove redundant getElementById call,Marco Castelluccio,2017-12-18T22:50:56Z,marco-c,marco-c,10,3,7
3,code-coverage-addon,2fe12fffb18b251d1c354eb1aa959dc11bd26bf7,Move common CSS to a separate CSS file,Marco Castelluccio,2017-12-18T22:48:27Z,marco-c,marco-c,79,31,48
4,code-coverage-addon,c9f575e91254c9cf84f87193783aaebb26637e6d,Move common function to fetch coverage data into a single JS source,Marco Castelluccio,2017-12-18T22:36:42Z,marco-c,marco-c,76,44,32
5,code-coverage-addon,90486d057aaccad0b371cf443cc5a9775614a839,Update README.md,Marco Castelluccio,2017-12-18T15:53:16Z,marco-c,marco-c,2,1,1
6,code-coverage-addon,1886a25424716fc6b5f838352b04c994ba257281,Change addon's name to 'Gecko Code Coverage',Marco Castelluccio,2017-12-18T15:46:22Z,marco-c,marco-c,2,1,1
7,code-coverage-addon,e936c96fb5ea302f8a6f451f41ef5515555ee9a6,Finish Searchfox integration. Fixes #1,Marco Castelluccio,2017-12-18T14:14:37Z,marco-c,marco-c,184,124,60
8,code-coverage-addon,0d23103efb8994911f39c58ec8de403de44c4404,Add spinner while loading coverage data on DXR,Marco Castelluccio,2017-12-18T13:55:29Z,marco-c,marco-c,36,28,8
9,code-coverage-addon,c5dfb0e0eb52d9432d84a5dfabfde1b985d1a052,Color Bugzilla coverage status differently according to level of coverage. Fixes #4,Marco Castelluccio,2017-12-18T13:41:22Z,marco-c,marco-c,8,7,1
10,code-coverage-addon,b21a27f17e6b147b7f99964136381dc86cb0ace4,Add spinner while loading coverage data on Bugzilla,Marco Castelluccio,2017-12-18T13:35:57Z,marco-c,marco-c,49,33,16
11,code-coverage-addon,c8be3c64f7f5a122b46b58a6ef8203fa41aeb228,Cache result on DXR,Marco Castelluccio,2017-12-18T12:57:54Z,marco-c,marco-c,33,18,15
12,code-coverage-addon,a7b0e4ff9f9787c4df31ee5bc4788c3976136ab6,Match both http and https URLs,Marco Castelluccio,2017-12-18T12:39:34Z,marco-c,marco-c,6,3,3
13,code-coverage-addon,500c25a61e1e0e98bf25c933883f5e06e1908c3f,Make it visible when coverage is enabled on DXR by toggling the button between white and grey,Marco Castelluccio,2017-12-16T22:04:15Z,marco-c,marco-c,17,14,3
14,code-coverage-addon,03466058e7d2614bd2b3f91e28172ad25b929f96,Make icon square,Marco Castelluccio,2017-12-16T17:42:40Z,marco-c,marco-c,0,0,0
15,code-coverage-addon,b42f325d76cc7f6eecf45906f6c7117f57a900b3,Perform request again when the coverage for a changeset is not ready yet. Fixes #3,Marco Castelluccio,2017-12-16T17:42:21Z,marco-c,marco-c,29,21,8
16,code-coverage-addon,a009aed985ca0a4687af8f7d55e1ae0b118c8664,Bump extension version to 0.1.1,Marco Castelluccio,2017-12-15T22:28:57Z,marco-c,marco-c,4,2,2
17,code-coverage-addon,39a9546804557b78da9c7c5f3bbf9fa22888a198,Improve coverage message on bugzilla,Marco Castelluccio,2017-12-15T22:26:43Z,marco-c,marco-c,2,1,1
18,code-coverage-addon,512b5d31a914fe52205398d4189640f61fdcc8a9,Don't add the 'Code Coverage' field if there are no added lines,Marco Castelluccio,2017-12-15T22:24:58Z,marco-c,marco-c,4,4,0
19,code-coverage-addon,e49d4a7a8ae54f4851e1d3ee68a29523d370bd8f,WIP searchfox integration,Marco Castelluccio,2017-12-15T21:43:15Z,marco-c,marco-c,62,62,0
20,code-coverage-addon,de49065a9505a03bf3f34a1c056de85b2235cacf,First version of the addon,Marco Castelluccio,2017-12-15T21:42:51Z,marco-c,marco-c,211,211,0
21,code-coverage-addon,0feab877ece19e9aedb0ef2a1fb92d62d773facc,Update README to point to the new repo,Marco Castelluccio,2019-07-17T10:10:25Z,marco-c,marco-c,2,2,0
22,code-coverage-addon,6d8c3ac47ed70a2f232ede844829048f39c9fe95,Make use of webpack and web-ext (#62),Bastien Abadie,2019-06-12T12:50:19Z,La0,La0,7173,5085,2088
23,code-coverage-addon,f4ed73c8e052acb423c636725e54a1445d1d06d4,Switch to v2 endpoints (#60),Bastien Abadie,2019-06-10T15:28:41Z,La0,La0,64,29,35
24,code-coverage-addon,9e0fc55772f689db802e317b69236dee282204d6,Removed all references on Phabricator (#58),MELVIN GEORGE,2019-05-29T16:10:41Z,melvin2016,melvin2016,129,4,125
25,code-coverage-addon,ab737bf4bbf6abdb2db7d01b477069e53c2abe47,Removed all references for Bugzilla (#56),MELVIN GEORGE,2019-05-29T15:15:04Z,melvin2016,melvin2016,216,5,211
26,code-coverage-addon,59cc2dd7d1493ffb6ef59d27ccd08cc19aed3da6,"Add Mozilla Code of Conduct (#53)

* Add Mozilla Code of Conduct file

Fixes #52.

_(Message COC002)_

* Update CODE_OF_CONDUCT.md",Mozilla-GitHub-Standards,2019-03-30T14:58:31Z,Mozilla-GitHub-Standards,Mozilla-GitHub-Standards,8,8,0
27,code-coverage-addon,dc358155707a8334c6f6c8cff582cbcb7687b2ad,Version 0.10.1,Marco Castelluccio,2018-10-26T10:31:33Z,marco-c,marco-c,4,2,2
28,code-coverage-addon,b874fefea09880cff749499fb25b91046aeeb51d,Don't toggle when pressing C. Fixes #49,Marco Castelluccio,2018-10-26T10:30:56Z,marco-c,marco-c,6,0,6
29,code-coverage-addon,c0962f7d623e37fcf1897bd2e3a1426bc5137b2c,Remove support for MozReview (#48),Arshad Kazmi,2018-10-04T09:01:02Z,arshadkazmi42,arshadkazmi42,310,4,306
30,code-coverage-addon,d2b2d32b838275446d8d9b2317303df9d2a97787,Fix some linting issues,Marco Castelluccio,2018-10-01T16:33:46Z,marco-c,marco-c,29,14,15
31,code-coverage-addon,7e70dc9b085273f00c82193a3c717d75d66fc28b,Fix eslint call,Marco Castelluccio,2018-10-01T15:24:25Z,marco-c,marco-c,2,1,1
32,code-coverage-addon,f46329c5638306ac487e6ccc75b2863db985a4e1,Update dependencies,Marco Castelluccio,2018-10-01T14:50:16Z,marco-c,marco-c,6097,3027,3070
33,code-coverage-addon,f30a34101a1785a44fb9a0e0090f4b791b270547,Update description to mention Phabricator,Marco Castelluccio,2018-08-02T15:17:07Z,marco-c,marco-c,6,3,3
34,code-coverage-addon,9caaa0cd18fef689d3405ec9f201a51492718dd1,Version 0.10.0,Marco Castelluccio,2018-08-02T15:13:55Z,marco-c,marco-c,4,2,2
35,code-coverage-addon,c13efe2c348072bcf23bb48b7305fff534ad5103,Add phabricator.js in the built package,Marco Castelluccio,2018-08-02T15:13:44Z,marco-c,marco-c,1,1,0
36,code-coverage-addon,33933e0ac69c5a58f4c15f5642f29f76d300db2c,Update URL of the repository,Marco Castelluccio,2018-08-02T15:09:08Z,marco-c,marco-c,8,4,4
37,code-coverage-addon,c2f2a0768d74a16130ed010d1d70e3b175a70dfc,Fix plural -> singular in descriptions everywhere,Marco Castelluccio,2018-08-02T14:26:08Z,marco-c,marco-c,6,3,3
38,code-coverage-addon,35e0a462da074972d6fd7fccc249e8dc3c1f4798,Update URL to the Mercurial <-> Git mapper,Marco Castelluccio,2018-08-02T14:24:38Z,marco-c,marco-c,4,2,2
39,code-coverage-addon,fa414897069bf807e986ccb1c21814c3433f8ed8,Use production coverage backend,Marco Castelluccio,2018-08-02T14:22:45Z,marco-c,marco-c,5,2,3
40,code-coverage-addon,f895e1730c596314d9f06cb060f3035f4e9cec01,Support phabricator pre-patch view (#43),Gabriel Vîjială,2018-07-30T10:36:56Z,gabriel-v,gabriel-v,124,123,1
41,code-coverage-addon,28b045b795cd85dceabcfc39e51e0a6d618125c0,Update Travis URL,Marco Castelluccio,2018-07-13T18:30:32Z,marco-c,marco-c,2,1,1
42,code-coverage-addon,4b29897d51adf90df8c31bb376e26569b2a18de3,Show a message on DXR and Searchfox when a file is not in the cov report (#42),Assiya Khuzyakhmetova,2018-07-13T18:16:21Z,rhcu,rhcu,18,15,3
43,code-coverage-addon,d898be400d0554adb4c9f01ad58e8b3054be7035,Remove spinners on Socorro in case of errors (#41),calixteman,2018-05-09T09:37:51Z,calixteman,calixteman,5,3,2
44,code-coverage-addon,f81d43f064432456f5a7592e5424bdd82b0d93f4,Version 0.9.1,Marco Castelluccio,2018-05-07T17:03:58Z,marco-c,marco-c,4,2,2
45,code-coverage-addon,ab66519c4882e0981d06cfdf52972cacb11b3a59,Update URL to coverage.moz.tools,Marco Castelluccio,2018-05-07T17:03:10Z,marco-c,marco-c,8,4,4
46,code-coverage-addon,0967577bf581f990c0c68bba6df47327d4c430cf,Version 0.9.0,Marco Castelluccio,2018-05-03T09:03:20Z,marco-c,marco-c,4,2,2
47,code-coverage-addon,8ea50fa5130b93b9836a4bd3f50d2392fce52863,Move button-related functions into a separate script,Marco Castelluccio,2018-05-03T09:03:00Z,marco-c,marco-c,110,58,52
