,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,code-coverage-reports,9d1c017bf3e2356761386e25f8417713540cee90,Update README to point to the new repo,Marco Castelluccio,2019-08-05T08:34:01Z,marco-c,marco-c,3,3,0
1,code-coverage-reports,eb9bc3be016e929eefa67ee3cfc7f9ec3881376e,Redirect to the new frontend (#86),Bastien Abadie,2019-08-05T08:21:04Z,La0,La0,165,8,157
2,code-coverage-reports,a6b7b0359126311c14189d50b377f866d8a0b0b4,Fix getMonth usage. (#85),Bastien Abadie,2019-07-31T14:10:52Z,La0,La0,3,2,1
3,code-coverage-reports,ae3901c79ab4251209c2d895af353b1b96496032,Use new backend (#84),Bastien Abadie,2019-07-22T10:54:03Z,La0,La0,2,1,1
4,code-coverage-reports,92989d666148f92779d7646086b08ee958b50b82,"Use chartist for the coverage history graph (#83)

Fixes #82",Bastien Abadie,2019-07-16T09:24:26Z,La0,La0,104,86,18
5,code-coverage-reports,43bbc0152f060982d1b4d3191d12a22feaab2987,Redirect to #zero:,Marco Castelluccio,2019-07-15T18:05:44Z,marco-c,marco-c,5,5,0
6,code-coverage-reports,036eff5c7f5cc1e328f33e94ef4f09035f00d816,"Render both views on a single page #80, fixes #75",Bastien Abadie,2019-07-15T11:57:05Z,La0,La0,197,105,92
7,code-coverage-reports,5da92720a328382ff688961c261573ebd7f56f1b,"Force error message display #79, fixes #77",Bastien Abadie,2019-07-11T15:17:08Z,La0,La0,8,5,3
8,code-coverage-reports,1f98a70382ababec79dc2bda0b5cb614f19767e2,"Cache coverage and history results  (#78)

Fixes #55",Marco,2019-07-11T13:33:14Z,marco-c,marco-c,50,44,6
9,code-coverage-reports,41e73caa7329b1bd16671e1fa899169a3ca00bdf,"Make zero coverage report file links point to normal report at the revision the zero coverage report was generated from #76, fixes #46",Marco,2019-07-11T10:36:00Z,marco-c,marco-c,4,2,2
10,code-coverage-reports,f24e1c1e2049af326d1af37e06c8d296a3f61a4b,"Use Prism from CDN #74, fixes #71",Bastien Abadie,2019-07-08T13:41:08Z,La0,La0,345,6,339
11,code-coverage-reports,1ceb1c5f42e748baa48b17c9c4aecd2e92526043,"Use mustache.js as templating engine #73, fixes #70",Bastien Abadie,2019-07-08T13:34:58Z,La0,La0,380,177,203
12,code-coverage-reports,762551502435dc9eb89446a3cf8d7ccd77514c81,Update revision from graph (#72),Bastien Abadie,2019-07-08T09:29:59Z,La0,La0,8,7,1
13,code-coverage-reports,04614bad152478e94af46131672ec207608522e6,"Load data before dom is ready #69, fixes #57",Bastien Abadie,2019-07-08T07:53:44Z,La0,La0,96,60,36
14,code-coverage-reports,e8f7ddb014590361cd5cb4757da7a993a9155a3a,Remove text-shadow for code highlight (#68),Bastien Abadie,2019-07-05T11:56:34Z,La0,La0,5,1,4
15,code-coverage-reports,4821f8d1f99ee769597fcc0427926ad6370520c5,Load history and coverage in parallel (#67),Bastien Abadie,2019-07-05T11:20:39Z,La0,La0,45,24,21
16,code-coverage-reports,6a8b256647ffb24f8a0d06761b36e1e39349d930,Move code in src and vendor directories (#66),Bastien Abadie,2019-07-05T10:52:21Z,La0,La0,16,8,8
17,code-coverage-reports,ad45a968e711a9b98faef2c873e2cc36499d43e2,Fix back and forth display bug (#65),Bastien Abadie,2019-07-05T10:22:11Z,La0,La0,3,2,1
18,code-coverage-reports,da083a26e2df91277f748c431f6796877a9e1bf8,"Add README, CONTRIBUTING, CODE_OF_CONDUCT & LICENSE (#63)",Bastien Abadie,2019-07-05T10:12:06Z,La0,La0,401,401,0
19,code-coverage-reports,bafd9ce16c31486d053bb28dfbad3bc097b3a2a9,Display warning when no history available. (#64),Bastien Abadie,2019-07-05T10:07:04Z,La0,La0,25,23,2
20,code-coverage-reports,21a58df8fe04363bcfd1944d287f855d3723d13b,Fix link between zero coverage report and file viewer (#62),Bastien Abadie,2019-07-05T09:41:20Z,La0,La0,2,1,1
21,code-coverage-reports,960c586ae66fedb99749b080fc8931df878beb36,Load code coverage at specific revision (#52),Bastien Abadie,2019-07-04T15:25:38Z,La0,La0,199,158,41
22,code-coverage-reports,8dac98786c098c9f2cbaa6d19208df49a6b9d451,Remove filters on index (#53),Bastien Abadie,2019-07-04T14:33:36Z,La0,La0,10,1,9
23,code-coverage-reports,f5c349e9254dbf13addaebddce724ce3fe5dac5e,Replace button by breadcrumb navigation (#51),Bastien Abadie,2019-07-03T15:55:30Z,La0,La0,81,54,27
24,code-coverage-reports,4c6dad055dfa9df076ed145d0665f005d017f59d,Add back button (#49),Bastien Abadie,2019-07-03T14:49:01Z,La0,La0,102,73,29
25,code-coverage-reports,0de1a0fc4b9971302bb37092092cc685f89132b3,Fix homepage css (#48),Bastien Abadie,2019-07-03T13:31:33Z,La0,La0,14,14,0
