,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,compatipede-report-compare,da2c5164974e49cce0e913e94a0c3ea3d175eeef,updating markdown markup in readme,Hallvord Reiar Michaelsen Steen,2016-04-15T09:41:47Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,4,3,1
1,compatipede-report-compare,ace687aaa0030b543850042538ccf68825ebcb13,Adding README,Hallvord Reiar Michaelsen Steen,2016-04-15T09:17:23Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,16,16,0
2,compatipede-report-compare,f377fc3667a44bd9817f7f411a6d9e53053b47e3,minor UI fixes for html table,Hallvord Reiar Michaelsen Steen,2016-04-15T09:02:51Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,5,4,1
3,compatipede-report-compare,ec2921fe03460529946106cff132428343eb78b7,Lots of fixes for PDF generation,Hallvord Reiar Michaelsen Steen,2016-04-15T09:02:19Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,117,74,43
4,compatipede-report-compare,197fee9c333943df2ec6d87ed4d81fb356fe5bf0,"more dependencies, mainly PDF-generation-related",Hallvord Reiar Michaelsen Steen,2016-04-15T09:01:59Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,4,4,0
5,compatipede-report-compare,f7aefeee5693957d327b31dfc14b0bd831b20b6c,Use couchdbDb argument when connecting to database,Hallvord Reiar Michaelsen Steen,2016-04-15T09:01:36Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,4,2,2
6,compatipede-report-compare,aaeafa32f893e4ce6719f8f78cb87521cad5d172,Add new page if we're running out of space,Hallvord Reiar Michaelsen Steen,2016-03-22T22:10:57Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,3,3,0
7,compatipede-report-compare,c1fde190c9c551c4f4eb0702193bee381be10ae7,Refactor the code embedding images - hopefully more GC-friendly now,Hallvord Reiar Michaelsen Steen,2016-03-22T21:42:12Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,171,65,106
8,compatipede-report-compare,d7d6405b9199da7ccb6add3a3a705aea285544cd,Adding missing yargs requirement,Hallvord Reiar Michaelsen Steen,2016-03-22T21:41:38Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,3,2,1
9,compatipede-report-compare,b6aeb75549e24072496d845e185a9de164fb1dbb,"More logging, adding one more delete hoping to free memory",Hallvord Reiar Michaelsen Steen,2016-03-22T18:35:38Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,5,3,2
10,compatipede-report-compare,6f43992bbef1597a62c70e24def811ad2c2ebc5a,Fixing bug: list of processed files was reset each loop :-o,Hallvord Reiar Michaelsen Steen,2016-03-22T18:33:04Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,4,3,1
11,compatipede-report-compare,0c2116c01e470d7fc816bed9883a76023ad6a578,Reorder quires somewhat more alphabetically,Hallvord Reiar Michaelsen Steen,2016-03-22T18:30:00Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,7,4,3
12,compatipede-report-compare,16267a4db384128665b4e7b997d08003f1a7d6e8,Move topdf.js to expected place in built tree,Hallvord Reiar Michaelsen Steen,2016-03-22T18:29:34Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,1,1,0
13,compatipede-report-compare,a8acc846a19adf83279b9b437c534c5b054ce58b,Initial commit of script creating PDFs,Hallvord Reiar Michaelsen Steen,2016-03-22T18:14:47Z,Hallvord Reiar Michaelsen Steen,Hallvord Reiar Michaelsen Steen,190,190,0
14,compatipede-report-compare,bb6b3086b64b876b049bc084757a58fd331c8ff7,Merge branch 'master' of https://github.com/mozilla/compatipede-report-compare,Hallvord R. M. Steen,2016-03-22T18:10:21Z,Hallvord R. M. Steen,Hallvord R. M. Steen,373,373,0
15,compatipede-report-compare,4e17b3d57c2ba0d8dc621604864784c6dfd38cf3,Initial commit,Hallvord R. M. Steen,2016-03-22T18:09:02Z,hallvors,hallvors,373,373,0
16,compatipede-report-compare,0bb8970cac83c21eca341e0da2a78e886c19f80f,Initial commit,Hallvord R. M. Steen,2016-03-22T18:07:40Z,Hallvord R. M. Steen,Hallvord R. M. Steen,600,600,0
